1000 0.1
-0.45447 0.318186 -2.38143
-0.877204 0.203468 -1.80648
-0.486631 0.297694 -1.80188
-0.845075 0.349327 -1.32281
-0.705277 0.15001 -1.24489
-0.468916 0.443532 -1.16208
-0.45382 0.684303 -0.834392
-0.849739 0.313375 -0.747034
-0.796281 0.708147 -0.391096
-0.509883 0.746316 -0.189905
-0.777966 0.229876 -2.01829
-0.570268 0.15001 -1.9213
-0.672202 0.183572 -1.58843
-0.548517 0.262843 -1.56042
-0.824144 0.238972 -1.19316
-0.727443 0.243054 -0.908563
-0.662218 0.187188 -0.783424
-0.708166 0.156088 -0.487831
-0.620044 0.15001 -0.307248
-0.69218 0.253359 -0.227184
-0.654407 0.194469 -2.13418
-0.679891 0.231523 -1.91027
-0.58335 0.159895 -1.71272
-0.634686 0.15001 -1.37702
-0.589838 0.223088 -1.22556
-0.568984 0.15001 -1.01984
-0.663747 0.222614 -0.616791
-0.528821 0.195045 -0.548415
-0.591493 0.258388 -0.43902
-0.614887 0.15001 -0.0880345
-0.601078 0.347035 -2.09849
-0.602977 0.354792 -1.8762
-0.603181 0.355331 -1.66148
-0.595587 0.343571 -1.4267
-0.602191 0.362054 -1.21038
-0.609389 0.339661 -0.992983
-0.606153 0.354222 -0.784649
-0.585141 0.356117 -0.549621
-0.583186 0.34519 -0.319627
-0.618726 0.354314 -0.0862905
-0.602905 0.562368 -2.10091
-0.60174 0.563124 -1.87527
-0.599937 0.565424 -1.65138
-0.597968 0.564961 -1.42942
-0.59578 0.564125 -1.20737
-0.593632 0.563396 -0.985283
-0.591501 0.562505 -0.764004
-0.589736 0.561427 -0.543765
-0.588402 0.560142 -0.320705
-0.586902 0.5567 -0.113533
-0.604072 0.777889 -2.10236
-0.603274 0.785243 -1.87608
-0.601828 0.787861 -1.65224
-0.600382 0.787587 -1.43023
-0.598861 0.787012 -1.20817
-0.597406 0.786422 -0.986044
-0.595909 0.785532 -0.764475
-0.59469 0.784701 -0.543768
-0.593804 0.783484 -0.320947
-0.592733 0.780062 -0.107355
-0.605105 1.00153 -2.10351
-0.604531 1.00822 -1.87666
-0.603491 1.01037 -1.65286
-0.602427 1.01008 -1.43085
-0.601281 1.00959 -1.20873
-0.600219 1.00912 -0.986469
-0.599243 1.00829 -0.764758
-0.598472 1.00764 -0.54368
-0.597843 1.00663 -0.320818
-0.597074 1.0032 -0.102704
-0.60592 1.22863 -2.10467
-0.605541 1.23136 -1.87728
-0.604831 1.2326 -1.65342
-0.603973 1.23243 -1.43141
-0.603192 1.23202 -1.20921
-0.602467 1.23153 -0.986883
-0.601751 1.23091 -0.764999
-0.601222 1.23027 -0.543653
-0.600814 1.22945 -0.320662
-0.600372 1.22608 -0.0992443
-0.6066 1.45508 -2.10542
-0.606355 1.45561 -1.87766
-0.605821 1.45623 -1.65388
-0.605245 1.45605 -1.4318
-0.604758 1.45564 -1.20958
-0.604165 1.45518 -0.987202
-0.603718 1.45478 -0.765196
-0.603355 1.45418 -0.543584
-0.603048 1.45369 -0.320433
-0.602652 1.45029 -0.096757
-0.607275 1.68205 -2.10598
-0.60687 1.68256 -1.8779
-0.6065 1.68245 -1.65412
-0.606162 1.68215 -1.43202
-0.605762 1.6816 -1.20981
-0.605362 1.68113 -0.987342
-0.605044 1.68035 -0.765235
-0.604682 1.6796 -0.543474
-0.604504 1.67917 -0.320199
-0.604289 1.67545 -0.0950685
-0.367571 0.15001 -2.05694
-0.43322 0.15001 -1.92266
-0.386633 0.15001 -1.72224
