1000 0.1
-2.84186 0.15001 -0.70047
-2.53536 0.15001 -0.872621
-2.64933 0.15001 0.772339
-2.84999 0.15001 1.18309
-2.385 0.15001 1.02101
-2.34351 0.15001 1.19828
-2.51231 0.15001 2.52222
-2.69138 0.15001 2.45352
-2.37485 0.15001 2.40528
-2.66851 0.15001 2.66752
-2.31199 0.15001 -1.05064
-2.84999 0.15001 -0.118273
-2.84089 0.15001 0.83577
-2.84999 0.15001 1.37898
-2.84999 0.15001 1.91969
-2.84999 0.15001 2.15596
-2.84999 0.15001 2.33834
-2.84999 0.15001 2.51108
-2.84999 0.15001 2.84999
-2.40436 0.15001 2.84999
-1.58443 0.15001 -1.96735
-2.84999 0.15001 0.656864
-2.46655 0.15001 0.84368
-1.96945 0.15001 1.45435
-2.6701 0.15001 1.10105
-0.776107 0.293754 1.4179
-1.16596 0.15001 2.24791
-2.15598 0.15001 2.06707
-2.55063 0.15001 2.36026
-2.70415 0.15001 2.84999
-2.63925 0.15001 -0.436424
-2.66557 0.15001 -0.114923
-2.84999 0.15001 1.00889
-2.84999 0.15001 1.74858
-2.6998 0.15001 1.27205
-2.72946 0.15001 2.02981
-2.69263 0.15001 2.24739
-2.60258 0.540021 2.48089
-2.84999 0.15001 2.68028
-2.55535 0.15001 2.84999
-1.38822 0.15001 -1.90717
-1.40858 0.15001 -1.50107
-2.75818 0.15001 0.25288
-2.66567 0.15001 0.935479
-1.02476 0.15001 1.17232
-2.67169 0.15001 1.44007
-2.67348 0.15001 1.77225
-1.82833 0.15001 2.66957
-1.79059 0.15001 2.26888
-0.839981 0.15001 2.41621
-1.9777 0.15001 -1.4217
-2.67852 0.15001 -0.606368
-2.84936 0.325161 0.249229
-2.30454 0.345823 1.20511
-2.78431 0.479596 1.42989
-2.83718 0.15001 1.56982
-2.57907 0.15001 1.91942
-2.57832 0.15001 2.09597
-2.71546 0.303383 2.65079
-2.59996 0.351208 2.84992
-1.56339 0.15001 -1.41166
-2.84999 0.15001 -0.36764
-2.70754 0.15001 0.575235
-2.19977 0.15001 1.09523
-2.52829 0.15001 1.2337
-2.40499 0.555996 1.55568
-2.4738 0.15001 1.77801
-2.41139 0.15001 1.99719
-2.34772 0.383585 2.62736
-2.32512 0.15001 2.57923
-2.75024 0.15001 -0.258442
-2.54616 0.15001 0.282246
-2.73669 0.383002 0.579504
-2.09662 0.15001 0.943736
-2.11072 0.15001 1.52858
-2.47269 0.15001 1.60305
-2.29024 0.15001 1.85398
-2.57412 0.548382 2.82591
-2.84959 0.692115 2.83232
-2.25037 0.15001 2.84414
-1.81358 0.15001 -1.11888
-2.08879 0.15001 0.776654
-2.33907 0.15001 0.669176
-2.24424 0.15001 1.35689
-2.25677 0.15001 1.67064
-2.81512 0.437348 1.86933
-2.01457 0.15001 2.15312
-2.81831 0.315473 2.30171
-2.46009 0.15001 2.68293
-2.15901 0.15001 2.57534
-2.34047 0.15001 -0.0238858
-1.05635 0.15001 -0.0867505
-2.22118 0.15001 0.116177
-2.01644 0.15001 1.25013
-2.33096 0.15001 1.50671
-2.48842 0.151344 1.40903
-2.31893 0.15001 2.12905
-1.63551 0.15001 2.41559
-2.19446 0.15001 2.24093
-2.19335 0.406782 2.84975
-1.23345 0.15001 -2.24562
-0.547848 0.15001 0.732135
-0.702664 0.15001 0.893648
-0.632092 0.15001 1.0627
-0.695889 0.15001 1.37772
-0.874554 0.15001 1.50255
-1.04636 0.15001 1.93664
-0.576362 0.15001 1.90653
-0.635534 0.15001 2.24167
-0.591017 0.15001 2.42019
-1.8937 0.15001 -1.58815
-0.640922 0.15001 0.574699
-2.48569 0.15001 0.0924006
-0.813597 0.15001 1.04011
-0.743057 0.15001 1.20769
-2.64461 0.15001 1.60364
-0.752356 0.15001 1.83947
-0.72264 0.15001 2.02159
-0.810058 0.15001 2.19674
-0.59628 0.15001 2.84902
-1.44846 0.15001 -2.12966
-0.439596 0.267031 0.811432
-0.592132 0.278709 0.954258
-0.525513 0.271488 1.12061
-0.492503 0.258261 1.34133
-0.581986 0.15001 1.50853
-0.539016 0.28309 1.65047
-0.502555 0.293272 1.83575
-0.537837 0.180167 2.08206
-2.09126 0.15001 2.84999
-1.64425 0.15001 -2.16222
-0.627465 0.317735 0.610675
-0.738346 0.182008 0.725897
-0.716068 0.302988 1.0952
-0.650585 0.292372 1.27009
-0.719855 0.248914 1.58446
-0.683047 0.295433 1.76643
-0.656764 0.290471 1.94446
-0.697903 0.276963 2.13018
-1.93612 0.15001 2.79664
-1.2461 0.15001 -1.77746
-0.616502 0.318892 0.788481
-0.572456 0.442362 1.01554
-0.639148 0.450591 1.18056
-0.521566 0.42746 1.31056
-0.581116 0.327202 1.47373
-0.647282 0.41455 1.62795
-0.534551 0.423337 1.93437
-0.554107 0.374242 2.11441
-0.74307 0.268068 2.32626
-0.626429 0.15001 0.383855
-0.497699 0.45119 0.657428
-2.84338 0.15001 0.0712144
-2.83959 0.15001 0.422759
-0.6972 0.446157 1.36157
-1.59089 0.15001 2.16873
-0.679708 0.462739 1.81449
-0.718157 0.440278 2.00023
-0.73852 0.42305 2.22164
-1.76716 0.15001 2.84999
-0.832643 0.15001 -1.87196
-2.48512 0.15001 -0.0935926
-0.505873 0.452573 0.844462
-0.568883 0.607632 1.10459
-0.535173 0.6055 1.29423
-0.587055 0.518603 1.48802
-0.594583 0.571002 1.68902
-0.532334 0.583644 1.86931
-0.577856 0.500305 2.25779
-2.00718 0.15001 2.62413
-1.37657 0.15001 -0.65377
-0.496474 0.612457 0.741574
-1.8001 0.15001 0.53669
-1.32434 0.15001 1.27602
-0.504973 0.683047 1.4827
-1.389 0.15001 2.49815
-2.46361 0.15001 2.21908
-1.54846 0.15001 2.68448
-0.325934 0.403698 2.49763
-1.66627 0.307734 2.81969
-1.01244 0.15001 -1.49163
-2.16028 0.15001 -0.0737447
-0.963507 0.15001 0.549537
-2.53669 0.15001 0.491451
-1.89797 0.15001 1.81145
-2.12361 0.15001 1.90339
-0.556255 0.745477 1.7017
-0.628458 0.576197 2.07666
-2.20499 0.15001 2.41302
-1.03075 0.15001 2.40156
-0.828785 0.15001 0.412284
-1.20735 0.15001 0.0927549
-1.76796 0.15001 1.13784
-1.4637 0.150289 1.39413
-1.00722 0.165901 2.12014
-1.4438 0.15001 1.87315
-1.91473 0.15001 2.00699
-1.14905 0.218937 2.63123
-2.03027 0.15001 2.32736
-1.04364 0.15001 2.84999
-1.25344 0.15001 -2.06467
-0.211141 0.15001 0.553737
-0.327776 0.15001 0.862441
-0.40736 0.15001 1.10293
-0.386073 0.15001 1.27036
-0.257622 0.15001 1.52199
-0.293788 0.15001 1.6851
-0.459402 0.15001 1.77795
-0.371681 0.15001 2.14508
-0.464502 0.15001 2.29588
-0.58064 0.15001 -2.81328
-0.457311 0.15001 0.54539
-0.478779 0.15001 0.946588
-0.558738 0.15001 1.23322
-0.409903 0.15001 1.43644
-0.447666 0.15001 1.61316
-0.630157 0.15001 1.70129
-0.399378 0.15001 1.96702
-0.569584 0.307589 2.289
-0.219122 0.15001 2.84984
-0.965943 0.15001 -2.11756
-0.329467 0.1534 0.687509
-0.256345 0.295064 0.864073
-0.315434 0.286184 1.09689
-0.304457 0.293364 1.26566
-0.39535 0.27463 1.53423
-0.369568 0.300491 1.70023
-0.314511 0.211582 1.83853
-0.233607 0.282633 2.15808
-0.41524 0.287544 2.39242
-1.19464 0.15001 -2.60353
-0.297277 0.346465 0.704428
-0.421727 0.337796 0.970507
-0.428582 0.398655 1.15993
-0.390832 0.37824 1.40722
-0.459528 0.427243 1.57259
-0.344416 0.377749 1.84779
-0.416709 0.311761 2.01572
-0.414955 0.296129 2.20307
-0.240556 0.248318 2.50887
-0.617797 0.15001 -1.29937
-0.446112 0.287436 0.635843
-0.327425 0.457071 0.853721
-0.301822 0.455486 1.03241
-0.313576 0.464151 1.27751
-0.229141 0.459755 1.43638
-0.473581 0.445342 1.74659
-0.314603 0.469287 1.98039
-0.315103 0.42532 2.1417
-0.406147 0.185932 2.54577
-0.336322 0.245387 0.458595
-0.321913 0.530212 0.679733
-0.432583 0.560736 0.977642
-0.39624 0.563405 1.15973
-0.413186 0.543507 1.41708
-0.318823 0.526733 1.57339
-0.35655 0.560059 1.83669
-0.461229 0.515141 2.06294
-0.411359 0.447743 2.29623
-0.409211 0.166023 2.84999
-0.662927 0.15001 -2.43889
-1.40733 0.15001 -1.13218
-0.339762 0.643863 0.828185
-0.251371 0.627513 1.07916
-0.321333 0.650786 1.29836
-0.299111 0.663483 1.4808
-0.417819 0.616479 1.68237
-0.36726 0.652932 1.9912
-0.361191 0.590024 2.18508
-1.55464 0.15001 2.84999
-0.615872 0.15001 -1.49679
-0.24965 0.706941 0.666515
-0.410587 0.742801 0.975623
-0.433008 0.732319 1.16347
-0.380231 0.794706 1.4005
-0.3821 0.770627 1.60237
-0.316584 0.75642 1.84407
-0.49584 0.755188 1.89786
-0.336779 0.763587 2.13859
-0.940659 0.15001 2.62058
-0.182192 0.15001 -0.0487076
-0.94163 0.15001 -1.17025
-1.37779 0.15001 0.782686
-0.276064 0.813232 1.09185
-0.434747 0.887444 1.25473
-1.23404 0.309683 1.5498
-1.95089 0.184454 1.64356
