6000000 0.05
-1.21979e-012 -1.21979e-012 0
0 -3.92271e-031 2.4359e-024
-0.499909 0.19911 1.00009
-0.499918 0.199101 1.20013
-0.499922 0.199097 1.40009
-0.499925 0.199094 1.60005
-0.499926 0.199093 1.80002
-0.499926 0.199093 1.99998
-0.499925 0.199094 2.19995
-0.499922 0.199097 2.39991
-0.499917 0.199102 2.59987
-0.499909 0.19911 2.79991
-0.499917 0.399145 1.00008
-0.499926 0.399139 1.20012
-0.49993 0.399136 1.40008
-0.499931 0.399135 1.60005
-0.499931 0.399134 1.80002
-0.499931 0.399134 1.99998
-0.499931 0.399135 2.19995
-0.49993 0.399136 2.39992
-0.499926 0.399139 2.59988
-0.499917 0.399145 2.79992
-0.499922 0.599107 1.00008
-0.49993 0.599102 1.20012
-0.499931 0.599102 1.40008
-0.499931 0.599102 1.60005
-0.49993 0.599102 1.80002
-0.49993 0.599102 1.99998
-0.499931 0.599102 2.19995
-0.499931 0.599102 2.39992
-0.49993 0.599102 2.59988
-0.499922 0.599107 2.79992
-0.499925 0.799071 1.00008
-0.499931 0.799069 1.20012
-0.499931 0.799069 1.40008
-0.499928 0.79907 1.60005
-0.499925 0.799071 1.80002
-0.499925 0.799071 1.99998
-0.499928 0.79907 2.19995
-0.499931 0.799069 2.39992
-0.499931 0.799069 2.59988
-0.499925 0.799071 2.79992
-0.499926 0.999036 1.00007
-0.499931 0.999035 1.20012
-0.49993 0.999036 1.40008
-0.499925 0.999036 1.60005
-0.499921 0.999037 1.80002
-0.499921 0.999037 1.99998
-0.499925 0.999036 2.19995
-0.49993 0.999036 2.39992
-0.499931 0.999035 2.59988
-0.499926 0.999036 2.79993
-0.499926 1.199 1.00007
-0.499931 1.199 1.20012
-0.49993 1.199 1.40008
-0.499925 1.199 1.60005
-0.499921 1.199 1.80002
-0.499921 1.199 1.99998
-0.499925 1.199 2.19995
-0.49993 1.199 2.39992
-0.499931 1.199 2.59988
-0.499926 1.199 2.79993
-0.499925 1.39897 1.00008
-0.499931 1.39897 1.20012
-0.499931 1.39897 1.40008
-0.499928 1.39897 1.60005
-0.499925 1.39897 1.80002
-0.499925 1.39897 1.99998
-0.499928 1.39897 2.19995
-0.499931 1.39897 2.39992
-0.499931 1.39897 2.59988
-0.499925 1.39897 2.79992
-0.499922 1.59893 1.00008
-0.49993 1.59894 1.20012
-0.499931 1.59894 1.40008
-0.499931 1.59894 1.60005
-0.49993 1.59894 1.80002
-0.49993 1.59894 1.99998
-0.499931 1.59894 2.19995
-0.499931 1.59894 2.39992
-0.499929 1.59894 2.59988
-0.499922 1.59893 2.79992
-0.499917 1.79889 1.00008
-0.499926 1.7989 1.20012
-0.49993 1.7989 1.40008
-0.499931 1.7989 1.60005
-0.499931 1.7989 1.80002
-0.499931 1.7989 1.99998
-0.499931 1.7989 2.19995
-0.499929 1.7989 2.39992
-0.499926 1.7989 2.59988
-0.499917 1.79889 2.79992
-0.499909 1.99893 1.00009
-0.499917 1.99894 1.20013
-0.499922 1.99894 1.40009
-0.499925 1.99894 1.60005
-0.499926 1.99894 1.80002
-0.499926 1.99894 1.99998
-0.499925 1.99894 2.19995
-0.499922 1.99894 2.39991
-0.499917 1.99894 2.59987
-0.499909 1.99893 2.79991
-0.299874 0.199102 1.00008
-0.29988 0.199093 1.20012
-0.299883 0.199089 1.40008
-0.299884 0.199088 1.60005
-0.299885 0.199088 1.80002
-0.299885 0.199088 1.99998
-0.299884 0.199088 2.19995
-0.299883 0.199089 2.39992
-0.29988 0.199093 2.59988
-0.299874 0.199102 2.79992
-0.29988 0.399139 1.00007
-0.299886 0.399133 1.20011
-0.299887 0.399132 1.40008
-0.299887 0.399132 1.60005
-0.299886 0.399133 1.80002
-0.299886 0.399133 1.99998
-0.299887 0.399132 2.19995
-0.299887 0.399132 2.39992
-0.299886 0.399133 2.59989
-0.29988 0.399139 2.79993
-0.299883 0.599102 1.00007
-0.299887 0.5991 1.20011
-0.299886 0.599101 1.40008
-0.299881 0.599104 1.60005
-0.299877 0.599107 1.80002
-0.299877 0.599107 1.99998
-0.299881 0.599104 2.19995
-0.299886 0.599101 2.39992
-0.299887 0.5991 2.59989
-0.299883 0.599102 2.79993
-0.299884 0.799069 1.00007
-0.299887 0.799068 1.20011
-0.299881 0.79907 1.40009
-0.299871 0.799074 1.60005
-0.299863 0.799078 1.80002
-0.299863 0.799077 1.99998
-0.299872 0.799074 2.19995
-0.299881 0.79907 2.39991
-0.299887 0.799068 2.59989
-0.299884 0.799069 2.79993
-0.299885 0.999035 1.00007
-0.299886 0.999035 1.20011
-0.299877 0.999036 1.40009
-0.299863 0.999039 1.60006
-0.299852 0.99904 1.80002
-0.299852 0.99904 1.99998
-0.299864 0.999039 2.19994
-0.299877 0.999036 2.39991
-0.299886 0.999035 2.59989
-0.299885 0.999035 2.79993
-0.299885 1.199 1.00007
-0.299886 1.199 1.20011
-0.299877 1.199 1.40009
-0.299863 1.199 1.60006
-0.299852 1.199 1.80002
-0.299852 1.199 1.99998
-0.299864 1.199 2.19994
-0.299877 1.199 2.39991
-0.299886 1.199 2.59989
-0.299885 1.199 2.79993
-0.299884 1.39897 1.00007
-0.299887 1.39897 1.20011
-0.299881 1.39897 1.40008
-0.299872 1.39896 1.60005
-0.299864 1.39896 1.80002
-0.299864 1.39896 1.99998
-0.299872 1.39896 2.19995
-0.299881 1.39897 2.39991
-0.299887 1.39897 2.59989
-0.299885 1.39897 2.79993
-0.299883 1.59894 1.00007
-0.299887 1.59894 1.20011
-0.299886 1.59894 1.40008
-0.299881 1.59893 1.60005
-0.299877 1.59893 1.80002
-0.299877 1.59893 1.99998
-0.299881 1.59893 2.19995
-0.299886 1.59894 2.39992
-0.299888 1.59894 2.59989
-0.299883 1.59894 2.79993
-0.29988 1.7989 1.00007
-0.299886 1.7989 1.20011
-0.299887 1.79891 1.40008
-0.299887 1.79891 1.60005
-0.299886 1.7989 1.80002
-0.299886 1.7989 1.99998
-0.299887 1.79891 2.19995
-0.299888 1.79891 2.39992
-0.299886 1.7989 2.59989
-0.29988 1.7989 2.79993
-0.299874 1.99894 1.00008
-0.29988 1.99894 1.20012
-0.299883 1.99895 1.40008
-0.299884 1.99895 1.60005
-0.299885 1.99895 1.80002
-0.299885 1.99895 1.99998
-0.299885 1.99895 2.19995
-0.299883 1.99895 2.39992
-0.29988 1.99894 2.59988
-0.299874 1.99894 2.79992
-0.0999124 0.199097 1.00008
-0.0999165 0.199089 1.20012
-0.0999174 0.199088 1.40008
-0.0999171 0.199088 1.60005
-0.0999164 0.199089 1.80002
-0.0999164 0.199089 1.99998
-0.0999171 0.199088 2.19995
-0.0999174 0.199088 2.39992
-0.0999164 0.199089 2.59988
-0.0999124 0.199097 2.79992
-0.0999164 0.399136 1.00007
-0.0999194 0.399132 1.20011
-0.099918 0.399133 1.40008
-0.0999148 0.399138 1.60005
-0.0999119 0.399142 1.80002
-0.0999119 0.399142 1.99998
-0.0999148 0.399138 2.19995
-0.0999181 0.399133 2.39992
-0.0999194 0.399132 2.59989
-0.0999164 0.399136 2.79993
-0.0999174 0.599102 1.00007
-0.099918 0.599101 1.20011
-0.099912 0.599107 1.40009
-0.0999022 0.599117 1.60006
-0.099894 0.599125 1.80002
-0.099894 0.599125 1.99998
-0.0999025 0.599117 2.19994
-0.0999122 0.599107 2.39991
-0.0999181 0.599101 2.59989
-0.0999175 0.599101 2.79993
-0.099917 0.799069 1.00007
-0.0999148 0.79907 1.20012
-0.0999022 0.799077 1.4001
-0.0998817 0.79909 1.60007
-0.0998625 0.799101 1.80003
-0.0998628 0.799101 1.99997
-0.0998822 0.79909 2.19993
-0.0999026 0.799077 2.3999
-0.099915 0.79907 2.59988
-0.0999172 0.799069 2.79993
-0.0999163 0.999036 1.00007
-0.0999119 0.999036 1.20012
-0.099894 0.99904 1.40011
-0.0998625 0.999046 1.60008
