1000 0.1
-2.83707 0.15001 -0.987828
-2.46912 0.15001 -1.18349
-2.63173 0.15001 0.424955
-2.84999 0.15001 0.960205
-2.29385 0.15001 0.738943
-2.34266 0.15001 0.994552
-2.51425 0.15001 2.53198
-2.68554 0.15001 2.51132
-2.38619 0.15001 2.384
-2.64741 0.15001 2.6805
-2.52828 0.15001 -1.43051
-2.84408 0.15001 -0.449291
-2.8272 0.15001 0.604551
-2.84999 0.15001 1.15202
-2.84552 0.15001 1.78707
-2.84999 0.15001 2.08228
-2.84999 0.15001 2.28216
-2.84999 0.15001 2.47324
-2.84999 0.15001 2.84999
-2.29826 0.15001 2.84999
-1.75907 0.15001 -2.45821
-2.84999 0.15001 0.426641
-2.4277 0.15001 0.574875
-1.98419 0.15001 1.29326
-2.67721 0.15001 0.856613
-0.831802 0.292756 1.33736
-1.38192 0.15001 2.1914
-2.17866 0.15001 2.06174
-2.58074 0.15001 2.35071
-2.67434 0.15001 2.84999
-2.61836 0.15001 -0.775717
-2.65851 0.15001 -0.398109
-2.84999 0.15001 0.780559
-2.84999 0.15001 1.5814
-2.69571 0.15001 1.05594
-2.71772 0.15001 1.96021
-2.65939 0.15001 2.14857
-2.48584 0.295625 2.50389
-2.84999 0.15001 2.66843
-2.50074 0.15001 2.84999
-1.57049 0.15001 -2.38864
-1.59283 0.15001 -1.91121
-2.78916 0.15001 -0.0806624
-2.639 0.15001 0.650675
-1.11083 0.15001 1.03966
-2.68809 0.15001 1.27725
-2.67642 0.15001 1.64629
-1.85269 0.15001 2.53586
-1.87986 0.15001 2.21122
-0.912708 0.15001 2.37687
-2.20741 0.15001 -1.80219
-2.65193 0.15001 -0.959287
-2.8493 0.287468 -0.197867
-2.21182 0.249488 1.0806
-2.72642 0.261845 1.16306
-2.84999 0.15001 1.33115
-2.60526 0.15001 1.81423
-2.53236 0.15001 2.02056
-2.79048 0.303166 2.58762
-2.80122 0.34245 2.84535
-1.79303 0.15001 -1.8667
-2.84652 0.15001 -0.733148
-2.74481 0.15001 0.281629
-2.16013 0.15001 0.930643
-2.53179 0.15001 0.97212
-2.39919 0.513529 1.57821
-2.4843 0.15001 1.62851
-2.43116 0.15001 1.86327
-2.31021 0.319118 2.51858
-2.3308 0.15001 2.54232
-2.69876 0.15001 -0.597559
-2.56226 0.15001 0.0708135
-2.83931 0.265013 0.242572
-2.09164 0.15001 0.760482
-2.2051 0.15001 1.35344
-2.55861 0.15001 1.46057
-2.31893 0.15001 1.71997
-2.64549 0.477442 2.75885
-2.84495 0.508921 2.76639
-2.12256 0.15001 2.79905
-2.06054 0.15001 -1.51494
-2.24958 0.15001 0.522522
-2.28787 0.15001 0.303731
-2.35886 0.15001 1.21043
-2.3237 0.15001 1.54416
-2.71189 0.278877 1.85446
-2.00353 0.15001 2.09134
-2.65278 0.279335 2.28785
-2.43083 0.15001 2.68752
-2.18875 0.15001 2.63329
-2.52502 0.15001 -0.301929
-1.14137 0.15001 -0.273103
-2.37449 0.15001 -0.0238741
-2.13152 0.15001 1.20005
-2.3954 0.15001 1.39353
-2.53652 0.15001 1.22107
-2.3505 0.15001 2.03371
-1.89928 0.15001 2.37705
-2.2814 0.15001 2.23762
-2.43938 0.287497 2.848
-1.39179 0.15001 -2.65728
-0.595119 0.15001 0.641192
-0.766383 0.15001 0.807892
-0.686155 0.15001 0.974936
-0.748861 0.15001 1.29629
-0.957141 0.15001 1.40711
-1.12476 0.15001 1.88921
-0.624752 0.15001 1.82472
-0.683041 0.15001 2.1607
-0.724502 0.15001 2.38193
-2.10159 0.15001 -1.95625
-0.685757 0.15001 0.479979
-2.58168 0.15001 -0.107289
-0.867807 0.15001 0.955988
-0.79599 0.15001 1.12339
-2.7292 0.15001 1.46476
-0.804364 0.15001 1.75794
-0.774606 0.15001 1.93846
-0.861476 0.15001 2.11354
-0.729165 0.15001 2.84948
-1.64411 0.15001 -2.60211
-0.486233 0.268861 0.721805
-0.643206 0.276368 0.864828
-0.576948 0.270776 1.03297
