1000 0.1
-1.20909 0.15001 -0.152388
-1.21419 0.15022 -0.15193
-1.44605 0.15001 0.114762
-1.36514 0.15001 -0.0267047
-1.40498 0.15001 0.0108037
-1.90199 0.15001 0.422526
-1.40523 0.15001 0.0112752
-1.90199 0.15001 0.422526
-1.8901 0.150259 0.240622
-2.03964 0.15016 0.831561
-2.02413 0.150169 0.814213
-1.98826 0.150174 0.770379
-2.29128 0.15023 1.41646
-1.9878 0.150174 0.76999
-2.29128 0.15023 1.41646
-2.11066 0.151278 1.20883
-2.35831 0.150648 1.48623
-2.40552 0.150279 1.66982
-2.37794 0.15001 1.68373
-2.34002 0.15001 1.80088
-2.37788 0.15001 1.6838
-2.34002 0.15001 1.80088
-2.36493 0.150259 1.50386
-2.28524 0.150255 2.14861
-2.34974 0.15001 1.91014
-2.30627 0.15001 1.89059
-2.31661 0.15001 2.00138
-2.30607 0.15001 1.89046
-2.31661 0.15001 2.00138
-1.71796 0.158179 1.50519
-2.32733 0.15001 2.4372
-2.28996 0.15001 2.15027
-2.30251 0.15001 2.15821
-2.30554 0.15001 2.12977
-2.30244 0.15001 2.15814
-2.30554 0.15001 2.12977
-2.16135 0.149884 1.8232
-2.33349 0.15023 2.4716
-2.30194 0.150632 2.16515
-2.32816 0.161597 2.128
-2.33463 0.150298 2.34674
-2.32803 0.161713 2.12777
-2.33463 0.150298 2.34674
-2.39035 0.15001 2.34715
-2.2733 0.150258 2.75838
-2.35914 0.15022 2.48617
-2.36295 0.15022 2.43109
-2.35757 0.15001 2.52542
-2.36267 0.15022 2.43089
-2.35757 0.15001 2.52543
-2.15762 0.150269 2.63842
-2.28499 0.150229 2.63536
-2.34034 0.15001 2.60531
-2.31021 0.15001 2.58885
-2.34848 0.150278 2.60947
-2.31018 0.15001 2.58876
-2.34848 0.150278 2.60947
-2.31266 0.150277 2.71907
-2.29316 0.15001 2.76495
-2.31713 0.15001 2.78756
-2.31728 0.150273 2.79032
-2.31607 0.15001 2.74808
-2.31739 0.150273 2.78953
-2.31608 0.15001 2.74808
-2.29967 0.15001 2.72615
-2.32414 0.151062 2.74239
-2.31905 0.15001 2.84992
-2.34014 0.150256 2.84996
-2.30147 0.15001 2.83425
-2.34014 0.150256 2.84996
-1.22546 0.150369 -0.122876
-1.259 0.150278 -0.098262
-1.397 0.15001 0.03656
-1.27366 0.150219 -0.0719667
-1.36514 0.15001 -0.0267047
-1.91538 0.150277 0.42629
-1.29361 0.150219 -0.060745
-1.91538 0.150277 0.42629
-1.85095 0.15001 0.214165
-1.85789 0.149873 0.632712
-2.02906 0.15057 0.822163
-2.02413 0.150169 0.814213
-2.09595 0.15001 1.30784
-2.04047 0.150199 0.829089
-2.09595 0.15001 1.30784
-2.37253 0.150312 1.51172
-2.17794 0.150261 1.39119
-2.37342 0.150225 1.57929
-2.40552 0.150279 1.66982
-2.37202 0.15001 1.77238
-2.3551 0.15001 1.60776
-2.37202 0.15001 1.77238
-2.43015 0.15001 1.61588
-2.25404 0.150262 2.32442
-2.34597 0.150277 1.97586
-2.34974 0.15001 1.91014
-2.32847 0.15001 2.03317
-2.34153 0.15001 1.95071
-2.32847 0.15001 2.03317
-2.42567 0.15001 1.65503
-2.36833 0.149777 2.48496
-2.27092 0.150283 2.1314
-2.28996 0.15001 2.15027
-2.23914 0.15001 2.18438
-2.27659 0.15001 2.07283
-2.23914 0.15001 2.18438
-2.32703 0.14975 1.84578
-2.2976 0.15001 2.60028
-2.37056 0.15028 2.43082
-2.30194 0.150632 2.16515
-2.35243 0.15001 2.47571
-2.29886 0.150265 2.27259
-2.35243 0.15001 2.47571
-2.36536 0.15001 2.39209
-2.28476 0.150613 2.8037
-2.31775 0.15001 2.65204
-2.35914 0.15022 2.48617
-2.30465 0.15001 2.60516
-2.3072 0.15001 2.59177
-2.30465 0.15001 2.60516
-2.34438 0.15001 2.58169
-2.33586 0.150257 2.82089
