6000000 0.05
-1.64552 0.150279 -0.850774
-1.68173 0.15001 -0.745371
-1.94473 0.150265 -0.513881
-1.82083 0.15001 -0.625744
-1.89597 0.15001 -0.568811
-2.81796 0.15001 -0.0117317
-1.89654 0.15001 -0.568192
-2.81796 0.15001 -0.0117317
-2.79923 0.15001 -0.259075
-2.79744 0.150294 0.409572
-2.79464 0.150301 0.426027
-2.80601 0.150281 0.37928
-2.86522 0.150334 1.40667
-2.80599 0.150281 0.379334
-2.86522 0.150334 1.40667
-2.873 0.150332 1.05924
-2.86683 0.150336 1.44553
-2.85347 0.150383 1.85475
-2.85315 0.150441 1.87737
-2.84878 0.153532 1.9912
-2.85315 0.150441 1.87747
-2.84878 0.153532 1.9912
-2.86311 0.150336 1.37907
-2.82965 0.187059 2.25138
-2.8455 0.153862 2.05859
-2.84599 0.154384 2.04725
-2.81554 0.156915 2.13471
-2.84599 0.154387 2.04716
-2.81554 0.156915 2.13471
-2.86273 0.150336 1.37579
-2.84805 0.154106 2.63318
-2.83619 0.195202 2.28863
-2.83974 0.198351 2.30871
-2.83111 0.18929 2.26052
-2.83975 0.198353 2.30873
-2.83111 0.18929 2.26052
-2.8509 0.151447 1.94741
-2.8472 0.154379 2.57233
-2.83244 0.1911 2.26831
-2.82774 0.183263 2.23738
-2.84975 0.188968 2.41726
-2.82772 0.18321 2.23719
-2.84975 0.188967 2.41726
-2.84451 0.200418 2.33652
-2.83934 0.150634 2.77272
-2.84663 0.159353 2.52066
-2.84908 0.179325 2.44656
-2.84668 0.15617 2.54354
-2.84909 0.179395 2.44635
-2.84668 0.15617 2.54354
-2.84739 0.153494 2.66932
-2.84799 0.154041 2.639
-2.848 0.154055 2.6378
-2.8481 0.154157 2.62692
-2.84795 0.154118 2.60815
-2.8481 0.154158 2.62683
-2.84795 0.154118 2.60815
-2.84115 0.150945 2.75825
-2.8481 0.154152 2.61909
-2.84785 0.153896 2.64926
-2.83536 0.150363 2.80739
-2.84789 0.154085 2.60476
-2.83536 0.150363 2.80745
-2.84789 0.154085 2.60476
-2.84728 0.153436 2.67237
-2.84808 0.154139 2.62967
-2.83284 0.150345 2.82828
-2.83285 0.150345 2.82819
-2.83693 0.150389 2.79369
-2.83285 0.150345 2.82819
-1.66919 0.15001 -0.79873
-1.71852 0.15001 -0.649918
-1.84521 0.150248 -0.601477
-1.68788 0.15001 -0.740393
-1.82083 0.15001 -0.625744
-2.81397 0.150277 0.0158502
-1.6907 0.15001 -0.673563
-2.81397 0.150277 0.0158502
-2.72768 0.15001 -0.269086
-2.54725 0.150252 0.306153
-2.794 0.150303 0.431076
-2.79464 0.150301 0.426027
-2.83012 0.150336 1.28403
-2.79267 0.15031 0.445704
-2.83012 0.150336 1.28403
-2.85876 0.150335 1.60045
-2.85213 0.150304 1.31708
-2.85361 0.150336 1.68342
-2.85347 0.150383 1.85475
-2.85029 0.151847 1.96081
-2.85292 0.15034 1.75724
-2.85029 0.151847 1.96081
-2.86274 0.150335 1.54509
-2.84931 0.18092 2.44185
-2.82503 0.154643 2.11111
-2.8455 0.153862 2.05859
-2.81268 0.159269 2.14907
-2.8364 0.15381 2.09308
-2.81268 0.15927 2.14907
-2.8576 0.150335 1.61617
-2.84738 0.154136 2.58337
-2.81372 0.168542 2.1878
-2.83619 0.195202 2.28863
-2.84418 0.200331 2.33439
-2.81416 0.157754 2.14045
-2.84418 0.200331 2.33439
-2.84993 0.152638 1.96832
-2.84628 0.152884 2.69406
-2.84662 0.159148 2.52186
-2.83244 0.1911 2.26831
-2.84708 0.154574 2.56697
-2.84716 0.200194 2.35643
-2.84708 0.154574 2.56697
-2.84977 0.195951 2.38934
-2.8368 0.150387 2.79479
-2.8387 0.150537 2.77791
-2.84663 0.159353 2.52066
-2.84683 0.153187 2.68291
-2.84606 0.15277 2.69793
-2.84683 0.153187 2.6829
-2.84761 0.15405 2.59281
-2.84583 0.152646 2.70206
-2.84762 0.154048 2.59335
-2.848 0.154055 2.6378
-2.84663 0.15694 2.53685
-2.8481 0.154153 2.6182
-2.84663 0.15694 2.53685
-2.83261 0.150344 2.83016
-2.84769 0.154044 2.59505
-2.84795 0.154118 2.60805
-2.84785 0.153896 2.64926
-2.84781 0.15408 2.60041
-2.84808 0.154134 2.61672
-2.84781 0.15408 2.60041
-2.8445 0.150661 2.72991
-2.83339 0.150347 2.82397
-2.83281 0.150345 2.8285
-2.83284 0.150345 2.82828
-2.84809 0.154155 2.62741
-2.83283 0.150345 2.82838
-1.77685 0.150259 -0.633584
-1.69726 0.15001 -0.676361
-1.8957 0.15023 -0.527927
-1.71608 0.150278 -0.662726
-1.68788 0.15001 -0.740393
-2.75618 0.15001 -0.175933
-1.68394 0.15001 -0.745209
-2.75618 0.15001 -0.175933
-2.77527 0.15001 -0.224971
-2.80355 0.15001 -0.0214875
-2.79152 0.150328 0.488419
-2.794 0.150303 0.431076
-2.85825 0.150336 1.15203
-2.79369 0.150305 0.433846
-2.85825 0.150336 1.15203
-2.85288 0.15034 1.75244
-2.82202 0.150327 1.2704
-2.85356 0.150352 1.8291
-2.85361 0.150336 1.68342
-2.85244 0.150556 1.90634
-2.85169 0.150338 1.7155
-2.85244 0.150556 1.90634
-2.8535 0.150348 1.81962
-2.84766 0.199868 2.36108
-2.84484 0.153662 2.07683
-2.82503 0.154643 2.11111
-2.81205 0.16037 2.15481
-2.83233 0.154004 2.09891
-2.81205 0.16037 2.15481
-2.812 0.164713 2.17369
-2.84711 0.165111 2.49339
-2.81198 0.164663 2.17343
-2.81372 0.168542 2.1878
-2.84306 0.200021 2.32759
-2.81669 0.172641 2.20169
-2.84306 0.200021 2.32759
-2.81852 0.155819 2.12528
-2.84795 0.153999 2.6423
-2.8462 0.200509 2.34855
-2.84662 0.159148 2.52186
-2.84727 0.153432 2.67256
-2.84664 0.159587 2.51933
-2.84727 0.153432 2.67256
-2.84987 0.195392 2.39188
-2.83473 0.150356 2.8129
-2.84789 0.153942 2.64627
-2.8387 0.150537 2.77791
-2.8451 0.152266 2.71411
-2.83844 0.150496 2.78026
-2.8451 0.152266 2.71411
-2.847 0.154726 2.5636
-2.84812 0.154152 2.6206
-2.84801 0.154057 2.6376
-2.84762 0.154048 2.59335
-2.847 0.153281 2.67911
-2.84777 0.154043 2.59869
-2.847 0.153281 2.67911
-2.83562 0.150367 2.80526
-2.84761 0.154049 2.59296
-2.84805 0.154135 2.61514
