1000 0.1
-1.14261 0.15001 0.898306
-1.09383 0.15001 1.07817
-1.25669 0.15001 1.20886
-1.21686 0.15001 1.40126
-0.858006 0.15001 1.69162
-0.636335 0.15001 1.70877
-1.19776 0.15001 2.24188
-1.04863 0.15001 2.4092
-0.739411 0.15001 2.52572
-1.06026 0.15001 2.72854
-0.863842 0.15001 0.452136
-1.35227 0.15001 0.971567
-1.41097 0.15001 1.35761
-1.10404 0.15001 1.74688
-1.3747 0.15001 2.0847
-1.4789 0.15001 2.27018
-1.29626 0.15001 2.41058
-1.33657 0.15001 2.58661
-1.43198 0.15001 2.7411
-0.616639 0.15001 2.84999
-0.668904 0.157627 0.392431
-1.43417 0.15051 1.16486
-0.856985 0.15001 1.38581
-0.656981 0.15001 1.541
-0.75964 0.285011 1.70936
-1.10166 0.15001 1.92626
-0.734439 0.15001 2.21201
-0.571792 0.23836 2.26663
-0.748354 0.173984 2.3671
-1.25597 0.159773 2.84717
-0.843561 0.206496 0.644996
-0.627376 0.15001 0.977756
-1.44977 0.164105 1.61731
-1.46556 0.169525 1.81841
-1.30363 0.151127 1.89728
-1.18202 0.15001 2.06974
-1.3468 0.26283 2.24187
-1.29416 0.311469 2.48502
-1.21932 0.259455 2.66638
-0.934086 0.15001 2.84999
-0.521972 0.15001 0.838902
-1.25229 0.235294 1.07122
-0.996032 0.15001 1.24028
-1.05514 0.15001 1.58822
-0.580352 0.317551 1.64308
-0.562903 0.273853 1.81801
-0.947918 0.157327 2.26368
-0.534269 0.399866 2.24426
-0.568912 0.396175 2.40464
-0.718166 0.15001 2.71941
-0.982931 0.190061 0.859532
-0.839229 0.192718 1.0315
-1.03225 0.240246 1.40044
-1.2706 0.188019 1.57086
-1.20803 0.283779 1.96171
-0.96657 0.151322 2.08544
-1.1774 0.295804 2.15354
-1.12647 0.282618 2.31645
-1.0586 0.219623 2.57477
-0.719779 0.278856 2.84999
-0.664705 0.174587 0.575408
-1.13847 0.260325 1.21658
-0.659566 0.156928 1.33033
-0.760341 0.251435 1.47234
-1.0424 0.275669 1.82384
-0.936081 0.152406 1.86866
-0.712266 0.15001 2.03901
-0.963903 0.316994 2.25192
-1.10902 0.379033 2.44954
-0.885433 0.245687 2.5786
-0.762488 0.178589 0.853507
-0.613096 0.306097 1.26916
-0.886822 0.261512 1.26021
-0.927594 0.368856 1.44363
-0.483811 0.441796 1.68258
-0.816306 0.2454 1.90296
-0.835078 0.242474 2.13087
-0.866708 0.28749 2.40548
-0.769782 0.300578 2.68629
-0.963606 0.296682 2.84778
-0.678197 0.315962 0.915564
-0.789585 0.353623 1.34026
-0.724185 0.418138 1.48889
-0.888983 0.36547 1.63554
-0.696827 0.350665 1.88564
-0.811827 0.367324 2.02011
-0.691472 0.368402 2.15426
-0.817452 0.461007 2.32667
-0.767315 0.372145 2.51775
-0.857036 0.49725 2.68588
-0.523033 0.427512 0.971196
-0.645061 0.351508 1.08765
-0.595314 0.466133 1.32894
-0.625356 0.614407 1.43863
-0.750741 0.483859 1.80313
-0.699228 0.556446 1.99202
-0.638033 0.548835 2.19034
-0.685367 0.639066 2.36125
-0.65221 0.471399 2.61304
-0.627997 0.579732 2.80282
-0.311544 0.15001 0.335203
-0.267849 0.15001 1.18612
-0.36607 0.15001 1.33074
-0.31378 0.15001 1.506
-0.353501 0.15001 1.73522
-0.475864 0.15001 1.87049
-0.538659 0.15001 2.05794
-0.351101 0.15001 2.35124
-0.414499 0.15001 2.54648
-0.478583 0.15001 2.70992
-0.785899 0.15001 0.270161
-0.398855 0.15001 1.05517
-0.469977 0.15001 1.20791
-0.478949 0.15001 1.44508
-0.457988 0.15001 1.60656
-0.685825 0.15001 1.86766
-0.442429 0.15001 2.21017
-0.512748 0.150059 2.40081
-0.576383 0.15001 2.57186
-0.333877 0.15001 2.84999
-0.499717 0.15001 0.438354
-0.232997 0.284404 1.25854
-0.330697 0.291798 1.41284
-0.309862 0.300318 1.57901
-0.245918 0.271951 1.73411
-0.341161 0.264091 1.87266
-0.381144 0.164712 2.0084
-0.271457 0.276892 2.2417
-0.319196 0.257544 2.48515
-0.389817 0.304592 2.66271
-0.457353 0.172086 0.0854559
-0.302033 0.276979 1.09914
-0.403904 0.310755 1.26575
-0.452672 0.357555 1.52141
-0.425329 0.285544 1.70887
-0.487659 0.311415 1.99267
-0.421027 0.302143 2.16089
-0.409878 0.309518 2.34522
-0.493951 0.300941 2.52334
-0.471558 0.234364 2.84999
-0.209573 0.15001 0.475857
-0.477655 0.263102 0.966241
-0.344026 0.465043 1.40262
-0.345627 0.480486 1.57231
-0.319668 0.417827 1.72281
