1000 0.1
-2.8573 0.150276 -2.52524
-2.86934 0.150314 -2.70715
-2.86418 0.150329 -2.15984
-2.86677 0.150306 -2.73843
-2.86995 0.150315 -2.65589
-2.86451 0.150331 -2.15282
-2.86995 0.150315 -2.65604
-2.86451 0.150331 -2.15282
-2.19101 0.15001 -1.66022
-2.86406 0.150328 -2.16217
-2.86303 0.150323 -2.17857
-2.86197 0.150318 -2.19223
-2.82525 0.150336 -0.819232
-2.86197 0.150318 -2.19223
-2.82525 0.150336 -0.819232
-2.86236 0.15032 -2.18749
-2.76354 0.150335 0.75285
-2.84353 0.150335 -0.423971
-2.84173 0.150336 -0.522928
-2.81157 0.150335 0.199315
-2.8417 0.150336 -0.523807
-2.81157 0.150335 0.199315
-2.8512 0.15029 -1.24017
-2.76769 0.150335 0.708581
-2.79885 0.150335 0.635531
-2.85001 0.150335 0.509955
-2.76566 0.150335 0.727386
-2.85001 0.150335 0.508672
-2.76566 0.150335 0.727387
-2.83194 0.150336 -0.842702
-2.63383 0.150198 2.47099
-2.78281 0.150336 0.914808
-2.7732 0.150335 0.867119
-2.76751 0.150335 0.848891
-2.77312 0.150335 0.866779
-2.76751 0.150335 0.848891
-2.80785 0.150335 0.158374
-2.69568 0.150989 2.7174
-2.79302 0.150336 1.13964
-2.79305 0.150336 0.969807
-2.78346 0.171699 2.23946
-2.79313 0.150336 0.9687
-2.78346 0.171699 2.23946
-2.7899 0.171083 2.22694
-2.74204 0.158467 2.31129
-2.79462 0.174673 2.21409
-2.79259 0.171368 2.22038
-2.71578 0.164511 2.33805
-2.79244 0.17219 2.22096
-2.71578 0.164511 2.33805
-2.81732 0.145256 1.91831
-2.70299 0.162177 2.35009
-2.6623 0.150259 2.40904
-2.64614 0.150217 2.4408
-2.63254 0.150619 2.59263
-2.646 0.150216 2.44111
-2.63254 0.150619 2.59263
-2.6479 0.151452 2.64544
-2.66274 0.151546 2.67099
-2.62588 0.150333 2.55284
-2.62193 0.150252 2.50803
-2.69431 0.15102 2.71566
-2.62191 0.150252 2.50811
-2.69431 0.15102 2.71566
-2.70579 0.150365 2.74109
-2.68256 0.151281 2.70177
-2.69137 0.151087 2.71138
-2.69973 0.150881 2.72569
-2.62594 0.150337 2.55421
-2.69973 0.150881 2.72568
-2.86681 0.150306 -2.73872
-2.85117 0.150283 -2.55276
-2.81892 0.150276 -2.51374
-2.86668 0.150306 -2.74118
-2.86677 0.150306 -2.73843
-2.86285 0.150322 -2.18103
-2.86904 0.150313 -2.71206
-2.86285 0.150322 -2.18103
-2.8629 0.150322 -2.18046
-2.86416 0.150329 -2.16031
-2.86301 0.150323 -2.17891
-2.86303 0.150323 -2.17857
-2.81923 0.150336 -0.713748
-2.86297 0.150323 -2.17947
-2.81923 0.150336 -0.713748
-2.86033 0.15031 -2.21077
-2.77445 0.150335 0.873087
-2.81454 0.150335 0.0998183
-2.84353 0.150335 -0.423971
-2.84989 0.150335 0.450842
-2.81285 0.150335 -0.0622882
-2.84989 0.150335 0.450842
-2.84196 0.150336 -0.513863
-2.81693 0.146451 1.82576
-2.76255 0.150335 0.801571
-2.79885 0.150335 0.635531
-2.76256 0.150335 0.786116
-2.76283 0.150335 0.76738
-2.76256 0.150335 0.786116
-2.81369 0.150335 0.210775
-2.67242 0.151461 2.68605
-2.82126 0.19117 1.25029
-2.78281 0.150336 0.914808
-2.78439 0.150336 1.06932
-2.79043 0.150336 0.995229
-2.78439 0.150336 1.06932
-2.76746 0.150335 0.710026
-2.7058 0.150365 2.74109
-2.80165 0.175997 2.1878
-2.79302 0.150336 1.13964
-2.80117 0.174683 2.18962
-2.81736 0.14615 1.83727
-2.80117 0.174683 2.18962
-2.63389 0.150198 2.46987
-2.7058 0.150365 2.74109
-2.8005 0.1742 2.19249
-2.79462 0.174673 2.21409
-2.79511 0.174491 2.21259
-2.79053 0.174079 2.22451
-2.79511 0.174491 2.21259
-2.62072 0.150283 2.53132
-2.62189 0.150252 2.50821
-2.75184 0.169143 2.29644
-2.6623 0.150259 2.40904
-2.63279 0.150198 2.47423
-2.71192 0.164327 2.34096
-2.63279 0.150198 2.47423
-2.64679 0.151428 2.64317
-2.69149 0.151085 2.71162
-2.68956 0.151118 2.70922
-2.62588 0.150333 2.55284
-2.7058 0.150365 2.74109
-2.65953 0.151555 2.66606
-2.7058 0.150365 2.74109
-2.7058 0.150365 2.74109
-2.66351 0.151544 2.67225
-2.67151 0.151469 2.68414
-2.69137 0.151087 2.71138
-2.7058 0.150365 2.74109
-2.67652 0.151395 2.69159
-2.86445 0.1503 -2.75927
-2.80583 0.150284 -2.53497
-2.83974 0.150268 -2.49349
-2.86681 0.150307 -2.73805
-2.86668 0.150306 -2.74118
-2.86278 0.150322 -2.18199
-2.86745 0.150308 -2.73176
-2.86278 0.150322 -2.18199
-2.86398 0.150328 -2.16378
-2.86274 0.150322 -2.18257
-2.86243 0.15032 -2.18655
-2.86301 0.150323 -2.17891
-2.81665 0.150336 -0.761047
-2.86417 0.150329 -2.16019
-2.81665 0.150336 -0.761064
-2.85722 0.150295 -2.3559
-2.76502 0.150335 0.740183
-2.82104 0.150306 -0.243143
-2.81454 0.150335 0.0998183
-2.8222 0.150335 0.597461
-2.81664 0.150335 0.089284
-2.8222 0.150335 0.597461
-2.80797 0.150335 -0.120041
-2.6254 0.150329 2.55167
-2.76496 0.150335 0.740582
-2.76255 0.150335 0.801571
-2.76251 0.150335 0.800696
-2.76266 0.150335 0.804132
-2.76251 0.150335 0.800696
-2.85 0.150335 0.502169
-2.68814 0.151153 2.70732
-2.79287 0.150336 0.96154
-2.82126 0.19117 1.25029
-2.8164 0.148394 1.81315
-2.81373 0.191119 1.22474
-2.8164 0.148394 1.81315
-2.7781 0.150335 0.893514
-2.67974 0.15134 2.6974
-2.8133 0.148216 1.76496
-2.80165 0.175997 2.1878
-2.64382 0.150211 2.44634
-2.73891 0.159474 2.31519
-2.64382 0.150211 2.44634
-2.62034 0.150274 2.52571
-2.70273 0.150788 2.73329
-2.78382 0.171701 2.23861
-2.8005 0.1742 2.19249
-2.81707 0.146356 1.8293
-2.79065 0.174083 2.22419
-2.81707 0.146356 1.8293
-2.63304 0.150746 2.5993
-2.64817 0.151457 2.64598
-2.70557 0.162888 2.34727
-2.75184 0.169143 2.29644
