1000 0.1
-2.84999 0.15001 0.486056
-0.799544 0.15001 -0.731081
-2.84999 0.15001 1.40515
-2.67556 0.15001 0.506976
-2.5423 0.15001 2.1539
-2.45586 0.15001 2.27872
-2.70606 0.15001 2.13156
-2.69637 0.15001 1.77415
-2.42787 0.15001 2.42846
-2.84999 0.15001 2.84999
-0.493074 0.15001 -2.23909
-2.83834 0.15001 0.76641
-2.28794 0.15001 -0.845361
-2.84999 0.15001 1.8652
-2.84999 0.15001 2.36057
-2.83976 0.730954 2.20286
-2.84982 0.367071 2.42564
-2.7172 0.15001 2.42528
-2.84999 0.15001 2.53113
-2.3761 0.15001 2.84999
-2.74016 0.15001 -0.292766
-2.61324 0.230616 0.344481
-2.15131 0.395857 1.92217
-2.74077 0.15001 0.253838
-2.84999 0.15001 1.05166
-2.6977 0.15001 1.43638
-1.40726 0.301389 1.8371
-2.77441 0.553784 1.43425
-2.29154 0.15001 2.4743
-2.52481 1.23822 2.84475
-2.00079 0.163835 -0.0651634
-2.64498 0.15001 0.0722788
-2.8496 0.902716 1.81871
-2.84999 0.15001 1.7113
-2.84999 0.15001 2.02741
-2.69854 0.15001 1.94323
-2.54448 0.15001 1.99819
-2.84652 0.15001 2.1973
-2.71093 0.15001 2.57568
-2.82568 0.302129 2.84999
-0.4937 0.25847 -1.55144
-2.84271 0.45101 -0.138686
-2.56179 0.15001 1.1387
-2.39577 0.186768 1.42113
-2.84999 0.15001 1.56028
-2.19901 0.15001 2.17099
-2.55163 0.15001 1.71119
-2.76581 0.28054 2.26044
-2.84183 0.348052 2.71542
-2.82651 0.15001 2.69481
-2.59622 0.15001 -0.362968
-2.67034 0.323669 0.755245
-2.70307 0.309128 1.53891
-2.84079 0.15001 0.909135
-2.6528 0.15001 0.983714
-2.56115 0.307679 1.31657
-2.81865 0.290749 1.87638
-2.73513 0.426117 1.78027
-2.70534 0.15001 2.84999
-2.67186 0.509854 2.84999
-2.25396 0.152712 0.166878
-2.54462 0.15001 0.222908
-2.70864 0.508809 1.00403
-1.41589 0.18298 1.72698
-2.6773 0.15001 1.5975
-2.55941 0.190572 1.41528
-2.84525 0.407765 2.57867
-1.6807 0.206285 1.96537
-2.69091 0.286662 2.72204
-2.71158 0.667595 2.74592
-2.02147 0.15001 -1.2098
-2.67437 0.15001 -0.103589
-2.1229 0.15001 0.677142
-2.49539 0.15001 0.929021
-2.23528 0.15001 1.81587
-1.43545 0.321603 2.09289
-2.40095 0.15001 1.93859
-2.18572 0.33672 1.48687
-1.99914 0.15001 2.62767
-2.84999 0.574838 2.84999
-2.13287 0.162213 -0.691915
-2.36022 0.15001 0.427964
-1.83659 0.534367 0.960576
-2.67557 0.15001 1.27524
-1.57691 0.171312 1.46719
-2.74742 0.455442 2.15358
-2.24005 0.254505 1.65909
-2.40491 0.318 2.36586
-2.35801 0.150529 2.12608
-1.76695 0.407202 2.02765
-1.25012 0.291699 0.730904
-1.71572 0.15001 0.777218
-2.3279 0.155567 0.833937
-1.42074 0.307626 1.27345
-2.48917 0.307912 0.505008
-1.6484 0.410316 1.69352
-2.03933 0.190897 2.24861
-1.58397 0.151551 2.66766
-1.23809 0.15001 2.69589
-0.756132 0.609823 2.69814
-2.15658 0.15001 -0.506672
-0.578553 0.15001 -1.6545
-2.24552 0.15001 1.02525
-2.61136 0.15001 0.648321
-1.77863 0.15001 1.84375
-1.83093 0.15001 2.0238
-2.08777 0.15001 1.72468
-2.42912 0.15001 2.64115
-1.85834 0.15001 2.82363
-2.5711 0.15001 2.6266
-0.827954 0.15001 -2.02856
-2.07737 0.15001 -1.48642
-1.46703 0.15001 -0.245083
-2.64461 0.15001 0.820101
-2.72415 0.15001 1.12617
-1.99875 0.15001 2.41858
-2.2958 0.15001 2.28689
-2.84999 0.454316 2.26427
-2.67249 0.15001 2.72436
-2.01531 0.15001 2.84999
-1.72638 0.15001 0.00179477
-2.05829 0.15001 -1.01182
-1.88284 0.15001 0.439409
-2.19382 0.15001 1.28734
-1.84362 0.171099 1.07323
-2.1154 0.15001 2.72051
-1.35597 0.546793 2.21059
-0.844682 0.15001 2.26423
-2.24543 0.473782 1.47466
-2.29821 0.833154 2.37457
-1.29548 0.15001 -1.90492
-1.64695 0.15001 -0.952959
-2.7753 0.15001 0.632669
-2.68712 0.832891 1.09207
-2.49714 0.15001 1.28595
-2.48945 0.15001 1.53091
-2.57038 0.15001 2.47046
-2.59932 0.421373 2.55825
-1.25361 0.681481 2.69429
-1.76045 0.255314 2.84999
-1.07204 0.325963 -1.6045
-2.04178 0.719695 0.97712
-2.52644 0.15001 0.465935
-2.84999 0.15001 1.23764
-1.34571 0.15001 2.17798
-2.38948 0.15001 1.78851
-2.76837 0.56023 2.5863
-2.79582 0.544115 2.38432
-0.866695 1.29332 2.78186
-2.54351 0.15001 2.84999
-1.1452 0.15001 -1.1919
-0.378039 0.15001 -0.468381
-2.83297 0.151349 -0.101119
-1.46583 0.150832 1.14275
-2.84999 0.324389 1.51852
-2.79985 0.29968 2.09869
-2.2011 0.15001 2.59169
-1.8196 0.15001 2.63416
-2.30829 0.350863 2.61267
-2.12184 0.271027 2.51474
-2.06821 0.175735 -1.89059
-1.37256 0.161379 -1.35926
-0.349224 0.15001 0.500666
-2.44095 0.255416 1.17181
-1.49751 0.15001 2.00533
-1.113 0.15001 2.27293
-1.27675 0.167446 2.32491
-1.67843 0.151795 2.14316
-0.883293 0.17692 2.84999
-2.59938 0.377423 2.81252
-0.834669 0.171168 -0.206568
-1.47005 0.15001 -0.871531
-1.45088 0.272709 1.00619
-2.25801 0.17292 1.98311
-1.26749 0.15001 1.41346
-1.1479 0.217232 2.10535
-2.17518 0.15001 2.38318
-0.589433 0.490089 2.6646
-1.603 0.588867 2.47127
-1.63767 0.31606 2.79548
-1.62703 0.166907 -1.8349
-0.875371 0.192032 0.152359
-1.47461 0.172769 0.46055
-1.18646 0.291055 1.35265
-1.61337 0.152664 1.24651
-1.40668 0.184147 1.5236
-1.5738 0.214036 2.35123
-1.03655 0.369085 2.09324
-1.70957 0.243768 2.27326
-2.08304 0.387805 2.84864
-1.64729 0.170207 0.617443
-1.17417 0.15001 0.601694
-0.968584 0.339577 0.787898
-0.705034 0.169798 1.17609
-1.28215 0.428784 1.3473
-1.03131 0.290949 1.49264
-0.950442 0.207796 2.14818
-1.59462 0.640264 1.90853
-2.63975 0.587997 2.19338
-0.910059 0.813864 2.021
-1.5214 0.15001 -1.09436
-0.14209 0.15001 -1.38585
-0.691563 0.15001 0.28309
-1.64917 0.15001 1.03515
-2.40958 0.15001 1.64625
-0.827155 0.15001 1.845
-1.84058 0.15001 2.24392
-1.68165 0.15001 2.78009
-0.928107 0.15001 2.61766
-1.54342 0.15001 2.84999
-0.747901 0.15001 -2.58013
-2.25513 0.15001 -1.25589
-2.04286 0.15001 1.39969
-1.89966 0.15001 1.58153
-1.93031 0.316719 1.33447
-1.21916 0.15001 1.66862
