1000 0.1
-0.910203 0.15001 -2.33465
-2.55616 0.15001 -2.0374
-2.07909 0.15001 -1.32902
-2.34058 0.15001 -2.84999
-1.72931 0.15001 -0.791427
-2.4694 0.15001 0.279543
-1.94525 0.15001 -0.597731
-1.71959 0.15001 1.89975
-2.14255 0.15001 2.09196
-2.76375 0.15001 2.42088
-2.84999 0.15001 -2.26758
-2.69119 0.15001 -2.47578
-2.70197 0.15001 0.522282
-2.81003 0.15001 -0.489662
-2.80708 0.15001 -0.0122687
-2.84995 0.15001 1.24057
-2.21966 0.15001 -0.551213
-2.81705 0.15001 2.84999
-2.47855 0.15001 1.55492
-2.16381 0.15001 2.77237
-1.28239 0.15001 -2.33314
-2.09545 0.24481 -0.563048
-2.84999 0.15001 -0.932831
-2.59498 0.15001 -1.25282
-2.42394 0.15001 -1.09735
-2.06642 0.15001 -2.29937
-2.84999 0.15001 -0.648508
-2.84422 0.15001 1.74415
-1.14119 0.313183 -0.0565512
-2.71335 0.15001 2.64031
-0.531172 0.15001 -2.76005
-1.0698 0.15001 0.248056
-1.67469 0.15001 -2.35295
-1.88772 0.15001 -0.81043
-2.84999 0.15001 -0.323334
-2.71425 0.15001 1.58447
-0.176376 0.15001 0.40895
-0.489666 0.15001 0.280719
-1.2646 0.15001 1.9005
-1.72897 0.15001 2.76245
-2.84999 0.15001 -1.89872
2.82025 0.15001 -1.32802
-2.13969 0.15001 -2.14597
-2.23305 0.15001 -2.42892
0.569369 0.297851 -0.138171
-2.09402 0.15001 0.938821
-0.809436 0.15001 -1.14947
0.0107397 0.15001 0.523624
-1.6364 0.15001 -1.20425
-2.20419 0.15001 1.85484
-1.17946 0.15001 -2.84999
-1.87712 0.15001 -2.31103
-2.66337 0.15001 -0.395775
-0.839969 0.15001 -1.51119
-0.259224 0.15001 0.884957
-2.74288 0.15001 -0.177555
-1.74937 0.15001 -1.58648
-1.87612 0.15001 -1.19375
-2.51947 0.15001 1.33297
-2.83561 0.15001 2.26746
-2.71944 0.15001 -1.99949
-2.30825 0.15001 -2.6074
-2.51009 0.15001 -1.41696
-2.6329 0.15001 -1.85312
-2.0687 0.15001 -1.51261
-1.69987 0.328243 -0.968482
0.233511 0.298451 0.688981
-0.180235 0.170708 0.590531
-2.1575 0.15001 2.53178
-0.375223 0.15001 0.0449923
-0.17847 0.15001 -2.84848
-2.06806 0.15001 -0.422024
-2.84999 0.15001 -1.11749
-1.82393 0.15001 1.13059
-1.56675 0.15001 -1.0251
-1.90008 0.15001 -0.974125
-2.66192 0.15001 -0.918783
-0.870974 0.15001 0.794153
-1.98756 0.15001 1.46096
-2.61569 0.15001 2.49
-0.770193 0.15001 -0.307044
-2.43148 0.15001 -1.26322
-2.51885 0.15001 -0.773839
-2.41415 0.15001 -2.14892
-1.6016 0.15001 0.249287
1.99364 0.270781 -1.63105
-2.75503 0.15001 0.920169
-2.51807 0.15001 0.128622
-2.00672 0.15001 -0.143971
-0.779914 0.15001 0.932167
-2.27543 0.15001 -2.25421
0.116491 0.15001 -0.493483
-2.34874 0.15001 -0.934312
0.568479 0.310466 -1.82849
-1.20994 0.15001 -0.0464391
-1.08117 0.15001 1.28189
-1.92266 0.15001 -1.57505
-1.31921 0.15001 -1.86625
-1.36457 0.15001 0.478535
-1.18213 0.15001 2.43631
-0.856157 0.15001 -2.50837
-1.92069 0.15001 -2.6424
-1.8187 0.15001 -1.73313
-1.50306 0.15001 -0.478668
-1.00886 0.15001 -0.239914
0.0597809 0.15001 -0.791164
