1000 0.1
-0.448577 0.147615 0.942188
-0.326736 0.14902 1.07688
-0.559754 0.147271 1.05412
-0.446903 0.14861 1.05333
-0.430697 0.147233 1.06976
-0.419473 0.148267 1.17553
-0.430547 0.147239 1.06992
-0.419473 0.148267 1.17553
-0.313369 0.149048 1.26475
-0.551235 0.147977 1.25241
-0.437307 0.156024 1.24836
-0.419385 0.148266 1.26023
-0.419832 0.150825 1.34716
-0.419287 0.148267 1.26023
-0.419832 0.150825 1.34716
-0.323596 0.15644 1.42956
-0.543677 0.151908 1.43674
-0.432584 0.172099 1.42066
-0.41863 0.157021 1.42831
-0.415594 0.155353 1.51539
-0.41852 0.157022 1.42832
-0.415594 0.155353 1.51539
-0.311436 0.152992 1.59827
-0.55089 0.148345 1.63315
-0.430273 0.164919 1.60047
-0.413465 0.150065 1.6026
-0.425766 0.148705 1.69107
-0.41335 0.15007 1.6026
-0.425765 0.148705 1.69107
-0.313828 0.156583 1.76826
-0.572896 0.148115 1.81364
-0.447295 0.166253 1.77987
-0.42844 0.151573 1.77671
-0.42068 0.152321 1.87518
-0.428323 0.15158 1.77669
-0.42068 0.152321 1.87518
-0.310607 0.151386 1.97825
-0.571167 0.147208 2.00195
-0.445083 0.15809 1.9902
-0.425565 0.147651 1.98124
-0.437021 0.148049 2.0801
-0.425439 0.147652 1.98121
-0.437021 0.148049 2.08011
-0.338414 0.149263 2.1624
-0.576002 0.147856 2.19232
-0.463314 0.158539 2.18436
-0.446882 0.148448 2.17368
-0.453426 0.148842 2.26164
-0.446787 0.148449 2.17365
-0.453426 0.148842 2.26164
-0.352602 0.152196 2.35048
-0.575262 0.148409 2.38016
-0.46968 0.162129 2.37281
-0.458061 0.148635 2.35934
-0.458965 0.148737 2.46111
-0.458007 0.148636 2.3593
-0.458965 0.148737 2.46111
-0.373524 0.152213 2.55011
-0.594091 0.148158 2.57553
-0.501045 0.163557 2.57497
-0.483514 0.148517 2.55911
-0.499502 0.151282 2.64305
-0.48347 0.148518 2.55907
-0.499502 0.151282 2.64305
-0.389837 0.151369 2.72392
-0.597003 0.148416 2.73981
-0.493808 0.168024 2.74528
-0.490713 0.151062 2.73168
-0.476326 0.14931 2.77793
-0.490711 0.151062 2.73167
-0.479011 0.151655 0.906388
-0.356607 0.176747 1.04306
-0.591382 0.145392 1.02207
-0.491539 0.197552 1.00602
-0.446903 0.14861 1.05333
-0.456274 0.168825 1.14401
-0.476424 0.173191 1.02257
-0.456274 0.168825 1.14401
-0.346461 0.180335 1.23734
-0.608853 0.14974 1.21654
-0.490133 0.201628 1.21329
-0.437307 0.156024 1.24836
-0.453735 0.176738 1.32463
-0.470421 0.180697 1.22721
-0.453735 0.176737 1.32463
-0.348868 0.18932 1.408
-0.591654 0.184089 1.42282
-0.474172 0.22636 1.39555
-0.432584 0.172099 1.42066
-0.445905 0.183999 1.50459
-0.459131 0.201168 1.40597
-0.445905 0.183999 1.50459
-0.340221 0.186802 1.58214
-0.610922 0.16851 1.64909
-0.48322 0.219436 1.59213
-0.430273 0.164919 1.60047
-0.461576 0.175565 1.69376
-0.463361 0.194466 1.59713
-0.461576 0.175565 1.69376
-0.342983 0.189993 1.76079
-0.632263 0.171176 1.83818
-0.503615 0.222793 1.79015
-0.447295 0.166253 1.77987
-0.459509 0.177837 1.88857
-0.483678 0.195877 1.78748
-0.459509 0.177837 1.88857
-0.344147 0.180167 1.9923
-0.630936 0.158464 2.03035
-0.505288 0.20898 2.01447
-0.445083 0.15809 1.9902
-0.475625 0.171013 2.10132
-0.483012 0.184476 2.00692
-0.475625 0.171013 2.10132
-0.36979 0.180132 2.1847
-0.626047 0.160293 2.22146
-0.512701 0.212884 2.21174
-0.463314 0.158539 2.18436
-0.482186 0.176432 2.28642
-0.494568 0.187208 2.20339
-0.482186 0.176432 2.28642
-0.375384 0.18304 2.37976
-0.60271 0.167323 2.41012
-0.503935 0.21886 2.41055
-0.46968 0.162129 2.37281
-0.488937 0.177316 2.49179
-0.491394 0.192165 2.39808
-0.488937 0.177316 2.49179
-0.403868 0.184053 2.5775
-0.628638 0.169695 2.60544
-0.539588 0.220708 2.60933
-0.501045 0.163557 2.57497
-0.517129 0.182849 2.66853
-0.523818 0.192298 2.59855
-0.517129 0.182849 2.66853
-0.392448 0.178338 2.7563
-0.598338 0.176766 2.76948
-0.504163 0.225296 2.77571
-0.493808 0.168024 2.74528
-0.476182 0.19593 2.81102
-0.498599 0.197838 2.76482
-0.514731 0.218649 0.862583
-0.384076 0.234188 1.01057
-0.630526 0.21236 0.979111
-0.474595 0.265274 1.0205
-0.491539 0.197552 1.00602
-0.491009 0.223526 1.11367
-0.493561 0.228361 1.00235
-0.491009 0.223526 1.11367
-0.379744 0.234738 1.21359
-0.660589 0.207504 1.18225
-0.476186 0.264755 1.21951
-0.490133 0.201628 1.21329
-0.488155 0.231103 1.29839
-0.494902 0.22996 1.20943
-0.488155 0.231103 1.29839
-0.371311 0.250515 1.38705
-0.636412 0.251772 1.39949
-0.456437 0.289463 1.39235
-0.474172 0.22636 1.39555
-0.476004 0.239916 1.48391
-0.475012 0.255271 1.38954
-0.476004 0.239916 1.48391
-0.367723 0.247442 1.56479
-0.665012 0.238396 1.65087
-0.465215 0.285598 1.57974
-0.48322 0.219436 1.59213
-0.502414 0.240896 1.69132
-0.486367 0.249217 1.58494
-0.502414 0.240896 1.69132
-0.367337 0.248259 1.75203
-0.676026 0.245982 1.84958
-0.479046 0.2875 1.77111
-0.503615 0.222793 1.79015
-0.503123 0.23597 1.89774
-0.504478 0.25346 1.78457
-0.503123 0.23597 1.89774
-0.380888 0.231307 2.00088
-0.682497 0.229607 2.04841
-0.488446 0.268181 1.99352
-0.505288 0.20898 2.01447
-0.519039 0.231116 2.11714
-0.509981 0.237269 2.01062
-0.519039 0.231116 2.11714
-0.402235 0.239375 2.20055
-0.675339 0.226064 2.24478
-0.501389 0.273284 2.18911
-0.512701 0.212884 2.21174
-0.514051 0.237763 2.30678
-0.517685 0.241937 2.20807
-0.514051 0.237763 2.30678
-0.398494 0.244674 2.40646
-0.646766 0.235493 2.44689
-0.495211 0.280033 2.38861
-0.503935 0.21886 2.41055
-0.522141 0.241903 2.51982
-0.50691 0.248322 2.40893
-0.522142 0.241903 2.51982
-0.436122 0.247419 2.60619
-0.677222 0.238036 2.63625
-0.536314 0.287492 2.59715
-0.539588 0.220708 2.60933
-0.541419 0.2474 2.69218
-0.545453 0.251971 2.61091
-0.541419 0.2474 2.69218
-0.403254 0.242719 2.77731
-0.612527 0.243123 2.7924
-0.520631 0.295763 2.76769
-0.504163 0.225296 2.77571
-0.49089 0.257363 2.81796
-0.512446 0.258042 2.77785
-0.459275 0.302869 0.928543
-0.342748 0.307531 1.05846
-0.565513 0.295638 1.03768
-0.417373 0.347622 1.07739
-0.474595 0.265274 1.0205
-0.441125 0.297687 1.15435
-0.442298 0.303949 1.05317
-0.441125 0.297687 1.15435
-0.340104 0.304976 1.2439
-0.572189 0.295714 1.22794
-0.416009 0.348969 1.25403
-0.476186 0.264755 1.21951
-0.443094 0.311502 1.32182
-0.44073 0.304085 1.24024
-0.443094 0.311502 1.32182
-0.340621 0.325644 1.40762
-0.558675 0.332438 1.40871
-0.424669 0.375945 1.41677
-0.456437 0.289463 1.39235
-0.437494 0.325375 1.4898
-0.43311 0.329908 1.40491
-0.437494 0.325375 1.4898
-0.333003 0.316253 1.57889
-0.575555 0.320408 1.60987
-0.421385 0.364101 1.58936
-0.465215 0.285598 1.57974
-0.44972 0.314967 1.67455
-0.434818 0.321919 1.58088
-0.44972 0.314967 1.67455
-0.324801 0.315218 1.7536
-0.590627 0.324583 1.80311
-0.435289 0.363391 1.76583
-0.479046 0.2875 1.77111
-0.449253 0.306724 1.86484
-0.447071 0.322495 1.76246
-0.449253 0.306724 1.86484
