1000 0.1
-1.66124 0.15001 -2.29008
-2.03503 0.15001 -2.63889
-1.55639 0.15001 -2.12984
-1.22306 0.15001 -2.21514
-1.92322 0.15001 -1.78587
-0.59127 0.15001 1.5219
-2.83724 0.15001 -0.94883
-2.67182 0.15001 0.185126
-2.18513 0.15001 -0.91976
-2.29948 0.15001 0.973257
-1.73099 0.15001 -2.7758
-2.65991 0.15001 -2.67291
-2.68191 0.15001 -2.49667
-2.0554 0.15001 -2.29145
-2.84884 0.15001 -1.8827
-2.84708 0.15001 -1.51403
-2.3635 0.15001 -1.02414
-2.67245 0.15001 -1.04168
-2.78671 0.15001 1.69262
-2.37417 0.15001 2.54822
-1.91742 0.15001 -2.78648
-2.83317 0.15001 -2.78065
-2.13872 0.15001 -2.47862
-1.68863 0.15001 -0.803823
-2.78868 0.15001 -2.22136
-2.10165 0.15001 -1.30645
-1.34452 0.15001 0.227926
-1.32956 0.15001 -0.210412
-2.74312 0.15001 2.3289
-2.84089 0.15001 1.95434
-1.83987 0.15001 -2.6168
-2.4722 0.15001 -2.6632
-2.31197 0.15001 -2.4046
-2.84819 0.15001 -1.69684
-2.84532 0.15001 -1.32857
-2.67978 0.15001 -1.80227
-2.84844 0.15001 -1.12976
-2.77213 0.15001 -0.11501
-2.83953 0.15001 1.0982
-2.3266 0.15001 1.66149
-1.06911 0.15001 -2.30508
-1.17461 0.15001 -1.16298
-1.23711 0.15001 -0.986721
-1.36089 0.15001 -1.74278
-1.46074 0.15001 -1.95911
-0.778184 0.391535 1.93849
-2.66791 0.15001 -1.23557
-2.69962 0.15001 -0.769864
-2.33848 0.15001 -0.090812
-2.83689 0.15001 2.82035
-2.4649 0.15001 -2.84999
-1.04568 0.15001 -1.92534
-1.86258 0.15001 -2.29374
-2.83962 0.15001 -2.5922
-2.5807 0.15001 -1.96248
-2.37909 0.15001 -1.56902
-2.6786 0.15001 -1.60576
-2.71931 0.15001 1.26558
-2.60922 0.15001 1.8838
-2.62511 0.15001 2.57163
-1.55764 0.15001 -2.4519
-1.95195 0.15001 -2.46121
-2.29912 0.15001 -2.58883
-2.49166 0.15001 -2.46929
-2.41882 0.15001 -1.88192
-2.03152 0.15001 -1.95037
-2.51141 0.15001 -1.70345
-2.5528 0.15001 -0.895358
-2.81904 0.15001 0.313201
-2.34733 0.15001 2.32918
-2.09839 0.15001 -2.82977
-1.75417 0.15001 -2.44993
-1.64719 0.15001 -2.61207
-2.83973 0.15001 -2.39805
-2.75316 0.15001 -2.03845
-2.22811 0.15001 -1.93076
-2.40173 0.15001 -0.316433
-2.8414 0.15001 -0.61482
-2.84706 0.15001 1.46012
-2.84359 0.15001 2.4952
-1.23417 0.15001 -1.59877
-1.19881 0.15001 -1.82549
-1.37375 0.15001 -2.12132
-2.63424 0.15001 -2.32575
-2.45677 0.15001 -2.27903
-2.49429 0.15001 -1.17887
-2.33341 0.15001 -1.27202
-2.6727 0.15001 -1.41954
-2.43512 0.15001 0.428689
-2.48893 0.15001 1.29371
-1.06529 0.15001 -2.11541
-2.28574 0.15001 -2.7805
-2.65675 0.15001 -2.84999
-2.59667 0.15001 -2.14636
-1.75267 0.15001 -2.1337
-2.00898 0.15001 -1.61105
-2.19071 0.15001 -1.60567
-1.01488 0.15001 -0.0577668
-2.69383 0.15001 -0.409778
-2.60436 0.15001 0.531209
-1.26594 0.15001 -2.62314
-0.374178 0.15001 1.11019
-0.498485 0.15001 1.35042
-0.451974 0.260206 1.59131
-0.523388 0.309196 1.80635
-0.642719 0.15001 1.85017
-1.15228 0.15001 1.16967
-0.492376 0.212104 2.35178
-0.469904 0.269615 2.54255
-0.603552 0.232972 2.68075
-1.54626 0.15001 -2.78055
-0.522589 0.275396 1.05649
-0.962057 0.15001 -0.703403
-0.609828 0.356612 1.48552
-0.640415 0.251675 1.66413
-2.10693 0.15001 -0.122821
-0.660542 0.239474 2.24022
-0.649691 0.273033 2.44139
-0.682948 0.405708 2.5828
-0.526285 0.15001 2.84999
-1.00723 0.15001 -2.83291
-0.557696 0.320219 1.24876
-0.533783 0.520126 1.32736
-0.426214 0.445897 1.477
-0.500708 0.438801 1.66173
-0.570829 0.491623 1.85075
-1.98427 0.15001 0.418653
-0.470315 0.478119 2.30475
-0.509999 0.45441 2.49966
-0.627992 0.369346 2.84999
-1.36228 0.15001 -2.78511
-0.68147 0.15001 -2.3398
-1.84283 0.15001 -1.97003
-0.571957 0.572991 1.53038
-0.696078 0.466363 1.68838
-0.599664 0.404451 2.02384
-0.645816 0.457255 2.20263
-0.682124 0.474312 2.39286
-0.807792 0.265505 2.54807
-0.526153 0.548971 2.84999
-0.883444 0.15001 -1.62629
-0.462414 0.450366 1.10489
-0.506123 0.730008 1.3481
-0.476761 0.78082 1.60667
-0.551278 0.651185 1.73915
-0.450901 0.638361 1.93597
-0.473386 0.560979 2.12
-0.436879 0.674547 2.34916
-0.477625 0.605549 2.61352
-0.784881 0.284811 2.74236
-0.887519 0.15001 -2.02033
-1.33869 0.15001 -1.25409
-2.37617 0.15001 -2.05684
-0.643061 0.762315 1.49851
-2.30571 0.15001 -1.74465
-0.630717 0.65793 2.02513
-0.618429 0.647226 2.26249
-0.606896 0.641034 2.46822
-2.24256 0.15001 0.397882
-2.13561 0.15001 2.84228
-1.01129 0.15001 -1.27286
-1.18653 0.15001 -2.44865
-0.401844 0.619053 1.19883
-0.420705 0.915074 1.46324
-2.48012 0.15001 -1.39367
-0.373697 0.830537 2.03138
-0.516291 0.772954 2.15067
