1000 0.1
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.798336 0.150335 -1.62474
-0.808859 0.150335 -1.57653
-0.798336 0.150335 -1.62474
-0.808859 0.150335 -1.57653
-0.795286 0.150335 -1.6296
-0.801162 0.150335 -1.62208
-0.801312 0.150335 -1.6223
-0.781282 0.150335 -1.65098
-0.801312 0.150335 -1.6223
-0.781282 0.150335 -1.65098
-0.80098 0.150335 -1.6224
-0.793554 0.150335 -1.833
-0.822945 0.150335 -1.61085
-0.821828 0.150304 -1.61258
-0.82539 0.150335 -1.60601
-0.82184 0.150304 -1.61257
-0.82539 0.150335 -1.60601
-2.14714 0.150335 -1.51743
-1.07323 0.150335 -1.98824
-1.00397 0.150335 -1.91659
-0.822295 0.150335 -1.80036
-1.06122 0.150335 -1.9686
-0.817995 0.150335 -1.79253
-1.06122 0.150335 -1.9686
-2.1461 0.150335 -1.51933
-1.38082 0.150335 -1.91886
-1.06877 0.150335 -1.98006
-1.04817 0.150335 -1.95992
-1.053 0.150335 -1.95527
-1.04932 0.150335 -1.96123
-1.053 0.150335 -1.95527
-0.980205 0.150335 -1.45212
-1.76893 0.150335 -1.93227
-0.994894 0.150335 -1.81532
-1.07276 0.150335 -1.84236
-1.31241 0.150335 -1.80329
-1.07332 0.150335 -1.8425
-1.31242 0.150335 -1.8033
-0.997172 0.150335 -1.91056
-1.45635 0.150335 -1.93393
-1.46125 0.150335 -2.00987
-1.45813 0.150335 -2.00744
-1.49541 0.150335 -2.03547
-1.4581 0.150335 -2.00741
-1.49541 0.150335 -2.03547
-1.39154 0.150335 -1.94051
-1.66744 0.150335 -1.62119
-1.73449 0.150335 -2.0068
-1.72197 0.150335 -2.02419
-2.13276 0.150335 -2.62998
-1.72194 0.150335 -2.02422
-2.13276 0.150335 -2.62998
-1.70738 0.150335 -2.02551
-2.75022 0.150335 -1.43345
-2.74875 0.150335 -1.42658
-2.75017 0.150335 -1.43252
-2.75022 0.150335 -1.43379
-2.75016 0.150335 -1.43248
-2.75022 0.150335 -1.43379
-1.76356 0.150335 -1.89466
-2.75011 0.150335 -1.43181
-2.58214 0.150335 -2.25646
-2.53897 0.150335 -2.22177
-2.74998 0.150335 -1.43067
-2.53897 0.150335 -2.22177
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-1.04267 0.150335 -1.3831
-0.80137 0.150335 -1.62205
-0.801162 0.150335 -1.62208
-0.786478 0.150335 -1.64312
-0.801724 0.150335 -1.62172
-0.786478 0.150335 -1.64312
-0.797969 0.150335 -1.62509
-1.01 0.150335 -1.81894
-0.82334 0.150335 -1.60996
-0.822945 0.150335 -1.61085
-0.752565 0.150335 -1.71202
-0.824432 0.150335 -1.60856
-0.752565 0.150335 -1.71202
-0.795727 0.150335 -1.62898
-1.05322 0.150335 -1.8396
-0.995056 0.150335 -1.90914
-1.00397 0.150335 -1.91659
-1.03085 0.150335 -1.94175
-1.00602 0.150335 -1.91844
-1.03085 0.150335 -1.94175
-0.812071 0.150303 -1.61812
-1.53576 0.150335 -2.04284
-0.996805 0.150335 -1.91032
-1.06877 0.150335 -1.98006
-1.05916 0.150335 -1.9654
-0.997661 0.150335 -1.91099
-1.05916 0.150335 -1.9654
-0.786603 0.150335 -1.82817
-1.86936 0.150335 -2.03933
-1.44144 0.150335 -1.99475
-0.994894 0.150335 -1.81532
-1.4785 0.150335 -2.0233
-1.08102 0.150335 -1.69575
-1.4785 0.150335 -2.0233
-1.48588 0.150335 -1.99917
-1.767 0.150335 -1.94878
-1.47057 0.150335 -2.01717
-1.46125 0.150335 -2.00987
-1.4964 0.150335 -2.03631
-1.46781 0.150335 -2.01496
-1.4964 0.150335 -2.03631
-1.52052 0.150335 -2.04383
-2.47436 0.150335 -2.17071
-1.76716 0.150335 -1.94816
-1.73449 0.150335 -2.0068
-2.54041 0.150335 -2.24742
-1.7511 0.150335 -1.96984
-2.54041 0.150335 -2.24742
-1.55186 0.150335 -1.95036
-2.7496 0.150335 -1.42745
-2.74881 0.150335 -1.42613
-2.74875 0.150335 -1.42658
-2.74997 0.150335 -1.43061
-2.74902 0.150335 -1.42448
-2.74997 0.150335 -1.43061
-1.60418 0.150335 -1.53457
-2.54398 0.150335 -2.26182
-2.74884 0.150335 -1.42538
-2.58214 0.150335 -2.25646
-2.74992 0.150335 -1.43037
-2.74884 0.150335 -1.42538
-0.80886 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808865 0.150335 -1.57651
-0.808859 0.150335 -1.57653
-0.808865 0.150335 -1.57651
-0.887448 0.150335 -1.50596
-0.808882 0.150335 -1.57649
-0.801715 0.150335 -1.62174
-0.80137 0.150335 -1.62205
-0.785845 0.150335 -1.6441
-0.801711 0.150335 -1.62174
-0.785845 0.150335 -1.6441
-0.79815 0.150335 -1.62489
-1.02358 0.150335 -1.93521
-0.826711 0.150335 -1.60609
-0.82334 0.150335 -1.60996
-0.911538 0.150335 -1.5088
-0.824565 0.150335 -1.60831
-0.911538 0.150335 -1.5088
-0.818681 0.150302 -1.6169
-1.06685 0.150335 -1.84316
-0.984007 0.150335 -1.90523
-0.995056 0.150335 -1.90914
-0.998249 0.150335 -1.91189
-1.00673 0.150335 -1.919
-0.998249 0.150335 -1.91189
-0.805887 0.150335 -1.63664
-1.47045 0.150335 -1.93107
-0.998188 0.150335 -1.91183
-0.996805 0.150335 -1.91032
-0.948434 0.150303 -1.79808
-0.9975 0.150335 -1.91081
-0.948434 0.150303 -1.79808
-0.799094 0.150335 -1.83722
-1.65353 0.150335 -1.9931
-1.06958 0.150335 -1.69968
-1.44144 0.150335 -1.99475
-1.47905 0.150335 -1.93786
-1.45754 0.150335 -2.00698
-1.47905 0.150335 -1.93786
-1.48787 0.150335 -2.02997
-2.75019 0.150335 -1.43337
-1.47497 0.150335 -2.02062
-1.47057 0.150335 -2.01717
-1.50757 0.150335 -2.0438
-1.47518 0.150335 -2.02079
-1.50757 0.150335 -2.0438
-1.51392 0.150335 -1.95328
-2.75022 0.150335 -1.4354
-1.72135 0.150335 -2.02492
-1.76716 0.150335 -1.94816
-2.75038 0.150335 -1.43525
-1.76275 0.150335 -1.95719
-2.75038 0.150335 -1.43525
-1.76719 0.150335 -1.94103
-2.75021 0.150335 -1.43281
-2.74867 0.150335 -1.42705
-2.74881 0.150335 -1.42613
-2.75006 0.150335 -1.43148
-2.74867 0.150335 -1.42705
-2.75006 0.150335 -1.43148
-1.72358 0.150335 -1.72877
-2.51442 0.150335 -2.15618
-2.74884 0.150335 -1.42536
-2.74884 0.150335 -1.42538
-2.74971 0.150335 -1.42825
-2.74884 0.150335 -1.42536
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
-0.979157 0.150335 -1.37996
-0.808859 0.150335 -1.57653
-0.979157 0.150335 -1.37996
-0.808859 0.150335 -1.57653
-0.890448 0.150335 -1.48188
-0.800099 0.150335 -1.62312
-0.801715 0.150335 -1.62174
-0.772327 0.150335 -1.66162
-0.80079 0.150335 -1.62265
-0.772327 0.150335 -1.66162
-0.799103 0.150335 -1.62382
-1.01212 0.150335 -1.92478
-0.821825 0.150304 -1.61259
-0.826711 0.150335 -1.60609
-0.737689 0.150335 -1.74761
-0.817304 0.150301 -1.61681
-0.737689 0.150335 -1.74761
-0.793079 0.150335 -1.63359
-0.912345 0.150335 -1.77965
-1.00716 0.150335 -1.92068
-0.984007 0.150335 -1.90523
-1.06952 0.150335 -1.98473
-1.02035 0.150335 -1.93179
-1.06954 0.150335 -1.98475
-0.738504 0.150335 -1.74288
-1.43727 0.150335 -1.99161
-1.01801 0.150335 -1.92968
-0.998188 0.150335 -1.91183
-1.0483 0.150335 -1.94737
-1.01305 0.150335 -1.92551
-1.0483 0.150335 -1.94737
-0.771129 0.150335 -1.81312
-1.69279 0.150335 -1.7311
-1.01471 0.150335 -1.82077
-1.06958 0.150335 -1.69968
-1.39877 0.150335 -1.95187
-1.04631 0.150335 -1.83543
-1.39877 0.150335 -1.95187
-1.23386 0.150335 -1.80021
-1.60713 0.150335 -1.96079
-1.4409 0.150335 -1.99434
-1.47497 0.150335 -2.02062
-1.47697 0.150335 -2.02213
-1.4604 0.150335 -2.00922
-1.47696 0.150335 -2.02212
-1.19138 0.150335 -1.76622
-2.21348 0.150335 -2.54328
-1.51644 0.150335 -1.95329
-1.72135 0.150335 -2.02492
-2.4363 0.150335 -2.29011
-1.54263 0.150335 -1.95117
-2.4363 0.150335 -2.29011
-1.57131 0.150335 -1.94986
-2.75019 0.150335 -1.43333
-2.75021 0.150335 -1.43287
-2.74867 0.150335 -1.42705
-2.75022 0.150335 -1.43291
-2.74903 0.150335 -1.42445
-2.75022 0.150335 -1.43291
-2.32395 0.150335 -2.37833
-2.55281 0.150335 -2.26939
-2.74884 0.150335 -1.42535
-2.74884 0.150335 -1.42536
-2.74884 0.150335 -1.4254
-2.74885 0.150335 -1.42529
-0.808859 0.150335 -1.57653
-0.808859 0.150335 -1.57653
