6000000 0.05
-0.243482 0.150307 -2.72821
-1.54051 0.150194 -2.07091
-2.75661 0.36085 0.828535
-2.79683 0.321027 -0.462926
-2.83485 0.241438 -0.117387
-2.83664 0.154312 0.849422
-2.83431 0.239354 -0.116828
-2.83664 0.154312 0.849422
-1.64009 0.15001 -2.09269
-2.83615 0.157373 0.833162
-2.86367 0.152864 1.20365
-2.82445 0.581399 -0.360023
-2.81553 0.427641 -0.138644
-2.82724 0.571076 -0.361484
-2.81554 0.427735 -0.138671
-2.72691 0.15001 -0.722947
-2.86284 0.152726 1.18279
-2.81226 0.162705 1.45202
-2.81066 0.172861 1.48041
-2.80058 0.365441 1.65868
-2.81076 0.172563 1.47984
-2.80058 0.365441 1.65868
-2.83605 0.161289 0.815891
-2.7781 0.219575 1.73834
-2.77727 0.224799 1.73555
-2.77449 0.245338 1.73359
-2.7775 0.223091 1.73659
-2.77447 0.24557 1.73353
-2.7775 0.223089 1.73659
-2.77165 0.286247 1.70718
-2.74886 0.792588 2.80745
-2.75813 0.784908 2.80032
-2.80455 0.204055 1.88463
-2.77773 0.218102 1.73856
-2.80297 0.204007 1.87992
-2.77773 0.218102 1.73856
-2.77826 0.214901 1.74059
-2.85094 0.598888 2.74626
-2.84959 0.295383 2.34918
-2.78203 0.199853 1.75858
-2.84934 0.284958 2.33805
-2.78203 0.19993 1.75845
-2.84934 0.284958 2.33805
-2.84947 0.253541 2.26526
-2.7804 0.75706 2.78597
-2.80948 0.703739 2.76926
-2.85766 0.416857 2.4923
-2.75671 0.786803 2.80144
-2.85795 0.419158 2.49735
-2.75671 0.786803 2.80144
-2.84997 0.312696 2.35687
-2.76364 0.779335 2.79783
-2.74906 0.792373 2.80731
-2.7488 0.792645 2.80749
-2.85199 0.515648 2.73111
-2.7488 0.792645 2.80749
-2.85199 0.515648 2.73111
-2.85187 0.496426 2.71657
-2.85186 0.586913 2.75005
-2.74904 0.792395 2.80733
-2.74904 0.792392 2.80732
-2.86071 0.450866 2.63542
-2.74904 0.792392 2.80732
-2.86071 0.450866 2.63542
-2.86132 0.444045 2.61224
-2.86137 0.439915 2.59064
-2.78125 0.755281 2.78526
-2.7488 0.792649 2.80749
-2.86068 0.45117 2.63608
-2.7488 0.792649 2.80749
-0.112503 0.150322 -2.82441
-0.298929 0.150279 -2.68517
-2.76673 0.309896 0.791925
-1.2721 0.150259 -2.17344
-2.79683 0.321027 -0.462926
-2.83607 0.15976 0.82602
-2.55795 0.15026 -0.596476
-2.83607 0.15976 0.82602
-2.76847 0.150257 -0.47854
-2.83968 0.211172 0.748519
-2.8394 0.15032 0.886985
-2.86367 0.152864 1.20365
-2.86315 0.155425 1.30573
-2.82443 0.157976 1.3992
-2.86315 0.155425 1.30573
-2.5281 0.15001 -1.01633
-2.8415 0.157203 1.36445
-2.84491 0.15031 0.941194
-2.81226 0.162705 1.45202
-2.80868 0.399371 1.6596
-2.86452 0.153895 1.2512
-2.80868 0.399371 1.6596
-2.82333 0.289862 1.60602
-2.78532 0.202716 1.79637
-2.77871 0.211934 1.74285
-2.77727 0.224799 1.73555
-2.78045 0.208415 1.74671
-2.77894 0.210003 1.74448
-2.78045 0.208416 1.74671
-2.77169 0.236883 1.73179
-2.86074 0.45049 2.6346
-2.75541 0.788503 2.80243
-2.75813 0.784908 2.80032
-2.76487 0.777221 2.79691
-2.75901 0.783678 2.79965
-2.76487 0.777221 2.79691
-2.78203 0.199976 1.75846
-2.78859 0.741561 2.78032
-2.8614 0.441381 2.59378
-2.84959 0.295383 2.34918
-2.86127 0.438974 2.58223
-2.85249 0.364595 2.41322
-2.86127 0.438982 2.58225
-2.85703 0.215589 2.04565
-2.80261 0.717341 2.77205
-2.76963 0.773129 2.7926
-2.80948 0.703739 2.76926
-2.74881 0.792641 2.80748
-2.7815 0.75476 2.78505
-2.74881 0.792641 2.80748
-2.85853 0.424144 2.50801
-2.78466 0.748216 2.7826
-2.74976 0.791666 2.80678
-2.74906 0.792373 2.80731
-2.76104 0.783351 2.80006
-2.74882 0.792628 2.80748
-2.76103 0.783352 2.80006
-2.79959 0.723225 2.77342
-2.85467 0.465208 2.67441
-2.85412 0.470084 2.67981
-2.74904 0.792395 2.80733
-2.86092 0.448447 2.6293
-2.85182 0.499325 2.71945
-2.86092 0.448452 2.62931
-2.86074 0.450466 2.63455
-2.76462 0.777622 2.79711
-2.86022 0.450633 2.64526
-2.78125 0.755281 2.78526
-2.86033 0.449184 2.64262
-2.85413 0.470007 2.6797
0.117744 0.150279 -2.85815
-0.344155 0.150267 -2.68322
-2.80593 0.198947 -0.484401
-0.47333 0.15001 -2.70943
-1.2721 0.150259 -2.17344
-2.75732 0.347103 0.821157
0.109405 0.150286 -2.84129
-2.75732 0.347103 0.821157
-2.82026 0.560863 -0.37799
-2.84213 0.274778 0.722325
-2.84162 0.2693 0.720308
-2.8394 0.15032 0.886985
-2.8127 0.161347 1.44654
-2.83639 0.167553 0.798877
-2.8127 0.161347 1.44654
-2.57548 0.15001 -0.939623
-2.81964 0.158212 1.4123
-2.86041 0.152204 1.14448
-2.84491 0.15031 0.941194
-2.80939 0.226881 1.54456
-2.83704 0.17424 0.782605
-2.80939 0.226881 1.54456
-2.82288 0.279208 1.5976
-2.85339 0.473363 2.68831
-2.77412 0.251128 1.73068
-2.77871 0.211934 1.74285
-2.85069 0.610692 2.74842
-2.77778 0.221684 1.73707
-2.85069 0.610689 2.74842
-2.77263 0.23302 1.7333
-2.86084 0.449112 2.63156
-2.75901 0.783682 2.79965
-2.75541 0.788503 2.80243
-2.86104 0.435793 2.5714
-2.74966 0.791745 2.80688
-2.86104 0.435793 2.5714
-2.78192 0.199447 1.76038
-2.74962 0.79179 2.80691
-2.85443 0.388541 2.44297
-2.8614 0.441381 2.59378
-2.81954 0.687614 2.76311
-2.85195 0.528343 2.73949
-2.81954 0.687619 2.76311
-2.84957 0.294078 2.34842
-2.85199 0.518831 2.73431
-2.7814 0.754968 2.78514
-2.76963 0.773129 2.7926
-2.74881 0.792643 2.80749
-2.7714 0.76987 2.79109
-2.74881 0.792643 2.80749
-2.8564 0.406535 2.47187
-2.8053 0.71208 2.77096
-2.75069 0.790668 2.80609
-2.74976 0.791666 2.80678
-2.80698 0.708779 2.77028
-2.7699 0.771376 2.79331
-2.80698 0.708779 2.77028
-2.76562 0.778737 2.79684
-2.86092 0.448373 2.62913
-2.85199 0.520897 2.73433
-2.85412 0.470084 2.67981
-2.86134 0.443293 2.61049
-2.85413 0.470012 2.67971
-2.86134 0.443293 2.61049
-2.86093 0.448348 2.62908
-2.74885 0.792592 2.80745
-2.74882 0.792633 2.80748
-2.86022 0.450633 2.64526
-2.86034 0.449079 2.64241
-2.85033 0.628218 2.75327
0.16766 0.150276 -2.78776
-1.01847 0.15026 -2.17489
-2.84056 0.150791 -0.420334
-2.82929 0.150258 -0.473881
-0.47333 0.15001 -2.70943
-2.80068 0.325944 -0.459217
-2.51859 0.15026 -0.910293
-2.80068 0.325944 -0.459217
-2.82714 0.593521 -0.34407
-2.7956 0.394225 0.791462
-2.83962 0.208428 0.748622
-2.84162 0.2693 0.720308
-2.8168 0.158364 1.4227
-2.81689 0.319994 0.774188
-2.8168 0.158364 1.4227
-2.6487 0.150268 -0.531552
-2.83208 0.15758 1.38193
-2.80537 0.203455 1.52134
-2.86041 0.152204 1.14448
-2.80682 0.194558 1.51215
-2.81151 0.170427 1.47571
-2.80682 0.194558 1.51215
-2.79723 0.334243 0.792505
-2.77875 0.211621 1.7431
-2.83343 0.432393 1.64742
-2.77412 0.251128 1.73068
-2.77787 0.21712 1.73911
-2.77388 0.29363 1.70134
-2.77787 0.21712 1.73911
-2.82826 1.11442 1.70847
-2.85035 0.627334 2.75308
-2.77855 0.212799 1.74236
-2.75901 0.783682 2.79965
-2.84932 0.257532 2.27338
-2.78036 0.20117 1.75809
-2.84932 0.257532 2.27338
-2.77833 0.21448 1.74086
-2.81581 0.691029 2.76879
-2.85198 0.515844 2.7322
-2.85443 0.388541 2.44297
-2.84937 0.285735 2.3394
-2.8614 0.44096 2.59408
-2.84937 0.285735 2.3394
-2.81065 0.205039 1.9048
-2.79849 0.72524 2.77405
-2.84973 0.303265 2.35449
-2.7814 0.754968 2.78514
-2.77403 0.761751 2.78699
-2.85099 0.336523 2.38338
-2.77403 0.761752 2.78699
-2.85349 0.378311 2.42924
-2.74906 0.792375 2.80731
-2.86129 0.442621 2.61285
-2.75069 0.790668 2.80609
-2.78926 0.740202 2.77989
-2.7732 0.766553 2.78945
-2.78926 0.740203 2.77989
-2.80776 0.707298 2.77
-2.85195 0.58433 2.74951
-2.77273 0.76744 2.78985
-2.85199 0.520897 2.73433
-2.86082 0.449412 2.63222
-2.77641 0.757246 2.78502
-2.86082 0.449412 2.63222
-2.86142 0.442256 2.59614
-2.86138 0.440632 2.59146
-2.74882 0.792633 2.80748
-2.74882 0.792633 2.80748
-2.74882 0.792624 2.80747
-2.74884 0.79261 2.80746
-2.32076 0.15001 -1.91081
-1.71214 0.149997 -2.04386
-2.80661 0.199993 -0.483482
-2.79376 0.289251 -0.474783
-2.82929 0.150258 -0.473881
-2.81956 0.427089 -0.140999
-2.79821 0.326174 -0.460474
-2.81956 0.427089 -0.140999
-2.77875 0.283075 -0.485306
-2.83848 0.195488 0.761513
-2.83707 0.174569 0.782061
-2.83962 0.208428 0.748622
-2.81209 0.168985 1.47261
-2.83788 0.188432 0.770063
-2.81209 0.168985 1.47261
-2.79927 0.207059 -0.496296
-2.78198 0.199498 1.75949
-2.82447 0.92797 1.69863
-2.80537 0.203455 1.52134
-2.82822 1.12997 1.71832
-2.82212 0.45059 1.65002
-2.82822 1.12997 1.71832
-2.85071 0.150306 0.496128
-2.78035 0.20095 1.75846
-2.77404 0.252112 1.73
-2.83343 0.432393 1.64742
-2.77255 0.23334 1.73317
-2.80898 0.35751 1.66075
-2.77255 0.23334 1.73317
-2.83226 0.157573 1.38157
-2.82598 0.675629 2.76086
-2.7816 0.199017 1.76614
-2.77855 0.212799 1.74236
-2.86073 0.450552 2.63474
-2.78026 0.203072 1.75356
-2.86073 0.450552 2.63474
-2.7724 0.233955 1.73292
-2.85174 0.590764 2.75069
-2.85971 0.433276 2.53273
-2.85198 0.515815 2.73218
-2.84906 0.275322 2.32425
-2.8614 0.441222 2.60122
-2.84906 0.275322 2.32425
-2.80243 0.202811 1.87927
-2.83609 0.66203 2.75675
-2.8504 0.323784 2.36906
-2.84973 0.303265 2.35449
-2.85198 0.356562 2.40409
-2.85011 0.316283 2.36095
-2.85198 0.356562 2.40409
-2.85191 0.355463 2.40264
-2.74925 0.792178 2.80718
-2.86137 0.440275 2.59034
-2.86129 0.442621 2.61285
-2.79479 0.732279 2.77594
-2.85925 0.429623 2.52264
-2.79479 0.732279 2.77594
-2.85185 0.501044 2.72118
-2.79291 0.736151 2.777
-2.76254 0.781067 2.79874
-2.77273 0.76744 2.78985
-2.85194 0.530406 2.74028
-2.76184 0.782111 2.79938
-2.85194 0.530406 2.74028
-2.86089 0.437867 2.56529
-2.73869 0.810103 2.80385
-2.86014 0.451543 2.64689
-2.74882 0.792633 2.80748
-2.86007 0.452325 2.64827
-2.85169 0.555033 2.74791
-1.43818 0.150259 -2.11655
-2.83643 0.15001 -0.497218
-2.79818 0.327354 -0.460119
-2.77415 0.150262 -0.471827
-2.79376 0.289251 -0.474783
-2.80037 0.449633 -0.133498
-2.82422 0.150157 -0.485278
-2.80037 0.449633 -0.133498
-2.80026 0.171274 -0.50523
-2.84869 0.298376 0.743225
-2.83894 0.294935 0.739961
-2.83707 0.174569 0.782061
-2.8057 0.206475 1.52479
