1000 0.1
-0.410302 1.88139 -0.372422
-0.508156 1.95127 -0.235093
-0.492723 1.91694 -0.0593535
-0.418061 1.87053 0.114658
-0.446354 1.95604 0.308988
-0.38873 1.86179 0.504049
-0.490923 1.98544 0.671562
-0.404948 1.77381 0.841473
-0.450724 1.98224 1.03794
-0.476865 1.83184 1.18319
-0.416853 2.02754 -0.544398
-0.550913 2.14364 -0.30661
-0.429429 2.09681 -0.146544
-0.529232 2.08503 0.00788319
-0.5755 2.07687 0.247513
-0.522607 2.0009 0.479494
-0.548129 2.16603 0.641359
-0.513533 1.98104 0.86399
-0.547088 2.16104 1.01849
-0.406111 1.96409 1.30989
-0.499704 2.32096 -0.36602
-0.593047 2.32434 -0.172397
-0.48968 2.28645 0.0362062
-0.408176 2.32194 0.204676
-0.535662 2.25228 0.371298
-0.304356 2.21375 0.46823
-0.442962 2.32234 0.648259
-0.59214 2.16019 0.82349
-0.551573 2.34552 0.982264
-0.561909 2.19528 1.2205
-0.373384 2.48744 -0.497637
-0.583907 2.52855 -0.30781
-0.428324 2.39896 -0.100698
-0.519423 2.47311 0.0591466
-0.529502 2.44375 0.246905
-0.474325 2.52856 0.462778
-0.482582 2.50447 0.69851
-0.440028 2.38579 0.839186
-0.562445 2.52176 1.0247
-0.431798 2.36301 1.28623
-0.47146 2.67562 -0.446564
-0.552042 2.78816 -0.279034
-0.502508 2.68518 -0.125193
-0.613792 2.66337 0.0886595
-0.561109 2.6249 0.274748
-0.401186 2.64459 0.604317
-0.542546 2.69007 0.714531
-0.601063 2.58949 0.859705
-0.497089 2.75124 1.00171
-0.502439 2.56887 1.19118
-0.444325 2.85978 -0.481082
-0.594414 2.95876 -0.325373
-0.364579 2.80464 0.0181445
-0.37579 2.91455 0.156823
-0.401584 2.83323 0.335393
-0.328083 2.79586 0.516044
-0.494559 2.92317 0.635656
-0.396921 2.74625 0.823737
-0.596091 2.95374 1.00263
-0.538893 2.74727 1.2148
-0.464927 3.04087 -0.42174
-0.514647 3.12828 -0.238897
-0.48519 2.92814 -0.0368749
-0.462619 3.08186 0.164765
-0.701582 3.01105 0.259875
-0.545111 2.89826 0.463626
-0.564515 3.102 0.617275
-0.491423 2.93703 0.821388
-0.491645 3.14889 0.994559
-0.490544 2.93098 1.22839
-0.417673 3.21337 -0.367244
-0.538203 3.32978 -0.244927
-0.552941 3.1741 0.048466
-0.290417 3.27141 0.163964
-0.430325 3.22745 0.318737
-0.369458 3.11447 0.504316
-0.449384 3.3063 0.653407
-0.605398 3.14631 0.821969
-0.520254 3.32956 1.03192
-0.518861 3.13576 1.23446
-0.476264 3.34477 -0.474826
-0.602465 3.53736 -0.253947
-0.604999 3.30761 -0.0635052
-0.620023 3.47497 0.118138
-0.6587 3.36972 0.291292
-0.648469 3.28917 0.48629
-0.597035 3.49018 0.641715
-0.616131 3.33485 0.857405
-0.580076 3.55056 1.00926
-0.607783 3.31042 1.20422
-0.514729 3.58377 -0.418339
-0.425143 3.69668 -0.245934
-0.296058 3.6953 -0.0936686
-0.438549 3.66048 0.102958
-0.444725 3.53635 0.288536
-0.464255 3.4332 0.494128
-0.457738 3.65937 0.68859
-0.376313 3.59292 0.942707
-0.447281 3.70041 1.09007
-0.579228 3.54539 1.32578
-0.240085 1.80749 -0.356753
-0.387087 1.77964 -0.210549
-0.335443 1.74651 -0.0125527
-0.207256 1.82789 0.0962562
-0.305836 1.86258 0.258433
-0.213074 1.79311 0.433041
-0.308605 1.93428 0.720537
-0.212662 1.76514 0.847938
-0.282557 1.82726 1.06582
-0.301803 1.68296 1.20995
-0.240459 1.92878 -0.537218
-0.302348 2.04152 -0.380556
-0.287242 1.95117 -0.221777
-0.332901 1.97983 -0.00802171
-0.35492 2.05872 0.162332
-0.343911 2.03815 0.567796
-0.379237 2.1081 0.789395
-0.318713 1.93295 0.899584
-0.383406 2.174 1.17442
-0.244683 1.81387 1.35421
-0.316736 2.18282 -0.494882
-0.425715 2.25723 -0.218455
-0.240459 2.1169 -0.0826629
-0.197639 2.20062 0.137274
-0.356986 2.18386 0.301198
-0.141564 2.11424 0.485517
-0.252117 2.20908 0.640575
-0.24661 2.10294 0.933236
-0.286294 2.3315 1.17023
-0.341084 2.20674 1.42154
-0.162559 2.37429 -0.489598
-0.296303 2.39054 -0.343978
-0.251013 2.28756 -0.156467
-0.222604 2.38129 0.226269
-0.389106 2.38335 0.37216
-0.307203 2.47842 0.605159
-0.24556 2.43156 0.781964
-0.306261 2.29035 0.918483
-0.306329 2.54573 1.22355
-0.236843 2.36392 1.37072
-0.179195 2.60916 -0.569895
-0.393378 2.5629 -0.315739
-0.263081 2.461 -0.159407
-0.377643 2.56748 -0.0313375
-0.360449 2.50401 0.175836
-0.21562 2.64976 0.571026
-0.395448 2.56102 0.867214
-0.372021 2.4437 1.01846
-0.308705 2.75302 1.28951
-0.238272 2.52157 1.48092
-0.272104 2.78569 -0.566435
-0.305592 2.72883 -0.393579
-0.178805 2.77628 -0.0273191
-0.214891 2.95773 0.0236888
-0.218081 2.83207 0.216318
-0.146028 2.81202 0.443667
-0.315831 2.98557 0.621644
-0.222587 2.81663 0.848162
-0.270614 2.94435 1.26329
-0.399084 2.7985 1.47701
-0.290746 2.98195 -0.566221
-0.368816 2.89364 -0.315111
-0.316459 2.90142 -0.13092
-0.271197 3.14693 0.0143056
-0.502005 3.01899 0.333248
-0.320236 2.95683 0.429972
-0.422666 3.17274 0.789904
-0.346311 2.9626 1.08241
-0.327181 3.12918 1.1763
-0.310165 2.97446 1.47863
-0.145652 3.19077 -0.468898
-0.265151 3.2859 -0.310716
-0.330748 3.16102 -0.176578
-0.14443 3.27533 0.0536993
-0.310672 3.41508 0.305535
-0.185511 3.07978 0.483943
-0.220449 3.30749 0.695734
-0.262864 3.10866 0.943458
-0.245175 3.39039 1.19216
-0.270381 3.18518 1.35977
-0.248176 3.30241 -0.594015
-0.408302 3.44169 -0.332334
-0.406943 3.32109 -0.120254
-0.480635 3.44407 -0.00163854
-0.33102 3.51453 0.128712
-0.338443 3.45979 0.645567
-0.415539 3.42221 0.830252
-0.36627 3.26716 0.921885
-0.408187 3.52325 1.21351
-0.321275 3.33272 1.51369
-0.319555 3.58697 -0.487369
-0.259613 3.62819 -0.297097
-0.173699 3.53941 -0.157921
-0.205458 3.69649 0.0673227
-0.316997 3.73579 0.258542
-0.180034 3.83226 0.437847
-0.27357 3.73496 0.605582
-0.202878 3.50296 0.947412
-0.254554 3.74333 0.986504
-0.243676 3.55115 1.38795
-0.0896071 1.90579 -0.372957
-0.0976312 1.96658 -0.180542
-0.0284387 1.91074 0.00252853
-0.0360611 1.82786 0.178593
-0.172708 1.94307 0.344506
-0.0303901 1.72214 0.472898
-0.126644 1.86382 0.651326
-0.034056 1.70236 0.845629
-0.100386 1.97873 1.10287
-0.0853312 1.80849 1.21168
-0.0792529 2.0291 -0.555232
-0.172972 2.14102 -0.28891
-0.092865 2.21747 -0.132334
-0.171344 2.01181 0.0531215
-0.172619 2.10826 0.293801
-0.0409802 2.0653 0.654935
-0.187885 2.06405 0.763672
-0.00762393 2.10141 0.991572
-0.183919 2.15988 1.09981
-0.0733 1.92922 1.36116
0.030495 2.36484 -0.521357
0.0151041 2.21367 -0.27614
-0.0723589 2.38749 -0.0553029
0.00606257 2.31463 0.135097
-0.0435366 2.4055 0.285131
-0.0390776 2.26759 0.411606
-0.167444 2.3444 0.555815
