7000 0.05
-0.72144 0.794727 -0.275945
-0.677206 0.777961 -0.124854
-0.741818 0.77268 -0.105561
-0.771723 0.774165 -0.135054
-0.720799 0.805863 -0.359215
-0.942871 0.736112 0.0045475
-0.745272 0.770512 -0.107633
-0.942871 0.736112 0.0045475
-0.98171 0.712162 0.0793225
-1.20936 0.644276 0.270972
-1.09903 0.678985 0.151658
-1.1471 0.701443 0.0491421
-1.01277 0.677838 0.233857
-1.17035 0.660226 0.21933
-1.01277 0.677838 0.233857
-0.957301 0.685247 0.2312
-1.00733 0.660194 0.367215
-1.05111 0.659815 0.326425
-1.05555 0.669885 0.241927
-0.914884 0.663483 0.379406
-0.995279 0.666113 0.343902
-0.914884 0.663483 0.379406
-0.521571 0.730789 0.370468
-0.783221 0.667942 0.282223
-0.99145 0.668497 0.339108
-0.343026 0.644877 0.493479
-0.897663 0.64555 0.447832
-0.666573 0.692213 0.324425
-0.897663 0.64555 0.447832
-0.924788 0.649198 0.406775
-1.05552 0.599126 0.643945
-0.919077 0.630034 0.557301
-0.811478 0.627077 0.584692
-0.689127 0.556478 0.782808
-0.901523 0.62058 0.5959
-0.689127 0.556478 0.782808
-0.400619 0.48614 0.880991
-0.742727 0.546211 0.840337
-0.537813 0.501462 0.971791
-0.728135 0.549116 0.830493
-0.490957 0.500528 1.08986
-0.556443 0.512263 0.959765
-0.490957 0.500528 1.08986
-0.634667 0.458091 1.28805
-0.947687 0.548546 0.882551
-0.812267 0.550948 0.8563
-0.830932 0.551063 0.868807
-0.619623 0.494737 1.18779
-0.729199 0.513474 1.0008
-0.619623 0.494737 1.18779
-0.462854 0.492112 1.16819
-0.808964 0.42699 1.41246
-0.580545 0.472662 1.27385
-0.673121 0.393521 1.4366
-0.623834 0.395512 1.45148
-0.707453 0.43384 1.35395
-0.623834 0.395512 1.45148
-0.666331 0.344733 1.59997
-0.792724 0.363095 1.49868
-0.686711 0.366547 1.53147
-0.878683 0.371685 1.52715
-0.900564 0.407334 1.44263
-0.690072 0.377883 1.49248
-0.900564 0.407334 1.44263
