1000 0.1
-0.711212 1.03976 -0.595271
-0.66281 0.986758 -0.428991
-1.03134 0.725974 0.0676251
-0.96833 0.708611 0.210215
-0.576753 0.779218 0.431504
-0.438886 0.621845 0.635536
-0.815394 0.624915 0.614256
-0.288151 0.714065 0.774603
-0.462066 0.56429 1.49867
-0.822532 0.368181 1.50081
-0.839424 0.869389 -0.662335
-1.15976 0.730379 -0.0619516
-2.09283 0.722058 0.0455852
-0.831753 0.863431 -0.000335762
-1.14602 0.648103 0.246103
-0.710788 0.749508 0.571567
-0.861329 0.834003 0.650497
-0.720859 0.501131 1.18415
-0.778784 0.537495 0.928559
-0.230106 0.403245 1.6101
-0.894839 0.793282 -0.171642
-2.05892 0.645658 0.45777
-0.637071 0.68829 0.320817
-0.549778 1.04945 0.444471
-1.03299 0.595574 0.578235
-0.51851 0.937601 0.702111
-0.371263 0.855696 0.848824
-1.0904 0.547437 0.828229
-1.12647 0.472896 1.10566
-1.0019 0.452334 1.27997
-0.343653 0.93915 -0.851483
-1.09776 0.747912 -0.238165
-0.56365 0.766924 -0.03959
-0.70643 0.751242 0.0303445
-0.703978 0.715539 0.18099
-0.478919 0.764216 0.559919
-0.62787 0.70363 0.831428
-0.607309 0.56615 0.888747
-2.28543 0.413749 1.49215
-0.55143 0.265902 1.96429
-0.887181 0.846513 -0.473092
-0.56664 0.858246 -0.506718
-0.626626 0.82392 -0.361786
-1.88062 0.616202 0.509183
-2.16479 0.444647 1.2481
-0.528903 0.646609 0.510409
-0.81971 0.710246 0.893572
-0.959618 0.680581 0.707548
-0.532925 0.662716 0.96595
-0.713312 0.501456 1.45786
-0.508855 0.938973 -0.637755
-0.9547 0.826102 -0.320073
-0.56654 0.727137 0.108084
-0.437601 0.799409 0.11499
-0.466013 0.677862 0.365753
-0.325607 0.588648 0.730168
-0.674646 0.646784 0.464997
-0.430405 0.572093 0.874676
-0.954585 0.546121 0.974168
-0.819586 0.461445 1.32203
-0.726942 0.86322 -0.518195
-0.811066 0.929914 -0.353251
-0.746673 0.781486 -0.112821
-0.819865 0.688696 0.287692
-1.4669 0.702422 0.236365
-0.83382 0.877024 0.332944
-0.842345 0.66073 0.455678
-0.539868 0.586959 0.745088
-0.723395 0.580139 0.769746
-1.00362 0.41833 1.48058
-0.41124 1.12408 -0.381729
-1.08788 0.811879 -0.436481
-0.855852 0.720493 0.0569637
-0.235763 0.7062 0.227981
-0.43854 1.04673 0.578137
-0.164544 0.744378 0.662092
-0.896368 0.584429 0.812477
-1.18748 0.565075 0.677252
-1.07849 0.29289 2.00706
-0.888764 0.491983 1.12907
-0.424367 1.08569 -0.675928
-0.711007 1.04887 -0.0537222
-2.83685 0.217999 2.07725
-1.66172 0.498304 1.07625
-1.32992 0.649842 0.350316
-1.11992 0.611023 0.424643
-0.7449 0.767558 0.402337
-1.23883 0.506438 0.954358
-0.490727 0.979665 0.860778
-1.75451 0.164465 2.7115
-0.757501 0.808597 -0.272871
-0.139996 0.801817 -0.218244
-0.238294 1.02343 -0.125843
-0.510746 1.12339 -0.0450191
-0.615075 1.0392 0.099031
-0.377665 0.651287 0.487636
-2.38546 0.227533 2.1118
-0.276756 0.98072 1.11008
-0.432491 0.862072 1.18611
-1.20406 0.349342 1.82528
-0.428569 1.06709 -0.214567
-0.595511 0.798248 -0.19441
-0.6944 0.878922 0.107417
-0.322887 0.971167 0.292862
-0.254312 1.02809 0.569912
-0.204184 0.866997 0.572898
-0.777536 0.723257 0.728609
-0.154501 0.673228 0.981233
-0.26561 0.575623 1.53527
-0.675862 0.372339 1.61839
-0.328246 0.996142 -0.550863
-0.488874 0.983031 -0.430832
-0.678661 0.945016 -0.232633
-2.73989 0.565433 0.784065
-0.475065 1.04109 0.281576
-0.580904 0.737223 0.683962
-0.685116 0.710658 0.993522
-0.555721 0.503047 1.1757
-0.821196 0.33653 1.73352
-0.574652 0.299871 1.77718
-0.731413 0.942282 -1.00888
-0.667819 0.890226 -0.0623071
-0.303382 0.737368 0.0975549
-0.101423 0.710656 0.190601
-0.37331 0.790534 0.440278
-0.095697 0.861189 0.756012
-0.395758 0.732946 0.961755
-0.354373 0.741614 1.25894
-0.559852 0.429707 1.48596
-0.7271 0.322482 1.89948
-0.152609 1.01453 -0.581791
-1.01483 0.819447 -0.606607
-0.183974 0.882215 -0.104282
-0.389499 0.82867 0.283478
-0.949975 0.737561 0.541505
-0.695679 0.851843 0.839643
-0.543871 0.78164 1.07614
-0.578735 0.605678 1.35711
-0.202005 0.453158 1.42352
-1.91319 0.15001 2.84751
-0.249125 0.956088 -0.981721
-0.827545 0.931937 -0.16008
-0.440929 0.840248 -0.385496
-0.40503 0.988381 -0.0455078
-0.677606 0.831169 0.262291
-0.321398 0.745975 0.616042
-0.816234 0.635087 1.06909
-1.71457 0.187179 2.3292
-1.2555 0.15001 2.84341
-0.320243 0.15001 2.82957
-0.435628 0.941936 -0.997885
-0.365188 0.896047 -0.697151
-0.16516 0.767124 0.079286
