7000 0.05
-0.727138 0.810833 -0.272449
-0.690121 0.772994 -0.124636
-0.760639 0.762501 -0.110007
-0.789622 0.768243 -0.139
-0.722377 0.826264 -0.358461
-0.967129 0.718199 0.0114418
-0.764612 0.760079 -0.112935
-0.967129 0.718199 0.0114418
-0.999625 0.701306 0.0883591
-1.21275 0.636148 0.293868
-1.11482 0.670902 0.169722
-1.14817 0.706186 0.0590259
-1.02844 0.671342 0.245315
-1.18275 0.649164 0.243097
-1.02844 0.671342 0.245315
-0.972186 0.684127 0.23569
-1.03283 0.633515 0.384293
-1.06976 0.646332 0.341872
-1.07332 0.659397 0.258917
-0.942713 0.639361 0.385853
-1.01927 0.644681 0.357364
-0.942713 0.639361 0.385853
-0.549122 0.710685 0.371884
-0.803995 0.672049 0.28305
-1.01596 0.646894 0.352266
-0.371559 0.620075 0.50733
-0.929314 0.62342 0.46156
-0.707313 0.657259 0.327718
-0.929314 0.62342 0.46156
-0.949522 0.631337 0.415217
-1.07123 0.583198 0.659054
-0.938333 0.603548 0.57783
-0.835303 0.594855 0.604176
-0.702585 0.565129 0.792712
-0.913145 0.602995 0.613873
-0.702585 0.565129 0.792712
-0.400485 0.510751 0.89409
-0.748396 0.550135 0.852858
-0.540018 0.517725 0.986593
-0.734416 0.551294 0.843703
-0.504736 0.489192 1.11296
-0.558693 0.526238 0.971877
-0.504736 0.489192 1.11296
-0.648287 0.440003 1.31849
-0.962637 0.545163 0.8732
-0.817372 0.562117 0.86519
-0.836803 0.56126 0.877953
-0.637451 0.490117 1.21131
-0.738135 0.516892 1.01023
-0.637451 0.490117 1.21131
-0.485127 0.458118 1.20032
-0.854951 0.365282 1.47947
-0.601125 0.449558 1.30469
-0.68894 0.383869 1.46527
-0.640211 0.390889 1.47492
-0.740936 0.388938 1.3981
-0.640211 0.390889 1.47492
-0.704838 0.317632 1.64414
-0.814478 0.345479 1.54375
-0.716415 0.343191 1.57627
-0.899962 0.352865 1.56415
-0.920399 0.379942 1.47809
-0.713141 0.360391 1.53277
-0.920399 0.379942 1.47809
-0.806354 0.33547 1.59382
-1.07154 0.349751 1.74804
-0.840138 0.358283 1.57318
