1000 0.1
-1.0044 0.793861 -0.509065
-0.908188 0.788647 -0.360825
-1.18437 0.774455 -0.164115
-0.542168 0.62916 0.53132
-1.83731 0.858349 0.990665
-1.30214 0.488523 1.81553
-1.13889 1.05238 1.96682
0.117432 0.378541 1.50957
-1.34554 0.234927 1.95508
-1.48258 0.32139 1.85703
-0.399984 0.854912 -0.581532
-1.08979 0.81812 -0.886551
-0.975955 0.728489 -0.204719
-1.08646 0.786036 -0.322678
-1.47474 0.611782 0.238081
-1.20531 0.607954 0.677948
-1.13421 0.62003 0.35383
-1.13258 0.400619 1.18508
-0.536614 0.437955 2.23876
-0.816217 0.316832 1.66176
-1.26448 0.761057 -0.32865
-1.60662 0.659779 0.817044
-1.31185 0.606194 0.479998
-1.67491 0.785255 1.825
-0.984085 0.633468 0.303388
-1.04548 0.511669 0.822914
-1.016 0.617753 0.501045
-1.42863 0.416786 1.22716
-1.26064 0.728863 0.8939
-1.42517 0.341681 1.52765
-0.41547 1.0155 -1.49418
-1.80918 0.764299 -0.423237
-1.16815 0.783552 -0.486561
-0.613422 0.984734 -0.490986
-1.1615 0.667077 0.169101
-1.4551 1.47043 2.00213
0.0287214 0.47968 1.80999
-0.228156 0.752708 1.24683
-1.24108 0.309017 1.89958
-0.460738 0.309072 1.81196
-0.832815 0.872642 -0.641531
-1.66141 0.799426 1.3817
-2.02971 1.48846 -0.359321
-1.63825 0.632923 0.204992
-2.71949 1.01179 0.0943572
-2.14074 1.29914 2.32666
-1.66305 0.420816 1.40872
-1.53113 0.465098 0.857569
-0.721205 0.578195 0.764397
-1.00625 0.34203 1.66264
-0.329778 0.884893 -0.847941
-1.70506 0.841823 -0.931125
-0.597171 1.56704 -0.385698
-1.04854 0.555384 0.670252
-1.41039 0.81277 0.227316
-2.69356 2.7332 -0.482107
-1.29419 0.467976 0.890922
-0.891418 1.82947 1.28521
-2.1494 0.409461 1.20954
-1.53436 0.304614 1.70097
-0.510225 1.18293 -0.945324
-1.60701 1.00475 -0.0923741
-0.0890222 1.18729 1.16489
-0.294867 0.735003 -0.021305
-1.82779 0.630564 0.293281
-1.1999 0.715048 1.20881
-0.782376 0.783954 0.083852
-0.319221 0.604853 0.571791
-1.54913 1.00087 0.0883224
-0.448697 0.447616 1.32627
-0.94428 1.67402 -0.045339
-1.31486 0.915722 -0.972057
-1.3658 0.624977 0.0891055
-0.867169 0.70848 1.07151
-0.689414 2.25891 2.612
-0.528423 0.665305 0.345265
-1.52963 0.748715 -0.0266143
-1.9876 0.426066 0.992335
-0.628854 0.875595 1.92641
-0.953254 0.230307 1.981
-0.536307 0.916583 -0.622348
-2.67947 0.579565 1.33703
-1.77173 0.737038 -0.151347
-1.33129 0.732569 0.701194
-1.54484 1.19546 -0.185056
-1.48589 0.631339 0.423241
-1.03659 0.69939 1.69122
-2.08811 0.469992 0.868342
-1.56335 0.517659 0.682027
-0.524671 0.522423 1.07586
-0.506218 0.949081 -0.925228
-0.548724 0.790321 -0.467589
0.22295 1.24907 -0.26325
-0.868717 1.0474 0.247436
-0.666489 0.763773 0.763895
-1.04075 0.7487 1.13061
-1.3051 0.6211 1.63796
0.196807 0.299062 1.88854
-0.947635 0.724971 1.83724
-1.44078 0.276812 2.12183
-0.752545 2.30155 -0.573759
-0.836559 0.666455 0.193137
-1.2539 1.96322 0.563679
-0.758216 0.796087 -0.293125
-0.257213 0.693853 0.143893
1.59224 2.80242 1.88634
-0.385654 0.525034 0.969248
-0.296374 0.98585 1.08227
-0.881499 1.04151 1.53083
-0.757154 0.448119 1.10389
-0.495619 1.22556 -0.459431
-0.775458 0.872834 -0.970947
-0.587913 0.775717 -0.243358
-1.31289 1.19281 -0.417878
-1.66763 1.49285 1.6784
-0.886351 0.510437 0.88703
-1.56676 0.469388 1.08345
-0.305659 0.360328 1.71032
-1.14818 0.524266 2.34163
0.346076 0.252074 1.99052
-0.249548 0.956825 -1.3789
-1.29391 0.670301 0.291172
-1.78142 2.3171 0.746862
0.249053 0.714823 0.0867194
-0.687993 0.626345 0.60681
-0.0961207 0.776382 1.13961
0.192727 0.544025 0.784396
-0.38625 0.509644 1.15979
0.084823 0.310006 2.70598
-0.999607 0.214295 2.49517
0.0859916 0.855949 -0.550869
-0.179974 0.860957 -0.96751
-0.822321 1.03984 -0.230944
0.151455 0.727426 -0.0439793
-1.52858 0.570333 1.79242
-0.416928 0.759607 1.8948
0.0606856 1.04234 1.85486
-0.644289 0.355515 1.65604
-0.403399 0.163891 2.81573
-0.80166 0.15001 2.67232
0.400653 1.27185 -2.07154
-0.499828 0.85295 -0.76732
-1.77907 3.17744 -1.10501
1.06893 2.80532 0.781069
-2.34356 0.848198 -0.977029
-0.892368 1.00973 1.19159
-1.17037 0.482046 1.02142
-1.20877 0.381913 1.43604
0.0299644 0.459229 2.79075
-0.231753 0.151032 2.84999
-0.855654 0.999606 -1.21682
-0.278301 0.960508 -0.284782
0.17453 1.30933 -1.08811
-0.243234 1.04587 -0.997252
-1.0005 0.646387 0.125564
-0.267107 0.919333 -0.034954
-1.6167 0.590997 1.02539
-0.744901 0.865036 0.233572
0.461954 0.15001 2.63296
-1.18841 0.15001 2.84999
-1.68946 1.20747 -1.64939
-0.847303 0.724679 -0.062448
-1.45008 0.95319 -1.07566
-0.604893 0.902168 0.131535
-1.76203 0.570424 0.460584
-1.93375 0.531099 1.63634
-0.824027 0.395267 1.31095
-1.35654 0.219369 2.06926
-1.96098 0.933868 1.46144
-0.595 0.152141 2.84586
-0.847736 0.937263 0.941856
-0.666054 1.07692 -0.304655
-0.443237 0.729934 0.0520754
-0.282913 3.65856 0.688301
-0.107464 0.88596 0.987362
0.0742319 0.663125 1.04897
-1.23725 0.665692 1.90011
-0.924243 0.615931 1.26163
-0.618143 0.339097 2.00725
-0.226066 0.236134 2.51399
-0.412034 0.928133 -1.10657
-1.80635 1.10441 -0.467703
-1.66332 0.542828 1.5804
-1.0378 0.957484 -1.08049
-0.88563 0.534118 0.700073
-0.697578 0.726308 1.36569
-1.48881 0.385931 1.38874
-0.294281 0.42804 1.29369
-1.16002 0.365737 2.38005
0.464235 0.42998 2.83406
-1.61393 0.809595 -0.70177
0.312061 0.683685 0.710188
-1.14641 1.20774 -0.495482
-0.0118246 0.878568 -0.0991634
-1.04877 0.942106 0.828484
-0.741856 0.989384 0.0889642
-0.0791388 1.71992 -0.754296
0.513096 0.28839 2.59833
0.274712 0.627726 1.23758
-0.625155 0.776149 2.71557
-0.40918 0.756892 -0.268362
-1.07226 1.28691 0.441457
0.361425 0.655848 1.04783
0.0979301 0.707008 0.154466
-0.480371 0.720523 1.61191
-0.237952 0.594425 0.922947
0.458816 1.3452 2.68161
-0.0527953 0.392394 1.52462
1.55815 1.03755 2.40039
-0.308773 0.387267 1.5158
0.120044 0.909405 -1.01817
-0.380123 0.655549 0.432738
-0.370775 0.667032 0.261957
-0.520635 0.508544 0.884866
-0.564292 0.597127 0.724619
0.739945 0.436075 1.3563
-1.37945 0.69461 1.80744
0.0807447 0.515191 0.913705
-0.410877 0.2681 2.32852
-0.33372 0.731922 2.45137
-0.675803 0.903175 -1.12005
0.138297 0.830345 -0.392814
-0.237962 0.58399 0.713308
-0.264092 0.764957 -0.191796
-0.578497 1.82048 0.920111
-0.102066 0.631548 0.677585
-0.374947 2.65557 -0.610948
1.2362 1.18836 1.48001
-0.719306 0.488138 0.923978
-0.770698 0.221683 2.8423
-0.47308 1.24916 -1.0978
-0.400587 1.64174 -1.32061
-0.740749 0.889717 -0.508041
