1628 0.1
-0.458266 1.33517 -1.88858
-0.459741 1.33989 -1.70148
-0.461131 1.34456 -1.51353
-0.462426 1.34839 -1.32479
-0.463612 1.35216 -1.13526
-0.466377 1.18274 -0.751891
-0.518903 1.58452 -0.664104
-0.484354 1.42593 0.56643
-0.466717 1.24697 0.658174
-0.468073 1.36633 0.78572
-0.52522 1.27635 0.906074
-0.502161 1.27962 1.1862
-0.467313 1.26965 1.36279
-0.456434 1.51976 -1.88367
-0.457853 1.52481 -1.69685
-0.459187 1.52905 -1.50922
-0.460426 1.5333 -1.3208
-0.461568 1.53717 -1.13162
-0.462597 1.54086 -0.941776
-0.463368 1.44895 -0.750524
-0.461205 1.56383 -0.593245
-0.581896 1.65471 -0.161333
-0.23135 2.17479 -0.0855473
-0.533018 1.48036 0.247747
-0.464865 1.42036 0.46294
-0.482723 1.5223 0.66306
-0.465461 1.45438 0.784718
-0.465439 1.5503 0.976851
-0.464928 1.54879 1.16873
-0.464273 1.54652 1.36012
-0.463488 1.54369 1.55114
-0.454543 1.70316 -1.87863
-0.455909 1.7083 -1.69211
-0.457198 1.71302 -1.50477
-0.458387 1.71727 -1.31668
-0.459476 1.72105 -1.12789
-0.460455 1.72483 -0.938448
-0.461329 1.7278 -0.748415
-0.462072 1.73049 -0.557856
-0.507025 1.80689 -0.450404
-0.504767 1.62415 -0.178423
-0.375921 2.09992 -0.0172794
-0.52822 1.75039 0.249144
-0.463381 1.64319 0.401675
-0.479246 1.69815 0.61228
-0.463524 1.73568 0.783679
-0.46317 1.73464 0.975335
-0.462686 1.73285 1.16672
-0.46206 1.73049 1.35767
-0.461308 1.72766 1.54821
-0.460444 1.72478 1.73828
-0.452601 1.88566 -1.87345
-0.453926 1.89085 -1.68725
-0.455162 1.89557 -1.50025
-0.456301 1.89982 -1.31254
-0.457349 1.90407 -1.12411
-0.45829 1.90756 -0.935073
-0.459119 1.91068 -0.745464
-0.45983 1.91351 -0.55536
-0.476566 1.92479 -0.423272
-0.467539 1.68239 -0.175655
-0.502978 2.13413 0.0521044
-0.51351 1.87521 0.241986
-0.461485 1.91988 0.399912
-0.461417 1.91965 0.591326
-0.461214 1.9187 0.782652
-0.460874 1.91757 0.973801
-0.460411 1.91587 1.16467
-0.459818 1.91351 1.35515
-0.459098 1.91068 1.54525
-0.458269 1.90737 1.73486
-0.450619 2.26921 -1.86816
-0.451893 2.27049 -1.68227
-0.453079 2.27163 -1.49564
-0.454183 2.27269 -1.30829
-0.455186 2.27369 -1.12026
-0.456086 2.27461 -0.931644
-0.456879 2.27539 -0.742478
-0.457561 2.27603 -0.55284
-0.458122 2.27658 -0.362786
-0.458564 2.27699 -0.172409
-0.464099 2.20715 0.0217097
-0.463849 2.2054 0.211962
-0.459139 2.27759 0.399912
-0.459075 2.27754 0.590795
-0.458883 2.27736 0.78159
-0.458561 2.27699 0.972231
-0.458116 2.27653 1.16259
-0.457552 2.27598 1.35268
-0.456868 2.27534 1.54229
-0.456071 2.27461 1.73143
-0.331227 1.03284 -1.67236
-0.71126 1.10752 -1.81182
-0.450847 1.06755 -1.19116
-0.483104 1.1344 -1.11115
-0.273469 1.08347 -1.82271
-0.301384 1.07338 -1.67819
-0.495904 1.02825 -1.8127
-0.898719 1.09779 -1.73593
-0.42653 1.04175 -1.21218
-0.471964 1.1687 -1.12722
-0.52051 1.10399 -0.981963
-0.343075 1.33942 -0.590824
-0.385565 0.644061 2.02827
-0.272306 1.11765 -1.85593
-0.294477 1.07845 -1.68287
-0.457681 1.04978 -1.83575
-0.347688 1.23017 -1.47646
-0.421238 1.01938 -1.19935
-0.505499 1.11704 -1.15392
-0.515264 1.07199 -1.00599
-0.361598 1.31896 -0.542034
-0.31824 0.547453 1.63989
-0.277251 0.601863 1.75434
-0.270658 1.12833 -1.86208
-0.283341 1.09352 -1.68956
-0.308795 1.08512 -1.59337
-0.248131 1.0905 -1.30456
-0.430316 1.08679 -1.21476
-0.431918 1.26556 -1.11126
-0.428784 1.17435 -0.845432
-0.356159 1.30381 -0.540644
-0.365041 0.986377 0.669926
-0.301237 1.10024 0.780953
-0.276403 0.894968 1.56108
-0.276175 0.984219 1.75219
-0.269368 1.15758 -1.8948
-0.270851 1.05947 -1.70694
-0.252925 1.08537 -1.55401
-0.267931 1.10864 -1.33199
-0.334563 0.993725 -1.23265
-0.178723 0.954279 -0.894782
-0.256181 1.0828 -0.694136
-0.302804 1.28246 -0.559084
-0.307081 2.13189 -0.35325
-0.153325 1.65456 0.920826
-0.0464453 1.67116 0.955127
-0.344744 1.2208 0.724472
-0.284162 1.08073 0.796069
-0.274603 1.1715 1.74902
-0.267952 1.33706 -1.88994
-0.269115 1.34178 -1.70277
-0.270207 1.34603 -1.51473
-0.271222 1.35028 -1.32589
-0.271839 1.25636 -1.1356
-0.272861 1.14653 -0.954807
-0.273205 1.16582 -0.754073
-0.280217 1.24436 -0.558333
-0.31804 1.44583 -0.410834
-0.333443 1.53215 -0.259623
-0.606158 1.98017 0.270082
-0.226192 1.22867 0.240271
-0.182261 1.64882 0.526151
-0.267092 1.46345 0.79933
-0.275435 1.27175 0.785858
-0.282476 1.23389 0.98437
-0.250651 1.48503 1.24326
-0.333592 1.38043 1.40526
-0.274005 1.26636 1.55495
-0.272989 1.35736 1.74577
-0.266513 1.5215 -1.88498
-0.267628 1.52622 -1.69809
-0.268678 1.53094 -1.51037
-0.269652 1.53519 -1.32186
-0.270598 1.44404 -1.13239
-0.275383 1.38705 -0.948394
-0.272071 1.54572 -0.752073
-0.273489 1.46123 -0.559946
-0.302184 1.53719 -0.395435
-0.282969 1.87114 -0.304486
-0.358528 1.74002 0.211443
-0.270402 1.24402 0.21561
-0.267145 1.3719 0.734864
-0.273646 1.46049 0.786518
-0.2736 1.55256 0.977229
-0.27551 1.46598 1.17018
-0.307784 1.53763 1.3745
-0.272056 1.54558 1.5519
-0.27134 1.54274 1.74246
-0.265029 1.705 -1.87989
-0.266105 1.71014 -1.6933
-0.267115 1.71477 -1.50589
-0.26805 1.71916 -1.31773
-0.268905 1.72294 -1.12884
-0.269675 1.72671 -0.939274
-0.270357 1.72992 -0.749135
-0.270947 1.73243 -0.558458
-0.281869 1.64054 -0.37774
-0.287341 1.9144 -0.317444
-0.28147 1.77733 0.113291
-0.271977 1.64136 0.207951
-0.231435 1.55714 0.605598
-0.271738 1.66918 0.795282
-0.271809 1.73663 0.975689
-0.271425 1.73474 1.16719
-0.270932 1.73238 1.35832
-0.270345 1.72974 1.54896
-0.269661 1.72671 1.7391
-0.263509 1.88754 -1.87467
-0.264548 1.89274 -1.68838
-0.265515 1.89746 -1.50131
-0.266412 1.90171 -1.31349
-0.267233 1.90596 -1.125
-0.26797 1.90964 -0.935864
-0.268622 1.91266 -0.746155
-0.269183 1.9154 -0.555944
-0.272035 1.84529 -0.367897
-0.263692 1.96418 -0.294217
-0.2733 1.91274 0.0128809
-0.270431 1.92158 0.208394
-0.270484 1.92201 0.399912
-0.270428 1.92158 0.591444
-0.270269 1.92106 0.782888
-0.270006 1.91965 0.974155
-0.269637 1.91776 1.16514
-0.269174 1.9154 1.35574
-0.26861 1.91256 1.54595
-0.267955 1.90945 1.73568
-0.261954 2.26962 -1.86933
-0.262954 2.2709 -1.68338
-0.263887 2.27209 -1.49665
-0.264751 2.27314 -1.30923
-0.265533 2.27415 -1.12112
-0.266241 2.27507 -0.9324
-0.266864 2.27585 -0.743139
-0.267401 2.27653 -0.553389
-0.267843 2.27713 -0.36324
-0.268188 2.27754 -0.172748
-0.268439 2.27781 0.0179968
-0.26859 2.27804 0.208912
-0.26864 2.27809 0.399912
-0.26859 2.27804 0.590913
-0.268436 2.27781 0.781826
-0.268183 2.27754 0.972561
-0.267834 2.27708 1.16306
-0.267389 2.27653 1.35322
-0.266855 2.27585 1.54295
-0.266229 2.27507 1.7322
-0.122227 1.08781 -1.80589
-0.326282 1.10159 -1.63059
-0.318999 0.995524 -1.6253
-0.212489 1.18841 -1.44809
-0.0784201 1.4012 -1.21736
-0.306446 1.65811 -1.05145
-0.173456 1.13562 -2.0565
-0.0880835 1.10962 -1.71788
-0.193955 1.13547 -1.42916
-0.177732 1.04917 -1.42072
-0.111621 1.11837 -1.17807
-0.0686048 1.39704 -1.24122
-0.25596 1.66787 -0.824955
-0.11454 0.789257 1.61703
-0.160245 1.15519 -1.99154
-0.0849464 1.07919 -1.6819
-0.120464 1.24232 -1.53027
-0.0658114 1.04973 -1.35722
-0.0778817 1.08106 -1.16833
-0.068628 1.42666 -1.21384
-0.165532 1.54101 -0.810484
-0.232598 0.994877 -0.5953
-0.238504 1.05642 1.15065
-0.555662 1.58039 0.973703
-0.205889 1.09052 1.54169
-0.0803232 0.776054 1.62263
-0.0894575 0.73162 1.76658
-0.133534 1.1333 -1.93087
-0.0810313 1.09744 -1.68704
-0.0951168 1.23859 -1.58262
-0.0565356 1.02922 -1.34788
-0.124177 1.03584 -1.19355
-0.118554 1.42543 -1.22085
-0.104849 1.43439 -0.806749
-0.312513 1.39005 -0.750013
-0.463435 1.36555 0.146736
-0.597624 1.32572 0.241171
-0.399167 1.07244 0.810696
-0.142452 0.709989 0.859882
-0.294363 0.908916 1.48944
-0.151813 1.10748 1.60685
-0.0820571 0.723576 1.56525
-0.0832703 0.985634 1.75291
-0.0868136 1.10733 -1.89569
-0.0790142 1.06957 -1.70724
-0.0800705 1.20742 -1.56786
-0.0830268 1.03348 -1.32926
-0.10817 1.02086 -1.17182
-0.209465 1.41481 -1.26961
-0.0834925 1.32942 -0.794481
-0.158718 1.45616 -0.712393
-0.0610583 1.20826 -0.345186
-0.156535 1.02461 -0.150047
-0.307505 1.24585 -0.0176358
-0.0858768 1.00288 0.788731
-0.132384 0.883406 1.0121
-0.143086 1.00373 1.2278
-0.0509106 1.30437 1.60501
-0.0824875 0.981952 1.55747
-0.082001 1.07575 1.74929
-0.0773466 1.338 -1.89095
-0.0781801 1.34286 -1.70373
-0.0789664 1.34744 -1.51564
-0.0796981 1.35169 -1.32671
-0.121101 1.23405 -1.14677
-0.256742 1.64872 -1.14675
-0.0898121 1.28668 -0.792099
-0.0715419 1.48879 -0.637608
-0.0936881 1.2457 -0.374699
-0.084945 1.08211 -0.169518
-0.318696 1.44649 -0.0517314
-0.0827085 1.27331 0.786034
-0.0826854 1.36869 0.979088
-0.102879 1.3099 1.19253
-0.021721 1.47963 1.46475
-0.0820884 1.2692 1.5558
-0.0809712 1.35877 1.74644
-0.0763095 1.52287 -1.88597
-0.0771135 1.52764 -1.69902
-0.0778681 1.53236 -1.51125
-0.0785688 1.53661 -1.32266
-0.0889261 1.42244 -1.1452
-0.150208 1.71599 -0.959856
-0.0852664 1.39383 -0.759478
-0.0807543 1.54983 -0.561444
-0.0811239 1.55219 -0.369764
-0.0844207 1.3052 -0.183136
-0.173484 1.52247 -0.090295
-0.101329 1.40279 0.21205
-0.0814108 1.55407 0.977542
-0.0834373 1.47025 1.17221
-0.0604568 1.55027 1.37618
-0.0803 1.54709 1.55246
-0.0797836 1.54416 1.74312
-0.0752444 1.70642 -1.88084
-0.0760167 1.71128 -1.69419
-0.0767418 1.716 -1.50673
-0.077413 1.72058 -1.31847
-0.0780304 1.72435 -1.12954
-0.0839827 1.67415 -0.945437
-0.0790755 1.73143 -0.749683
-0.0794982 1.73413 -0.55893
-0.07985 1.7363 -0.367716
-0.0814172 1.57727 -0.181592
-0.0811627 1.56787 0.0117171
-0.0804445 1.7404 0.207775
-0.176882 1.42835 0.381305
-0.188124 1.47007 0.700025
-0.0825805 1.55898 0.786269
-0.0801215 1.73804 0.975984
-0.0798441 1.73616 1.16755
-0.0794908 1.73398 1.35878
-0.0790682 1.73134 1.54949
