7000 0.05
-1.11302 0.689166 0.0811637
-1.00423 0.741808 -0.0166447
-1.37077 0.697904 0.135685
-1.35293 0.69641 0.137892
-1.02005 0.79272 -0.34928
-1.50099 0.682499 0.182479
-1.39369 0.608612 0.500486
-1.50099 0.682499 0.182479
-1.25517 0.618771 0.413111
-2.28047 0.601238 0.173189
-1.562 0.614016 0.338287
-1.47804 0.686593 0.195492
-1.80119 0.65394 0.408648
-1.88817 0.598167 0.524234
-1.80166 0.653917 0.408076
-0.859473 0.531702 0.92817
-1.4732 0.655439 0.249254
-1.18613 0.546318 0.747128
-1.33293 0.552824 0.898509
-0.853589 0.518742 0.995059
-1.58163 0.423919 1.19643
-0.853589 0.518741 0.99506
-0.449925 0.391967 1.48918
-0.54289 0.566325 0.746363
-0.67821 0.539122 0.872826
-0.440714 0.394194 1.49648
-0.384027 0.484235 1.26456
-0.370954 0.504906 1.08942
-0.384027 0.484235 1.26456
-0.334294 0.545517 0.773487
-0.860559 0.477429 1.29158
-0.830882 0.478851 1.28122
-0.878112 0.480007 1.28488
-0.641667 0.453419 1.33892
-0.835712 0.48186 1.27544
-0.641667 0.453419 1.33892
-0.555026 0.455551 1.2823
-0.834899 0.477902 1.28407
-0.564999 0.423444 1.45218
-0.842529 0.485117 1.26685
-0.593186 0.407439 1.49398
-0.661393 0.447377 1.44391
-0.593186 0.407439 1.49398
-0.530866 0.405091 1.4713
-0.672395 0.337617 1.74339
-0.942327 0.459351 1.37005
-0.690036 0.446018 1.36199
-0.525216 0.38442 1.52491
-0.80058 0.468883 1.29968
-0.525216 0.38442 1.52491
-0.52202 0.394517 1.49429
-1.00895 0.363231 1.75068
-0.939627 0.374453 1.6404
-1.22868 0.291631 2.00297
-0.869772 0.372251 1.6107
-0.420859 0.359443 1.77759
-0.869772 0.372251 1.6107
-0.619474 0.342018 1.70452
-1.24512 0.295027 1.99915
-2.43717 0.343665 1.75672
-1.00797 0.309334 1.84464
-1.24446 0.295265 1.99694
-0.848209 0.390723 1.5708
-1.24446 0.295265 1.99694
-1.23703 0.295099 1.99876
-2.40926 0.335299 1.70966
-2.78794 0.297101 1.97784
-2.44987 0.347835 1.76348
-2.38549 0.34614 1.67899
-0.998599 0.250416 2.02204
-0.640566 0.811387 -0.645003
-0.771356 0.795668 -0.355725
-1.39555 0.747125 -0.206388
-0.795343 0.966276 -1.13164
-1.35486 0.698204 0.131755
-1.06628 0.799841 -0.316001
-0.975331 0.696059 0.178741
-1.06628 0.799841 -0.316001
-1.07481 0.619475 0.395896
-1.89874 0.771557 -0.319091
-1.5573 0.812449 -0.342774
-1.56199 0.614013 0.33829
-1.26563 0.615545 0.43113
-1.28481 0.621249 0.410081
-1.26564 0.615545 0.431131
-1.37365 0.607573 0.650699
-2.35044 0.639645 0.0516349
-1.68598 0.729686 -0.141508
-1.18614 0.54632 0.747129
-1.87653 0.60679 0.456537
-1.7843 0.654194 0.416407
-1.87653 0.60679 0.456537
-0.734299 0.576299 0.777854
-1.89012 0.595962 0.579952
-2.38157 0.637818 0.0654287
-0.67821 0.539122 0.872826
-1.34455 0.445607 1.20765
-1.31832 0.59238 0.680674
-1.34455 0.445607 1.20765
-0.876141 0.479687 1.28541
-1.36867 0.574916 0.793203
-1.99195 0.590783 0.576551
-0.830877 0.478852 1.28122
-1.14707 0.383911 1.57613
-1.48646 0.461509 1.36667
-1.14707 0.383911 1.57613
