1000 0.1
-2.29723 0.15001 -2.54028
-2.84999 0.15001 -1.7076
-2.84865 0.15001 -0.16069
-2.84999 0.15001 -2.18675
-2.07157 0.15001 -0.696757
-2.27701 0.15001 0.414256
-1.58342 0.15001 0.847346
-1.98193 0.15001 1.39235
-2.84999 0.15001 2.3773
-2.30379 0.15001 2.61567
-2.84999 0.15001 -2.50422
-2.54352 0.15001 -1.98248
-2.32928 0.15001 -2.38915
-2.81235 0.15001 0.456328
-2.84999 0.15001 1.9942
-2.84999 0.15001 2.193
-2.83146 0.15001 1.80481
-2.66287 0.15001 1.30793
-1.39578 0.197791 1.48051
-2.2071 0.15001 2.73984
-2.1738 0.15001 -2.84999
-2.09309 0.178083 0.863466
-2.84992 0.15001 -1.39535
-1.06488 0.199836 0.511353
-2.84999 0.15001 -0.882399
-2.5038 0.15001 -1.61186
-2.84999 0.15001 1.61613
-2.84999 0.15001 2.84999
-1.14197 0.277821 2.34195
-2.69438 0.15001 2.82789
-2.84999 0.15001 -2.02627
-1.9389 0.15001 -1.59147
-2.27713 0.15001 -1.73799
-1.27086 0.299317 -2.84376
-2.6236 0.15001 0.127255
-1.27504 0.15001 -1.98578
-1.87347 0.15001 0.0786845
-2.84999 0.15001 -0.35514
-1.46442 0.15001 0.0699788
-2.28396 0.15001 1.73681
-2.20636 0.15001 -1.88939
-2.70615 0.15001 -1.94311
-0.875713 0.238455 0.191085
-1.2286 0.203105 0.601741
-0.60269 0.426534 0.867763
-2.44643 0.15001 -0.148466
-2.06106 0.405865 -0.593583
-0.836832 0.310104 1.49164
-0.168629 0.984835 2.82521
-2.00126 0.15001 2.84999
-2.0965 0.15001 -2.30539
-0.998648 0.153927 -2.70573
-2.84999 0.15001 -1.86803
-2.33125 0.15001 -1.5771
-1.02575 0.299461 0.874428
-0.850328 0.15001 -0.661059
-2.55081 0.15001 1.71405
-0.954891 0.28075 1.70953
-2.64144 0.359435 2.3202
-2.18687 0.265062 1.51286
-2.47268 0.15001 -2.53123
-2.10221 0.15001 0.064447
-2.09676 0.15001 -1.68799
-2.55091 0.15001 -2.13924
-2.8297 0.15001 1.4522
-1.68167 0.300234 -2.15321
-0.876321 0.425121 1.61994
-2.53066 0.15001 -0.773557
-2.63842 0.15001 0.638097
-2.53289 0.15001 2.84999
-1.47359 0.15001 -2.39331
-2.29861 0.15001 0.0972088
-2.65728 0.187085 -1.68949
-2.75443 0.289918 -1.794
-1.25017 0.15001 0.979283
-2.10329 0.15001 1.75502
-2.60269 0.17963 1.55275
-1.22977 0.15001 2.42652
-1.06208 0.154012 -0.223157
-1.99154 0.15001 1.07467
-2.70385 0.15001 -2.10107
-1.90816 0.15001 0.323492
-2.84696 0.334827 1.71816
-2.84999 0.15001 0.193132
-2.22962 0.497944 -2.20331
-1.3068 0.15001 0.416167
-2.0019 0.15001 1.56531
-1.19222 0.407557 -0.792001
-2.84999 0.153781 2.67188
-1.67392 0.15001 2.01393
-1.51677 0.15001 -2.23439
-2.65168 0.15001 -0.367209
-2.63423 0.15001 -0.137288
-1.94173 0.306669 -2.77764
-2.73609 0.263543 -0.921084
-1.92082 0.15001 1.72772
-2.72276 0.15001 -0.679427
-2.72158 0.15001 -1.07514
-1.61194 0.15001 1.2854
-2.62984 0.191029 1.87014
-1.85637 0.15001 -2.84999
-1.52789 0.15001 -0.737804
-2.26285 0.15001 -2.25474
-2.2801 0.15001 -0.226826
-2.32798 0.15001 -2.08433
-2.49766 0.15001 0.845855
-2.12049 0.15001 1.19732
-1.1734 0.15001 1.48172
-1.10592 0.15001 2.2366
-2.32966 0.15001 0.587292
-0.934031 0.15001 -2.84999
-1.87179 0.15001 -1.96941
-0.766782 0.15001 0.295657
-2.77244 0.15001 -1.56514
-2.16815 0.15001 -0.546804
-1.04518 0.15001 1.60185
-2.5239 0.15001 2.54504
-0.993854 0.192055 1.42794
-1.86839 0.15001 2.5695
-1.65023 0.15001 2.84014
-2.07996 0.15001 -2.47601
-2.84999 0.15001 -2.84999
-0.704196 0.277161 0.598276
-1.58815 0.15001 -0.162167
-0.55449 0.15001 0.868906
-2.72712 0.15001 0.307377
-0.965615 0.274617 1.26019
-0.796722 0.281075 1.31635
-1.80217 0.542979 -0.605689
-1.83187 0.15001 2.84999
-1.92333 0.15001 -2.52573
-1.70299 0.15001 -2.84999
-2.4373 0.15001 -1.76462
-2.31454 0.15001 -0.856961
-2.48898 0.15001 -1.18169
-0.98728 0.15001 1.14084
-1.30117 0.15001 1.31788
-0.77128 0.296566 1.71476
-2.69973 0.15001 2.06172
-1.47679 0.15001 2.84999
-1.6703 0.15001 -2.18986
-2.84999 0.15001 -2.67726
-0.418044 0.407394 0.287598
-2.27827 0.192876 0.830191
-1.09842 0.188901 0.720641
-0.978423 0.30462 1.05532
-2.14624 0.15001 -0.344674
-0.691057 0.400997 1.39781
-1.84466 0.15001 2.0059
-1.80406 0.15001 0.906985
-2.39836 0.15001 -2.84999
-1.94169 0.15001 -2.34747
-0.818967 0.179327 0.477665
-2.74336 0.15001 1.04644
-2.32829 0.15001 -0.565639
-0.842876 0.17357 0.936643
-2.73793 0.15001 2.52498
-1.09956 0.15001 0.195142
-1.82273 0.15001 0.494687
-0.760376 0.280806 2.04536
-2.66247 0.15001 -2.2671
-1.39996 0.15001 1.12234
-1.48586 0.153265 -2.71366
-2.2531 0.342892 -1.94376
-2.65244 0.15001 -2.43793
-1.79265 0.15001 2.3478
-0.505962 0.684236 1.00006
-2.84007 0.15001 1.21099
-2.64918 0.15001 2.25767
-2.3729 0.185753 2.84999
-2.01181 0.15001 -2.84999
-1.45305 0.15001 -2.0662
-0.678208 0.588853 0.933451
-2.60596 0.15001 -2.71968
-0.334244 0.703609 0.885873
-2.40008 0.15001 1.61367
-2.63832 0.15001 -1.47138
-1.75554 0.296876 2.84604
-2.49488 0.15001 -0.556237
-2.60728 0.31561 2.84999
-1.07208 0.15001 -1.96712
-2.69335 0.15001 -2.84999
-1.95063 0.15001 -1.79352
-1.7563 0.15001 -1.60441
-2.2218 0.15001 2.28315
-2.84999 0.15001 0.897757
-1.20677 0.15001 1.63814
-1.8464 0.15001 1.2038
-2.44854 0.15001 1.91022
-0.918177 0.15001 1.91643
-1.50695 0.15001 -2.56138
0.648597 0.15001 -2.5964
-1.05704 0.15001 -2.18338
0.601128 0.15001 -2.81375
-2.57012 0.15001 1.0279
-1.69136 0.15001 0.633883
-1.80807 0.15001 1.46089
-2.32447 0.447761 0.108172
-0.680652 0.20264 2.83716
-2.46348 0.232162 1.41408
-1.08707 0.15001 -2.84999
-1.98417 0.15001 -2.12185
-1.70686 0.15001 -1.85669
-0.448439 0.15001 -0.887804
-1.98991 0.15001 -0.451052
-0.525755 0.15001 1.07638
-0.682219 0.15001 1.35004
-0.828466 0.15001 1.43463
-1.31613 0.15001 2.22365
-1.51929 0.15001 2.29055
-0.481361 0.15001 -2.84999
-2.11016 0.15001 -0.914872
-1.03198 0.15001 0.951669
-0.803574 0.204713 0.738712
-0.950164 0.15001 0.799618
-1.44659 0.15001 0.333381
-0.822503 0.15001 1.20798
-0.865798 0.15001 1.61501
-2.31436 0.15001 1.1866
-0.570115 0.15001 1.82539
-0.28085 0.15001 -1.35332
-0.721905 0.153479 0.112936
-0.319926 0.332817 0.459399
-0.646428 0.15001 0.513543
-0.411032 0.157051 0.780348
-2.77542 0.329747 1.15934
-0.800711 0.27766 1.08741
-0.574701 0.284756 1.35325
-0.770192 0.15001 1.8366
-0.65638 0.15001 1.9896
-0.514712 0.15001 -2.30338
-0.696866 0.31767 0.211696
-0.944185 0.15001 0.357559
-0.926501 0.159687 0.620291
-2.84999 0.15001 -0.56504
-0.622023 0.309125 1.01651
-0.680955 0.367235 1.21337
-0.674121 0.207575 1.50851
-2.84999 0.15001 0.635008
-0.662005 0.286361 1.87281
-2.15733 0.15001 -2.13724
-1.19552 0.15001 -2.50768
-2.23343 0.15001 -1.07537
-2.38477 0.15001 -1.92401
-0.464058 0.430182 0.719889
-0.729559 0.476462 1.07652
-1.99802 0.356177 1.34785
-0.327053 0.407608 1.22059
-0.509515 0.436083 1.29886
-0.673192 0.371732 1.57777
-0.523152 0.15001 -2.60289
-0.806182 0.15001 -2.54093
-2.83592 0.271228 0.102972
-2.84935 0.15001 -2.34426
-0.422063 0.490878 0.876446
-1.47565 0.15001 1.84927
-2.37828 0.287807 0.713505
-0.811334 0.461488 1.7937
-0.859209 0.302885 1.88409
-0.684852 0.444955 1.94786
0.397033 0.15001 -2.65376
-0.630534 0.482368 0.153371
-0.592351 0.472894 0.347926
-2.15736 0.15001 -2.61882
