1000 0.1
-2.32348 0.15001 -2.84999
-2.69437 0.15001 -2.83719
-2.67156 0.15001 -2.34073
-2.75901 0.15001 -1.61702
-2.68162 0.15001 -1.07374
-2.68537 0.15001 -0.202453
-2.69998 0.15001 0.246382
-2.74776 0.15001 0.898803
-2.8422 0.15001 1.32543
-2.84843 0.15001 1.90956
-2.50847 0.15001 -2.80912
-2.75035 0.15001 -2.51562
-2.84999 0.15001 -1.9838
-2.84999 0.15001 -0.992753
-2.84999 0.15001 -0.742422
-2.84999 0.15001 -0.0974109
-2.84999 0.15001 0.373822
-2.84999 0.15001 1.07354
-2.84999 0.15001 1.71014
-2.84999 0.15001 2.44224
-1.9178 0.15001 -2.84715
-2.62837 0.15001 -2.66168
-2.84999 0.15001 -2.35167
-2.84326 0.15001 -1.20161
-2.84999 0.15001 -0.299836
-2.84999 0.15001 0.112466
-2.84999 0.15001 0.580097
-2.64252 0.15001 1.36988
-2.68333 0.15001 1.80543
-2.70716 0.15001 2.78175
-2.10362 0.15001 -2.79387
-2.39011 0.15001 -2.4203
-2.84999 0.15001 -1.79017
-2.69895 0.15001 -0.865433
-2.71299 0.15001 -0.437511
-2.68103 0.15001 -0.00135985
-2.67839 0.15001 0.481883
-2.6831 0.15001 1.17291
-2.73038 0.15001 1.55132
-2.84999 0.15001 2.25373
-2.2617 0.15001 -2.672
-2.56173 0.15001 -2.48661
-2.77129 0.15001 -2.17443
-2.80409 0.15001 -1.4141
-2.6872 0.15001 -0.638502
-2.5361 0.15001 0.13856
-2.6957 0.15001 0.700744
-2.55992 0.15001 1.65726
-2.7581 0.15001 2.08293
-2.73856 0.15001 2.5942
-2.22192 0.285427 -2.78032
-2.32627 0.265938 -2.54852
-2.58034 0.15001 -2.18204
-2.6688 0.15001 -1.82508
-2.52434 0.15001 -0.947807
-2.51337 0.15001 -0.284222
-2.51989 0.15001 0.788036
-2.48834 0.15001 1.18952
-2.59555 0.15001 1.97434
-2.57477 0.15001 2.47528
-2.11466 0.238681 -2.61572
-2.2504 0.177942 -2.30586
-2.49013 0.15001 -2.0214
-2.62196 0.15001 -1.4745
-2.53276 0.15001 -0.513969
-2.32408 0.162899 0.0123518
-2.31902 0.15001 0.637646
-2.25027 0.15001 1.19687
-2.21063 0.15001 1.61588
-2.3828 0.15001 2.51304
-2.10568 0.264219 -2.38136
-2.13772 0.15001 -1.9506
-2.38375 0.15001 -1.67031
-2.34721 0.15001 -1.02782
-2.19089 0.15001 -0.322052
-2.19569 0.15001 0.329772
-2.15138 0.15001 0.739636
-2.02651 0.15001 1.56336
-2.14022 0.15001 2.00811
-2.29136 0.15001 2.69958
-2.03656 0.239803 -2.09302
-2.29117 0.15001 -1.83434
-2.24387 0.217691 -1.35646
-2.19 0.15001 -0.732289
-2.01844 0.15001 -0.232211
-2.01235 0.15001 0.388839
-2.01327 0.15001 0.880687
-1.9722 0.251175 1.41637
-1.94796 0.15001 2.06095
-2.07794 0.15001 2.73168
-1.85741 0.289854 -1.89329
-2.26738 0.26413 -1.58059
-2.16293 0.15001 -1.13388
-2.02465 0.153536 -0.632078
-1.86886 0.276622 0.0269213
-1.84191 0.15001 0.48027
-1.93089 0.254011 1.02279
-1.75367 0.258211 1.60318
-1.75995 0.15001 1.93962
-1.99999 0.15001 2.53904
-1.66037 0.15001 -2.84999
-1.9631 0.15001 -2.66591
-2.20508 0.15001 -2.48247
-2.17605 0.15001 -1.68784
-2.33617 0.15001 -1.21572
-2.19697 0.15001 -0.528255
-2.3527 0.15001 0.443899
-2.32872 0.15001 0.834592
-2.43703 0.15001 1.37682
-2.6568 0.15001 2.27529
-1.78381 0.15001 -2.70983
-2.44369 0.15001 -2.63068
-2.39247 0.15001 -2.19111
-2.57331 0.15001 -1.6618
-2.3539 0.15001 -0.834362
-2.33833 0.15001 -0.188835
-2.52683 0.15001 0.352623
-2.5692 0.15001 0.992811
-2.41364 0.15001 2.027
-2.5291 0.15001 2.69039
-1.48714 0.209984 -2.84999
-2.01127 0.15001 -2.48186
-2.67106 0.15001 -2.01456
-2.66526 0.15001 -1.27459
-2.52714 0.15001 -0.747025
-2.4988 0.15001 -0.0669358
-1.81687 0.15001 0.914798
-1.79081 0.15001 1.10816
-2.1087 0.15001 1.77739
-2.28117 0.15001 2.16287
-1.64624 0.15001 -2.56298
-2.18051 0.15001 -2.14286
-2.48086 0.15001 -1.83351
-2.50926 0.15001 -1.1453
-2.36324 0.15001 -0.416676
-2.17302 0.15001 0.131211
-2.50298 0.15001 0.576519
-2.3735 0.15001 1.03188
-2.39266 0.15001 1.56425
-2.45713 0.15001 2.28962
-1.83285 0.15001 -2.52639
-2.00387 0.15001 -2.28233
-2.31116 0.15001 -2.01771
-2.48588 0.15001 -1.33716
-2.36726 0.15001 -0.628511
-2.35609 0.15001 0.214101
-2.18508 0.15001 0.98049
-1.89703 0.15001 1.27252
-2.28957 0.15001 1.86921
-2.42162 0.15001 2.84999
