1000 0.1
-2.68394 0.150335 -1.07736
1.67117 0.15044 2.50171
-0.259366 0.150335 -1.35681
-0.235632 0.150335 -1.35927
-1.41971 0.174532 0.430459
-2.33767 0.150332 -2.85228
-0.427671 0.150336 -2.36507
-2.33767 0.150332 -2.85228
-2.17373 0.150335 -2.42661
-1.53846 0.165896 0.511652
-2.03679 0.150333 -2.73298
-1.21936 0.150297 -2.55568
-1.1242 0.150335 -0.0408296
-2.08697 0.150341 -2.8019
-1.12443 0.150335 -0.0416184
-2.72667 0.150113 -2.71537
-1.94941 0.150336 0.0924143
-1.43765 0.150335 1.54976
-1.56506 0.150336 -1.19663
-2.85206 0.150336 -1.03543
-1.72065 0.150298 -0.534168
-2.85206 0.150336 -1.03543
-1.90778 0.150301 1.16691
-1.29314 0.150334 -2.58641
-2.12689 0.150333 0.823708
-1.92028 0.150336 -0.0893114
-1.93986 0.150336 -0.234598
-1.53705 0.165278 0.51561
-1.93983 0.150336 -0.232307
-1.27248 0.15031 -2.27932
-2.18313 0.150333 -2.02072
-2.57021 0.150321 -2.45962
-0.668332 0.150335 0.755752
-1.73974 0.150336 -0.540911
-0.546784 0.150335 1.5497
-1.73974 0.150336 -0.540911
-1.37751 0.170874 0.285617
-2.35594 0.150269 0.347771
-2.67404 0.150336 -0.301158
-2.79 0.150335 -1.6408
-2.09186 0.15034 -1.1286
-2.02655 0.150336 -1.47202
-2.09186 0.15034 -1.1286
-2.65372 0.150335 2.61266
-2.81057 0.1503 2.69326
-2.61611 0.150295 2.85121
-1.67133 0.150332 2.12314
-2.59996 0.150336 2.82314
-1.70088 0.150314 2.36588
-2.75194 0.150289 2.75276
-2.61663 0.150295 2.85121
-1.42214 0.150335 -0.172897
-1.27421 0.150336 -2.52918
-2.54243 0.150335 -1.32232
-2.23693 0.150331 -2.59188
-1.12387 0.150335 -0.913642
-2.24313 0.150331 -2.6541
-2.59735 0.1503 2.85182
-2.50215 0.150335 2.72339
-1.57749 0.150302 2.49025
-2.68759 0.150288 1.72519
-1.58808 0.150333 2.542
-2.71854 0.150296 1.74583
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-0.030432 0.150334 -2.56217
1.80082 0.150327 2.19992
-0.258569 0.150335 -1.35683
-0.259598 0.150335 -1.35683
-0.235632 0.150335 -1.35927
0.0191007 0.150334 -2.51565
-0.258569 0.150335 -1.35683
0.0191007 0.150334 -2.51565
-2.3006 0.150334 -2.85188
-2.28083 0.150297 -2.8509
-1.81422 0.170759 -2.53347
-2.03679 0.150333 -2.73298
1.69872 0.150609 2.53397
-2.19814 0.150333 -2.00334
1.69815 0.150609 2.53396
-2.22445 0.150336 -2.35892
-1.1214 0.150122 -2.16923
-2.60584 0.150216 -2.84927
-1.43765 0.150335 1.54976
-1.2997 0.150335 -0.791188
-1.98103 0.150336 -0.343609
-1.2997 0.150335 -0.791188
-2.67271 0.150335 -1.19774
-2.12436 0.150304 -1.93015
-0.703987 0.150335 -2.68409
-2.12689 0.150333 0.823708
-1.43069 0.150393 -2.27458
-1.10967 0.150378 -2.44949
-1.43069 0.150393 -2.27458
-1.50747 0.176037 0.460836
-1.49116 0.150299 2.69601
-2.66657 0.150336 -0.307204
-2.57021 0.150321 -2.45962
-1.97421 0.150299 -2.61333
-2.07785 0.150337 -1.24052
-1.97421 0.150299 -2.61333
-1.97621 0.150292 -0.678909
-2.56106 0.150295 1.64821
-2.59521 0.1503 2.85187
-2.67404 0.150336 -0.301158
-2.67028 0.150296 2.83788
-2.60537 0.150296 2.85119
-2.67028 0.150296 2.83788
-2.59125 0.150288 1.65966
-2.39534 0.150295 2.52151
-1.23919 0.150335 2.51816
-2.61611 0.150295 2.85121
-1.27329 0.150299 -2.25554
-2.15648 0.150335 1.55487
-1.2893 0.150292 -2.18095
-2.59702 0.1503 2.85182
-2.29805 0.150335 -1.05998
-2.75653 0.150333 -1.34227
-1.27421 0.150336 -2.52918
-2.65802 0.150335 2.63687
-2.72933 0.150296 -0.753509
-2.65847 0.150335 2.64007
-2.82261 0.150336 2.5781
-1.58746 0.150334 2.51456
-1.58808 0.150333 2.542
-1.57749 0.150302 2.49025
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-2.79676 0.150336 2.01758
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.76869 0.15029 2.11963
-2.151 0.150299 2.18287
-0.599059 0.150305 -1.73762
-0.54979 0.150335 1.90577
-0.259598 0.150335 -1.35683
-0.597575 0.150313 -1.73465
1.46712 0.150425 2.66972
-0.597575 0.150313 -1.73465
-0.2478 0.150319 -2.71163
-0.644088 0.150336 -2.50805
-1.40045 0.150336 -1.87729
-1.81422 0.170759 -2.53347
-2.20589 0.150333 -2.02102
-2.43245 0.150336 -2.85155
-2.20589 0.150333 -2.02102
-0.258 0.150335 -1.3568
-1.52588 0.150335 2.19999
-1.5643 0.150288 -0.723871
-2.60584 0.150216 -2.84927
-2.79402 0.150336 -1.09873
-0.293205 0.150335 -2.45597
-2.79402 0.150336 -1.09873
-1.87607 0.150304 -1.45166
-2.12597 0.150288 -0.50569
-1.02826 0.189542 0.481273
-0.703987 0.150335 -2.68409
-1.28866 0.150336 -2.52383
-1.67985 0.150303 0.538531
-1.28865 0.150336 -2.52384
-1.75234 0.150321 -0.366701
-2.59165 0.150288 1.66042
-1.3677 0.150294 -0.609652
-2.66657 0.150336 -0.307204
-1.68982 0.150336 -1.88768
-1.23041 0.150305 -2.53996
-1.68982 0.150336 -1.88768
-2.31294 0.150336 0.159412
-1.49423 0.150338 2.80515
-2.06111 0.150341 -1.09444
-2.59521 0.1503 2.85187
-2.71063 0.150286 -0.786392
-2.70656 0.150336 0.0354207
-2.70965 0.150286 -0.787023
-1.48113 0.150335 2.09227
-2.63828 0.150294 2.85124
-2.13345 0.150345 2.45287
-1.23919 0.150335 2.51816
-2.42655 0.150304 -2.07228
-2.80927 0.150307 2.75686
-2.42655 0.150304 -2.07228
-2.5499 0.150336 2.85153
-2.58106 0.151568 1.28491
-0.838856 0.150336 -2.77904
-2.75653 0.150333 -1.34227
-2.66755 0.150283 1.71501
-2.39208 0.150335 -1.87263
-2.66755 0.150283 1.71501
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-0.238392 0.150335 -1.35696
-0.248439 0.150335 -1.35665
0.0497674 0.150334 -2.59665
-0.599966 0.150302 -1.74153
-0.54979 0.150335 1.90577
0.0410151 0.150336 -2.76661
-0.259407 0.150335 -1.35682
0.0410151 0.150336 -2.76661
-0.748532 0.149061 -2.26709
-1.35252 0.150331 -2.63525
-2.71656 0.150076 -2.74257
-1.40045 0.150336 -1.87729
-2.24713 0.15034 1.44609
-0.254389 0.150335 -1.35596
-2.24713 0.15034 1.44609
-0.114317 0.150335 -2.52796
-1.35104 0.4433 0.858064
-1.02497 0.150336 0.0964804
-1.5643 0.150288 -0.723871
-1.34593 0.150336 -1.82531
-1.65562 0.150336 0.838717
-1.34593 0.150336 -1.82531
-2.22629 0.150343 -2.8472
-1.51931 0.150305 -0.725041
-1.57191 0.15605 0.603155
-0.467446 0.150336 1.0433
-1.41385 0.150407 -2.45123
-1.58639 0.159355 0.440818
-1.41366 0.150407 -2.45135
-1.28974 0.150335 -0.809818
-2.41279 0.150335 -1.14196
-2.47652 0.150336 -0.352393
-1.3677 0.150294 -0.609652
-2.08931 0.150336 0.224392
-2.71072 0.150104 -2.72999
-2.08931 0.150336 0.224392
-1.27385 0.150336 -2.529
-1.60932 0.15034 2.77332
-2.10272 0.150341 -1.00985
-2.06111 0.150341 -1.09444
-0.852067 0.15033 1.35755
-2.12654 0.150334 -1.93146
-0.684068 0.150336 1.42746
-1.58821 0.150333 2.54307
-1.59026 0.150335 2.21481
-2.39729 0.150297 2.52154
-2.13304 0.150345 2.45191
-1.54567 0.150336 2.30955
-2.60093 0.150298 2.85123
-1.5469 0.150336 2.31174
-2.36247 0.150335 2.66751
-2.476 0.150335 -0.521306
-2.61836 0.150295 2.85122
-0.838856 0.150336 -2.77904
-2.59378 0.150301 2.85187
-1.45538 0.150419 -2.34001
-2.59354 0.150301 2.85187
-2.59508 0.150301 2.85187
-2.81491 0.150336 2.64052
-1.58725 0.150334 2.51878
-1.58808 0.150333 2.542
-1.58809 0.150333 2.54203
-1.46006 0.150335 2.28222
-1.58809 0.150333 2.54203
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-0.237974 0.150335 -1.357
-0.237913 0.150335 -1.357
0.0738025 0.150334 -2.66782
0.19847 0.150335 -2.77524
-0.599966 0.150302 -1.74153
-2.28456 0.150336 -2.85159
-0.599043 0.150305 -1.73769
-2.28456 0.150336 -2.85159
-2.17025 0.150334 -2.4535
-1.97283 0.157644 -2.47363
-2.22604 0.150343 -2.847
-2.71657 0.150076 -2.74256
-1.87998 0.150336 -0.177633
-2.436 0.150336 -2.85149
-1.87998 0.150336 -0.177633
0.00856239 0.150334 -2.5095
-1.269 0.150336 -1.97563
-0.260045 0.150335 -1.35687
-1.02497 0.150336 0.0964804
-0.709125 0.150297 1.04085
-2.22613 0.150343 -2.847
-0.709125 0.150297 1.04085
-2.14852 0.150345 -2.8282
-1.07313 0.150312 -2.43684
-2.31 0.150332 2.19075
-1.57191 0.15605 0.603155
-1.12162 0.150335 -0.916367
-1.27019 0.150336 -1.97508
-1.12162 0.150335 -0.916367
-2.17208 0.150334 -2.4697
-2.03343 0.150337 -1.88314
-1.42604 0.150341 -2.43981
-2.4959 0.150336 -0.347722
-2.35483 0.150336 -0.378252
-1.52873 0.172682 0.450877
-2.35483 0.150336 -0.378252
-2.69499 0.150301 -0.472994
-1.59353 0.150333 2.58911
-2.03137 0.150337 -1.88135
-2.11034 0.15034 -1.01232
-2.41191 0.150335 2.52365
-2.47285 0.15031 -2.64942
-2.41191 0.150335 2.52365
-1.44391 0.150334 2.66634
-2.59546 0.1503 2.85188
-1.33439 0.150335 2.21393
-2.3957 0.150296 2.52142
-1.68905 0.150336 0.99985
-2.49688 0.150335 2.58724
-1.71076 0.150336 0.993443
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-2.60128 0.150298 2.85122
-2.61836 0.150295 2.85122
-2.54895 0.150336 2.85144
-1.76687 0.150282 2.49079
-2.54895 0.150336 2.85144
-2.595 0.150301 2.85187
-1.58808 0.150333 2.542
-1.58808 0.150333 2.542
-1.58724 0.150334 2.51919
-1.58808 0.150333 2.542
