1000 0.1
-2.84952 0.15001 -2.66779
-1.5292 0.15001 -1.79638
-2.199 0.15001 -1.60611
-2.42361 0.15001 -2.34718
-2.3798 0.15001 -2.17709
-1.43785 0.15001 -0.58894
-2.57421 0.15001 1.3665
-2.6411 0.15001 0.702679
-2.19883 0.15001 1.26776
-2.16281 0.15001 1.76861
-2.32271 0.15001 -2.84667
-2.76047 0.15001 -2.50411
-2.60024 0.15001 -2.41587
-2.64717 0.15001 -1.92269
-2.84987 0.15001 0.393862
-2.82353 0.15001 1.42031
-2.83838 0.15001 0.964322
-2.58538 0.15001 1.60254
-2.83341 0.15001 1.6146
-0.790456 0.15001 2.84999
-2.50776 0.15001 -2.84999
-1.73012 0.15001 -2.13807
-2.14206 0.15001 -2.25125
-2.48129 0.15001 -1.36887
-2.75864 0.15001 -2.31294
-2.67835 0.15001 -2.10061
-0.80013 0.307299 2.18241
-2.43178 0.15001 0.599734
-2.45434 0.15001 1.8496
-2.84353 0.15001 2.77346
-2.22668 0.15001 -2.68135
-1.89069 0.15001 -2.24393
-2.82263 0.15001 -1.98741
-2.74068 0.15001 -0.312779
-2.77446 0.15001 -1.12297
-2.79437 0.15001 -0.735335
-2.73757 0.15001 -0.044782
-2.83807 0.15001 0.153959
-2.81554 0.15001 1.99567
-1.88156 0.15001 2.83355
-1.19176 0.15001 -1.87498
-2.67694 0.15001 -2.75765
-1.41294 0.15001 -2.13166
-2.84999 0.15001 -2.16122
-2.16955 0.15001 -1.78522
-2.60629 0.15001 -1.72957
-2.63262 0.15001 -0.490275
-0.764577 0.481979 2.31394
-2.06656 0.15001 1.05551
-2.53022 0.15001 2.55873
-2.40385 0.15001 -2.52069
-2.58119 0.15001 -2.60039
-2.02116 0.15001 -2.1133
-2.79743 0.15001 -1.81473
-2.7559 0.15001 -1.62031
-2.74318 0.15001 -0.931313
-2.81377 0.15001 -1.30713
-2.80275 0.15001 0.586986
-2.23886 0.15001 2.00697
-2.49013 0.15001 2.82874
-2.14261 0.15001 -2.84999
-2.24283 0.15001 -2.40298
-2.14075 0.15001 -1.42863
-2.57187 0.15001 -1.0646
-2.49968 0.15001 -2.04192
-2.63659 0.15001 -1.26094
-2.48588 0.15001 -0.616422
-2.51465 0.15001 -0.208612
-2.37 0.15001 1.53755
-2.16011 0.15001 2.82035
-2.84172 0.15001 -2.84808
-0.911915 0.15001 -1.64985
-1.56781 0.15001 -2.00183
-2.56348 0.15001 -2.23553
-2.55043 0.15001 -1.54574
-2.06675 0.15001 -0.675928
-2.06338 0.15001 -0.872107
-2.70525 0.15001 1.09721
-1.8101 0.15001 0.597744
-2.57288 0.15001 2.12484
-1.32074 0.15001 -1.73595
-1.87107 0.15001 -1.99926
-2.19473 0.15001 -1.21074
-2.37118 0.15001 -1.52447
-2.40638 0.15001 -1.69974
-2.4483 0.15001 -0.419382
-2.29416 0.15001 -0.209123
-2.51269 0.15001 0.248626
-2.54821 0.15001 0.881244
-2.66644 0.15001 1.79989
-1.57449 0.15001 -2.23068
-1.17457 0.15001 -1.60826
-2.30069 0.15001 -1.92518
-2.10386 0.15001 -1.95152
-1.69311 0.15001 -1.37935
-2.26899 0.15001 -0.650967
-1.88103 0.15001 -0.778178
-1.90868 0.15001 -0.574661
-1.96545 0.15001 -0.379771
-2.09351 0.15001 0.655978
-2.04468 0.15001 -2.69421
-0.477769 0.15001 1.0519
-0.407907 0.253577 1.28334
-0.391858 0.239015 1.48812
-0.483359 0.209921 1.6597
-0.389187 0.219375 1.82595
-1.45697 0.15001 1.39912
-0.517695 0.214211 2.33672
-0.677012 0.250305 2.44518
-0.626539 0.175442 2.67324
-1.9306 0.15001 -2.53367
-0.526028 0.340316 1.03444
-0.58535 0.253889 1.1963
-0.573796 0.214475 1.4046
-0.664053 0.232278 1.58982
-2.70772 0.15001 -1.44876
-0.620371 0.24115 2.17485
-0.777848 0.15001 2.05621
-0.776404 0.307013 2.61918
-0.550645 0.15001 2.84999
-1.39737 0.15001 -2.51904
-0.271586 0.411398 1.18529
-0.496375 0.409964 1.39408
-0.523951 0.396478 1.58498
-0.458702 0.397387 1.76852
-0.595838 0.230505 1.82432
-0.577427 0.15001 2.00392
-0.38766 0.355977 2.27326
-0.589677 0.355597 2.594
-0.457683 0.417381 2.70565
-1.95639 0.15001 -2.84999
-0.348446 0.399435 0.990826
-0.47045 0.446409 1.19283
-0.56078 0.585728 1.51666
-0.661474 0.396165 1.73116
-0.652008 0.410202 2.07268
-0.586669 0.415568 2.26805
-0.493052 0.390699 2.43302
-2.24131 0.15001 2.383
-0.661322 0.309454 2.84996
-1.77178 0.15001 -2.84999
-1.3741 0.15001 -1.93946
-0.456505 0.601855 1.34159
-0.409456 0.703803 1.62607
-0.543984 0.570284 1.71407
-0.418625 0.375275 1.95834
-0.467565 0.47301 2.12814
-0.428241 0.548315 2.33445
-0.471822 0.547429 2.55242
-1.93649 0.15001 2.00956
-1.85984 0.15001 -2.69454
-0.334938 0.57945 1.0789
-2.22219 0.15001 -2.0908
-2.47701 0.15001 -1.86179
-0.581587 0.483628 1.89936
-0.530269 0.628246 2.0271
-0.558898 0.631188 2.2169
-0.599191 0.597689 2.40354
-0.714453 0.482313 2.50864
-2.05547 0.15001 2.54339
-1.42498 0.15001 -2.34003
-1.72832 0.15001 -2.3345
-0.328488 0.705829 1.2313
-0.507998 0.779091 1.46432
-0.411897 0.849834 1.76485
-0.369946 0.753992 2.02405
-0.495349 0.817073 2.16853
-0.426125 0.755515 2.35084
-0.660251 0.532126 2.68851
-2.34682 0.15001 0.997479
-2.41379 0.15001 -2.69475
-1.7495 0.15001 -2.51811
-0.670297 0.41894 1.29887
-2.18907 0.15001 -1.02381
-0.459459 0.911589 1.94575
-2.37331 0.15001 -0.980354
-2.41143 0.15001 0.0131998
-2.15418 0.15001 0.485653
-0.578895 0.757153 2.50882
-0.514381 0.631519 2.7534
-1.50262 0.15001 -2.67472
-0.488284 0.15001 -0.527495
-1.96213 0.15001 -1.42901
-1.61504 0.15001 -1.62098
-1.61509 0.15001 -1.01312
-2.30286 0.15001 -1.35891
-1.40298 0.15001 -0.939656
-1.60855 0.15001 0.163785
-2.12805 0.15001 -0.0234039
-1.59249 0.15001 2.84482
-1.68063 0.15001 -2.68576
-0.93074 0.15001 -1.04876
-1.71632 0.15001 -1.88324
-1.68192 0.15001 -1.20749
-0.554193 0.15001 -0.346143
-2.39874 0.15001 -1.20167
-2.1509 0.15001 -0.494823
-1.96562 0.15001 0.134524
-1.94746 0.15001 1.2933
-2.34704 0.15001 2.60384
-0.603603 0.15001 -1.38186
-0.44665 0.15001 -1.29314
-0.240105 0.212149 1.17422
-0.195999 0.277341 1.52537
-0.294141 0.158252 1.64459
-0.197296 0.171251 1.80605
-0.261566 0.209756 2.1465
-0.329375 0.173641 2.32974
-0.314173 0.16626 2.51974
-0.348387 0.15001 2.84999
-1.23746 0.15001 -2.84999
-1.004 0.15001 -1.81939
-0.251323 0.169254 1.36627
-0.327476 0.38878 1.61125
-0.267905 0.371788 1.79313
-0.36795 0.15001 2.00084
-0.449801 0.15001 2.17112
-0.502397 0.184607 2.52164
-0.430674 0.21903 2.69464
-0.147451 0.15001 2.84999
-1.59329 0.15001 -2.84999
-0.229378 0.239971 0.965032
-0.117702 0.352192 1.32062
-0.171179 0.467524 1.49875
-0.158526 0.495947 1.68617
-0.242843 0.272829 1.95774
-0.297665 0.393018 2.10736
-0.188988 0.36463 2.25863
-0.154116 0.331775 2.58943
-0.285194 0.333469 2.73452
-1.57494 0.15001 -2.45274
-0.144733 0.424891 1.02672
-0.302901 0.39457 1.38019
-0.356836 0.548576 1.50687
-0.33924 0.559551 1.74109
-0.329249 0.560693 2.0078
-0.179648 0.550875 2.21739
-0.296769 0.450352 2.42282
-0.358801 0.350017 2.56374
-0.121655 0.309868 2.84999
-1.06656 0.15001 -2.24079
-0.147808 0.394225 0.829177
-0.104265 0.515255 1.1973
-0.211596 0.580237 1.34495
-0.102165 0.666895 1.7625
-0.196578 0.53381 1.87038
-0.353109 0.645846 2.1889
-0.261388 0.632634 2.3691
-0.201094 0.585707 2.5384
-0.39228 0.502325 2.84999
-1.24874 0.15001 -2.28895
-0.147375 0.635121 1.00831
-0.317001 0.726975 1.42891
-0.215712 0.663008 1.59327
-0.463431 0.677612 1.85499
-0.19466 0.698019 2.09111
-0.147302 0.736501 2.27324
-0.347013 0.705235 2.5216
-0.331576 0.582824 2.68464
-0.238951 0.654238 2.84999
-1.20974 0.15001 -2.4853
-2.11633 0.15001 -2.53048
-0.136927 0.71682 1.18904
-0.0895605 0.703312 1.42876
-0.227611 0.828968 1.71245
-0.277028 0.70999 1.85445
-0.306553 0.845081 2.21453
-0.253452 0.844139 2.40414
-0.162554 0.770168 2.55968
-1.41765 0.15001 2.76957
-1.2161 0.15001 -2.07796
-0.707606 0.15001 -2.19275
-0.230868 0.868256 1.30365
-0.388991 0.904316 1.57303
-0.192321 0.987027 1.84259
-0.2758 0.929849 2.02651
-0.148456 0.99078 2.30968
-0.459966 0.763364 2.65178
-0.278899 0.778874 2.70849
-1.21786 0.15001 2.8445
-0.736962 0.15001 -1.20639
-2.01541 0.15001 -2.37782
-1.95727 0.15001 -1.82888
-0.213781 0.85254 1.52872
-0.241145 1.03194 1.6571
-1.61501 0.15001 -0.650264
-1.55035 0.15001 0.771299
-0.265834 0.950684 2.59534
-1.7932 0.15001 1.85598
-1.89664 0.15001 2.35287
-1.32128 0.15001 -2.68465
-0.891729 0.15001 -1.35074
-1.8141 0.15001 -1.53407
-1.42943 0.15001 -1.51878
-1.22854 0.15001 0.749229
-2.00181 0.15001 1.54028
-1.56773 0.15001 1.23458
-1.76787 0.15001 0.844995
-1.49163 0.15001 0.30989
-1.5979 0.15001 2.488
-1.01129 0.15001 -2.01954
0.125455 0.164973 1.04693
-0.0149414 0.172389 1.25583
-0.0744264 0.167168 1.64347
-0.0098027 0.168982 1.83135
0.067206 0.163141 2.03157
-0.0790488 0.263814 2.12897
-0.147801 0.15001 2.28068
-0.124896 0.15001 2.53521
-0.0388823 0.159862 2.69851
-1.06273 0.15001 -2.84999
-0.00359759 0.266247 0.900733
-0.0704926 0.198861 1.07408
-0.0760176 0.156146 1.43718
0.11963 0.19857 1.69034
-0.116244 0.15001 1.98705
0.0325332 0.15001 2.22713
-0.196723 0.280501 2.41903
-0.237029 0.157106 2.68958
0.258592 0.164289 2.84999
-0.590502 0.15001 -1.62486
0.0413825 0.36781 1.07403
0.0659352 0.309539 1.37464
-0.0238738 0.351658 1.57209
-0.0829836 0.336626 1.75946
-0.0335117 0.336117 1.95169
-0.0322727 0.433787 2.17856
0.0726844 0.358882 2.31712
0.0316287 0.354624 2.50077
0.00776367 0.356141 2.68556
-1.14168 0.15001 -2.68033
0.0596578 0.465659 0.896797
0.0784408 0.455619 1.23906
0.000131079 0.491548 1.41155
0.0830207 0.482348 1.67195
-0.0598402 0.626108 1.9764
0.136776 0.512757 2.19949
-0.113621 0.452933 2.42876
-0.161516 0.485854 2.68624
0.0579364 0.178079 2.84999
-0.884702 0.15001 -2.20968
0.036417 0.594026 1.08511
0.223139 0.495262 1.36145
-0.0363047 0.58948 1.57263
-0.00829951 0.508586 1.83664
0.0642562 0.484376 2.02339
-0.145104 0.472147 2.03837
0.00588882 0.53854 2.32486
-0.0175038 0.523788 2.57544
0.090132 0.354613 2.84999
-1.41536 0.15001 -2.84999
0.131738 0.666056 0.911635
0.0228832 0.642202 1.28571
0.117835 0.641953 1.46553
0.0894345 0.672253 1.6923
0.0537984 0.726716 1.86983
-0.00951775 0.636635 2.16133
-0.068895 0.66619 2.42839
-0.113011 0.666387 2.70581
0.193975 0.500624 2.84999
-0.803345 0.15001 -1.80705
0.0857447 0.785893 1.10792
0.167337 0.781073 1.31343
-0.0465317 0.781563 1.60666
-0.0572009 0.851708 1.78395
0.0226796 0.785324 2.04607
0.0174977 0.808021 2.24584
0.125786 0.677519 2.31232
0.0280263 0.704288 2.57798
-0.162206 0.836278 2.84999
-0.840138 0.15001 -2.41687
-0.228118 0.15001 -2.26587
-0.00672377 0.840389 1.25857
0.0892308 0.83332 1.48095
0.184522 0.942282 1.60303
-0.138348 0.794482 1.93957
0.182675 0.798434 2.16112
0.0524502 0.810748 2.43356
-0.0668661 0.908734 2.69425
-0.229102 0.449326 2.84999
-0.349603 0.15001 -0.678916
0.296519 0.15001 -0.285626
-1.79821 0.15001 -1.71796
-0.0754713 0.883767 1.4188
-0.056502 0.983906 1.59099
0.0784597 0.933732 1.9189
-0.129766 0.877641 2.15319
0.205595 0.864825 2.34354
0.0899511 0.996679 2.60617
-1.43705 0.15001 1.90806
-0.758702 0.15001 -1.52824
-0.668406 0.15001 -2.45959
0.0893627 0.15001 -1.66885
-2.01065 0.15001 -1.257
0.0648289 0.970596 1.73525
-0.0828748 0.955081 1.99758
0.0690875 0.941743 2.12854
-0.0902599 0.911236 2.47861
-1.05827 0.15001 2.06332
-0.945673 0.15001 2.22524
0.10791 0.15001 -1.20451
0.330894 0.217942 1.14533
0.23615 0.155531 1.37425
0.272378 0.180579 1.56315
0.170705 0.156913 1.86974
0.266099 0.15001 2.02756
0.2098 0.156326 2.2007
0.165435 0.167568 2.37993
0.245327 0.193404 2.54758
0.35443 0.15001 2.68847
-1.02779 0.15001 -2.44149
0.176773 0.204796 0.830164
0.160044 0.250263 1.22038
0.0935768 0.17348 1.5079
0.30609 0.153574 1.74514
0.174835 0.32425 1.96908
0.384804 0.15001 2.23169
-0.0184828 0.212847 2.3938
0.0649583 0.150078 2.54366
0.440896 0.202902 2.84999
-0.963409 0.15001 -2.63215
0.214807 0.333985 0.984329
0.33652 0.319541 1.3319
0.334234 0.361026 1.51606
0.0995439 0.350003 1.80541
0.255163 0.447549 2.0807
0.115827 0.316766 2.14197
0.26542 0.341616 2.25885
0.362884 0.33842 2.54411
0.157217 0.15001 2.70103
-0.891549 0.15001 -2.80978
-0.105095 0.15001 -2.61283
0.260397 0.414793 1.18107
0.149609 0.405594 1.51311
0.237111 0.357614 1.67701
0.16268 0.576693 1.88658
0.40397 0.457994 2.19283
0.21544 0.354741 2.43564
0.173186 0.424592 2.59853
0.356713 0.405082 2.84999
0.262014 0.469461 0.836737
0.2132 0.52791 1.03185
0.414503 0.506717 1.38539
0.277127 0.55284 1.5367
0.249386 0.565559 1.71945
0.322798 0.589311 1.98862
0.157766 0.64599 2.06049
0.249749 0.52075 2.34198
0.334886 0.538495 2.50804
0.232073 0.324765 2.74295
-0.373956 0.15001 -1.93849
0.367728 0.61457 0.939333
0.200401 0.618541 1.21423
0.306004 0.697781 1.41647
0.393945 0.669642 1.65817
0.203313 0.804666 1.95993
0.281823 0.645077 2.20369
0.134296 0.576134 2.47708
0.120433 0.57519 2.69015
0.343018 0.593513 2.84999
-0.59122 0.15001 -1.82243
0.262662 0.733532 1.06096
0.445422 0.711477 1.2886
0.230994 0.749509 1.58801
0.176938 0.826853 1.7688
0.313719 0.702791 1.835
0.344446 0.771683 2.07262
0.284796 0.705885 2.39898
0.413537 0.724919 2.52467
0.196394 0.704648 2.84999
-0.768569 0.15001 -2.65547
-0.207768 0.15001 -2.05652
0.320119 0.854702 1.21741
0.26174 0.908719 1.43188
0.347242 0.853924 1.69961
0.222025 1.01627 2.02628
0.37817 0.80858 2.25651
0.204644 0.856451 2.53321
0.242825 0.672523 2.59442
-0.0536372 0.460014 2.84999
-0.415617 0.15001 -2.66956
-0.39285 0.15001 -1.71724
0.439004 0.941078 1.35368
0.351509 1.03283 1.58595
0.230887 1.01634 1.83201
0.413477 0.981199 2.08275
0.274581 0.949191 2.19825
0.26443 1.03654 2.4243
0.124103 0.773021 2.70619
-1.00527 0.15001 2.7897
-0.113239 0.15001 -1.5895
1.42348 0.15001 -2.01063
-1.98204 0.15001 -1.63655
-0.0481188 0.15001 -1.91377
1.07296 0.15001 -0.827864
0.685006 0.86329 2.07277
0.386663 0.900978 2.53272
0.0442907 0.965093 2.33473
-0.57275 0.459755 2.84999
-0.00451781 0.750235 2.84999
-0.720865 0.15001 -2.84999
0.114841 0.15001 -0.222065
0.507151 0.210113 1.07214
0.424398 0.167177 1.44341
0.479178 0.151185 1.81969
0.472853 0.161695 2.0102
0.360656 0.29089 2.1056
0.526115 0.152221 2.36045
0.474775 0.172055 2.53474
0.541471 0.15001 2.699
-0.478139 0.15001 -2.48603
0.547672 0.238176 0.886917
0.48933 0.21115 1.26889
0.449121 0.206944 1.63154
0.552758 0.347551 1.86505
0.345076 0.263679 1.90035
0.553544 0.173317 2.18271
0.351205 0.211942 2.3996
0.641482 0.431529 2.70534
0.633007 0.177786 2.84999
-0.591371 0.15001 -2.63819
0.0918086 0.15001 -2.6604
0.453557 0.420984 1.21552
0.515644 0.35387 1.47353
0.412347 0.354488 1.74374
0.41323 0.423352 1.97649
0.538357 0.348906 2.09183
0.536088 0.337492 2.27842
0.548305 0.341776 2.46175
0.44021 0.323618 2.7061
0.554359 0.300579 0.701412
0.355003 0.195027 0.942946
0.614709 0.397655 1.31684
0.440387 0.49027 1.61311
0.586769 0.376449 1.6649
0.277188 0.435536 1.85046
0.582642 0.514642 2.21303
0.401328 0.419411 2.37881
0.49347 0.461907 2.59146
0.552038 0.356984 2.84999
-0.545041 0.15001 -2.84811
0.394648 0.407078 1.02973
0.593734 0.591782 1.34854
0.614164 0.509387 1.52368
0.448478 0.542684 1.82427
0.573494 0.514234 1.99501
0.456269 0.628396 2.13079
0.660257 0.531232 2.38014
0.517621 0.58972 2.47012
0.485661 0.505739 2.7658
0.465264 0.424082 0.844908
0.54933 0.54869 0.983376
0.37528 0.585291 1.14482
0.480922 0.649323 1.49316
0.57961 0.601385 1.6939
0.635308 0.64074 1.87221
0.640627 0.671031 2.07806
0.424271 0.604533 2.31671
0.310027 0.505266 2.69042
0.659563 0.530465 2.84999
-0.564464 0.15001 -2.30228
-0.284662 0.15001 -2.49492
0.56515 0.619348 1.16204
0.58242 0.772123 1.59917
0.492247 0.764076 1.78317
0.470055 0.685419 1.95603
0.577396 0.703845 2.26458
0.647932 0.719341 2.45316
0.592979 0.624907 2.64106
0.512062 0.656332 2.84999
-0.768686 0.15001 -2.01581
0.455211 0.767885 1.08343
0.575283 0.803616 1.4082
0.415639 0.833923 1.52439
0.732457 0.98786 1.65123
0.378162 0.865826 1.91595
0.516375 0.81833 2.12147
0.500785 0.828029 2.39275
0.414198 0.662004 2.69185
0.679313 0.709538 2.84999
-0.464315 0.15001 -2.12038
0.591631 0.15001 -2.07704
0.587312 0.838505 1.21451
0.558865 0.987047 1.50991
0.557729 0.932924 1.69796
0.595208 0.806552 1.93019
0.540887 0.961563 2.25935
0.625583 0.990406 2.46446
0.541334 0.789533 2.74092
0.373329 0.771716 2.84999
-0.105198 0.15001 -2.40518
-0.402722 0.15001 -1.49216
-0.224687 0.15001 -1.81721
-0.519601 0.15001 -1.03062
0.417501 0.993921 1.79528
0.54036 0.972531 1.94703
0.790031 0.774857 2.18742
0.310107 0.812406 2.68668
0.0492177 0.58918 2.84999
1.06119 0.844174 2.84999
0.145415 0.15001 -2.84999
0.661629 0.182707 1.17725
0.662557 0.157096 1.358
0.60132 0.19206 1.52358
0.626103 0.185122 1.70258
0.657834 0.184281 1.87705
0.821023 0.170425 2.14721
0.705352 0.160802 2.29269
0.647139 0.284839 2.60428
0.728884 0.15001 2.69979
0.500619 0.15001 -2.73032
-0.0379642 0.15001 -2.8336
0.848953 0.191714 1.13994
0.968019 0.15001 1.28583
0.952479 0.310441 1.74315
0.667945 0.172141 2.05168
0.970876 0.150006 2.24505
0.667594 0.150669 2.4781
0.926107 0.21968 2.69894
0.832119 0.155617 2.84999
0.742152 0.20796 0.80895
0.71014 0.22619 1.00032
0.780145 0.306994 1.28782
0.842597 0.179727 1.4247
0.778648 0.163658 1.59667
0.819801 0.158372 1.77918
0.701687 0.329441 2.18324
0.864586 0.198552 2.38679
0.833258 0.15001 2.55611
0.739122 0.335062 2.84999
-0.371362 0.15001 -2.84999
0.279207 0.15001 -2.66932
0.804928 0.385624 1.08924
0.727762 0.346332 1.51326
0.767278 0.336803 1.70553
0.692503 0.361647 1.98954
0.871741 0.336336 2.26231
0.716972 0.34709 2.37672
0.868504 0.354509 2.49891
0.821684 0.381612 2.68169
-0.389929 0.15001 -2.33421
0.611043 0.384662 1.11318
0.766293 0.50225 1.39618
0.758629 0.551518 1.64336
0.686729 0.474828 1.81045
0.840416 0.379801 1.88121
0.741937 0.507408 2.11814
0.851593 0.505132 2.37464
0.709425 0.459644 2.53922
0.849558 0.484606 2.84999
0.341167 0.15001 -2.84999
0.682886 0.411515 0.929376
0.732932 0.532881 1.20547
0.705099 0.676084 1.48814
0.80874 0.66527 1.78978
0.79385 0.565381 1.94942
0.760578 0.624534 2.26774
0.792746 0.632181 2.52341
0.767974 0.573474 2.69776
0.956287 0.571701 2.70694
-0.211631 0.15001 -2.7823
0.86994 0.513095 0.938371
0.731966 0.727634 1.30101
0.802185 0.7774 1.62286
0.675702 0.786343 1.75647
0.958855 0.727313 1.92869
0.893519 0.666514 2.09409
0.839409 0.769289 2.40295
0.904658 0.747254 2.64519
0.847328 0.660108 2.84999
1.46593 0.15001 -2.61586
0.698421 0.451108 0.735808
0.725433 0.721371 1.09967
0.740809 0.892196 1.47405
0.881636 0.892814 1.79168
0.780282 0.768675 1.95249
0.686344 0.845506 2.3274
0.769821 0.879377 2.54268
0.567726 0.84216 2.57111
0.719519 0.761885 2.6763
