1000 0.1
-2.7885 0.150335 -2.80041
-2.6619 0.150334 -2.70926
-2.7885 0.150335 -2.80041
-2.7885 0.150335 -2.80041
-2.7885 0.150335 -2.80041
-2.71909 0.150334 -2.68674
-2.7885 0.150335 -2.80041
-2.71909 0.150334 -2.68674
-2.74112 0.150335 -2.72402
-2.7517 0.150302 -2.71735
-2.39884 0.150335 -2.34201
-2.37859 0.150335 -2.34386
-2.47289 0.150335 -2.3149
-2.37826 0.150335 -2.3439
-2.47289 0.150335 -2.3149
-2.38479 0.150335 -2.34337
-2.72948 0.150299 -1.92415
-2.46555 0.150335 -2.32918
-2.46871 0.150335 -2.32798
-2.45117 0.150335 -2.3311
-2.46862 0.150335 -2.32804
-2.45117 0.150335 -2.3311
-2.4391 0.150335 -2.33105
-2.82915 0.150336 0.180266
-2.74952 0.1504 -1.81608
-2.73689 0.150297 -1.90013
-2.79056 0.150335 -0.93756
-2.73683 0.150297 -1.90038
-2.79056 0.150335 -0.937556
-2.71087 0.15029 -2.00631
-2.77335 0.150297 1.98864
-2.84152 0.150323 0.2194
-2.84997 0.150336 -0.0932688
-2.84991 0.150336 -0.100982
-2.84992 0.150336 -0.0988969
-2.84991 0.150336 -0.100982
-2.73927 0.150294 -1.88831
-2.74981 0.150293 2.26403
-2.85046 0.201224 -0.0209373
-2.83292 0.163433 0.732974
-2.73711 0.150282 2.239
-2.83295 0.163493 0.7337
-2.73711 0.150282 2.239
-2.83255 0.161114 0.710485
-2.79754 0.150255 1.70501
-2.77682 0.1503 1.97802
-2.74981 0.150293 2.26403
-2.7498 0.150293 2.26403
-2.74981 0.150293 2.26403
-2.7498 0.150293 2.26403
-2.83819 0.193673 0.0844736
-2.85041 0.173703 0.339967
-2.78934 0.150336 1.94217
-2.72716 0.150286 2.21273
-2.80536 0.150313 1.748
-2.72745 0.150286 2.2138
-2.80536 0.150313 1.748
-2.7316 0.150336 2.13116
-2.74983 0.150293 2.26406
-2.72618 0.150302 2.15418
-2.73629 0.150336 2.11429
-2.74981 0.150293 2.26403
-2.73626 0.150336 2.11439
-2.74981 0.150293 2.26403
-2.81289 0.150342 1.87994
-2.74982 0.150293 2.26406
-2.74779 0.150291 2.26023
-2.74982 0.150293 2.26406
-2.74983 0.150293 2.26407
-2.74982 0.150293 2.26406
-2.7885 0.150335 -2.80041
-2.71234 0.150335 -2.74052
-2.7885 0.150335 -2.80041
-2.7885 0.150335 -2.80041
-2.7885 0.150335 -2.80041
-2.74303 0.150298 -2.72398
-2.7885 0.150335 -2.80041
-2.74303 0.150298 -2.72398
-2.75056 0.150299 -2.72333
-2.73367 0.150335 -2.72863
-2.75553 0.150335 -2.71149
-2.39884 0.150335 -2.34201
-2.40215 0.150335 -2.34175
-2.51129 0.150292 -2.30652
-2.40215 0.150335 -2.34175
-2.78138 0.150335 -2.63573
-2.74665 0.149811 -1.83843
-2.48046 0.150335 -2.32096
-2.46555 0.150335 -2.32918
-2.7391 0.150299 -2.236
-2.4588 0.150335 -2.3304
-2.7391 0.150299 -2.236
-2.46692 0.150335 -2.32883
-2.76557 0.150213 1.5186
-2.8512 0.150335 -0.357133
-2.74952 0.1504 -1.81608
-2.82486 0.150332 0.0893522
-2.75046 0.150335 -1.01621
-2.82486 0.150332 0.0893716
-2.52713 0.150299 -2.256
-2.74981 0.150293 2.26403
-2.83609 0.167746 0.801025
-2.84152 0.150323 0.2194
-2.83516 0.193134 0.104344
-2.83585 0.151048 0.570265
-2.83516 0.193134 0.104344
-2.78506 0.154607 -1.37371
-2.7498 0.150293 2.26402
-2.75893 0.150311 1.42195
-2.85046 0.201224 -0.0209373
-2.76917 0.150217 1.55809
-2.81411 0.150343 1.87345
-2.76917 0.150217 1.55809
-2.76262 0.15025 1.47892
-2.74803 0.150292 2.26072
-2.77489 0.150211 1.59173
-2.77682 0.1503 1.97802
-2.74251 0.150336 2.09415
-2.79879 0.150264 1.71194
-2.74251 0.150336 2.09415
-2.80967 0.150336 1.76947
-2.81593 0.150347 1.85472
-2.75948 0.150298 1.43486
-2.78934 0.150336 1.94217
-2.81645 0.150348 1.8407
-2.76783 0.150217 1.54762
-2.81645 0.150348 1.8407
-2.81133 0.150339 1.88694
-2.74981 0.150293 2.26403
-2.74982 0.150293 2.26405
-2.72618 0.150302 2.15418
-2.74981 0.150293 2.26403
-2.74983 0.150293 2.26406
-2.74981 0.150293 2.26403
-2.81419 0.150343 1.87292
-2.7418 0.150286 2.24852
-2.74981 0.150293 2.26403
-2.74779 0.150291 2.26023
-2.74981 0.150293 2.26403
-2.7498 0.150293 2.26402
-2.7885 0.150335 -2.80041
-2.77355 0.150302 -2.77634
-2.7885 0.150335 -2.80041
-2.7885 0.150335 -2.80041
-2.7885 0.150335 -2.80041
-2.73514 0.150335 -2.73205
-2.7885 0.150335 -2.80041
-2.73514 0.150335 -2.73205
-2.3356 0.150336 -2.34344
-2.73391 0.150335 -2.72957
-2.71199 0.150334 -2.6799
-2.75553 0.150335 -2.71149
-2.42679 0.150335 -2.33498
-2.75199 0.150302 -2.71785
-2.42679 0.150335 -2.33498
-2.4292 0.150335 -2.33495
-2.73042 0.150298 -1.92007
-2.46417 0.150335 -2.32908
-2.48046 0.150335 -2.32096
-2.72526 0.150299 -1.93947
-2.48058 0.150335 -2.32086
-2.72526 0.150299 -1.93947
-2.5309 0.150302 -2.24902
-2.74981 0.150293 2.26403
-2.85124 0.150315 -0.68538
