6000000 0.05
-1.15772 0.150335 -2.55324
-1.11747 0.150335 -2.34586
-1.15772 0.150335 -2.55324
-1.15772 0.150335 -2.55324
-1.15772 0.150335 -2.55324
-1.17303 0.150335 -2.27411
-1.15772 0.150335 -2.55324
-1.17303 0.150335 -2.27411
-1.17097 0.150335 -2.35547
-1.1742 0.150335 -2.36194
-1.08638 0.150262 1.50489
-0.967026 0.15028 1.6505
-0.844617 0.150321 1.00188
-0.967736 0.150279 1.64983
-0.844606 0.150321 1.00185
-1.02876 0.150264 1.58757
-0.493556 0.150297 -1.05736
-0.811318 0.150293 0.0337686
-0.833521 0.150328 -0.0657974
-0.780292 0.150313 1.69932
-0.834134 0.150328 -0.0628323
-0.780292 0.150313 1.69932
-0.743418 0.150287 1.66162
-0.578713 0.150301 -0.918262
-1.2886 0.1503 -2.18525
-0.502344 0.150304 -1.08822
-1.51474 0.150335 -2.6902
-0.50223 0.150304 -1.08454
-1.51475 0.150335 -2.69021
-0.859484 0.15033 -1.61261
-2.61367 0.150335 -2.3114
-1.05135 0.150335 -1.90854
-1.31614 0.150335 -2.01048
-1.29541 0.150335 -1.99421
-1.2982 0.150335 -1.99609
-1.29541 0.150335 -1.99421
-0.552673 0.150336 -1.28223
-2.75835 0.150335 -1.67146
-1.28508 0.150335 -1.98548
-0.647388 0.150326 -1.06476
-2.75597 0.150335 -1.67847
-0.647531 0.150326 -1.06363
-2.75597 0.150335 -1.67847
-0.63779 0.150331 -1.11263
-2.26416 0.150334 -2.57189
-2.58776 0.150335 -2.33128
-2.75835 0.150335 -1.67146
-2.75835 0.150335 -1.67146
-2.75835 0.150335 -1.67146
-2.75835 0.150335 -1.67146
-0.568532 0.150305 -1.18751
-1.50955 0.150335 -2.47211
-2.5728 0.150335 -2.39373
-2.75445 0.150335 -1.68745
-2.45367 0.150334 -2.55575
-2.75449 0.150335 -1.68704
-2.45367 0.150334 -2.55575
-2.76127 0.150335 -1.78427
-2.75835 0.150335 -1.67145
-2.74701 0.150335 -1.72502
-2.77484 0.150335 -1.82623
-2.75835 0.150335 -1.67146
-2.77483 0.150335 -1.82594
-2.75835 0.150335 -1.67146
-2.55563 0.150335 -2.43501
-2.75835 0.150335 -1.67145
-2.75786 0.150335 -1.67255
-2.75835 0.150335 -1.67145
-2.75835 0.150335 -1.67145
-2.75835 0.150335 -1.67145
-1.15772 0.150335 -2.55324
-1.15871 0.150335 -2.34716
-1.15772 0.150335 -2.55324
-1.15772 0.150335 -2.55324
-1.15772 0.150335 -2.55324
-1.17115 0.150335 -2.35852
-1.15772 0.150335 -2.55324
-1.17115 0.150335 -2.35852
-1.17217 0.150335 -2.3658
-1.16841 0.150335 -2.35186
-1.17579 0.150335 -2.36269
-1.08638 0.150262 1.50489
-1.46914 0.150273 1.44569
-0.480644 0.150332 -0.225829
-1.46914 0.150273 1.44569
-1.17716 0.150335 -2.42448
-1.21469 0.150335 -2.04414
-0.793613 0.150289 -0.241572
-0.811318 0.150293 0.0337686
-0.933861 0.150336 -1.8852
-0.805388 0.150291 0.759951
-0.933861 0.150336 -1.8852
-0.841398 0.150318 -0.0105392
-2.01797 0.150334 -2.535
-1.27932 0.150335 -1.99268
-1.2886 0.1503 -2.18525
-0.580009 0.15033 -1.12347
-1.41264 0.150302 -2.58412
-0.581891 0.150332 -1.11833
-0.774225 0.150292 1.4901
-2.75835 0.150335 -1.67146
-0.64708 0.150336 -1.1689
-1.05135 0.150335 -1.90854
-0.600308 0.150336 -1.01574
-0.617332 0.150335 -1.10766
-0.600308 0.150336 -1.01574
-1.31395 0.150335 -2.52792
-2.75835 0.150335 -1.67146
-2.01467 0.150334 -2.5433
-1.28508 0.150335 -1.98548
-2.0388 0.150334 -2.54778
-2.54452 0.150335 -2.43627
-2.0388 0.150334 -2.54778
-2.04128 0.150334 -2.5642
-2.75792 0.150335 -1.67241
-2.11096 0.150334 -2.5929
-2.58776 0.150335 -2.33128
-2.76495 0.150335 -1.89011
-2.33436 0.150334 -2.64039
-2.76495 0.150335 -1.89011
-2.46384 0.150334 -2.51244
-2.51178 0.150335 -2.43841
-2.02569 0.150334 -2.55421
-2.5728 0.150335 -2.39373
-2.49122 0.150335 -2.44042
-2.02787 0.150334 -2.53978
-2.49122 0.150335 -2.44042
-2.56646 0.150335 -2.43309
-2.75835 0.150335 -1.67146
-2.75835 0.150335 -1.67145
-2.74701 0.150335 -1.72502
-2.75835 0.150335 -1.67146
-2.75835 0.150335 -1.67145
-2.75835 0.150335 -1.67146
-2.54345 0.150335 -2.43627
-2.7567 0.150335 -1.67596
-2.75835 0.150335 -1.67146
-2.75786 0.150335 -1.67255
-2.75835 0.150335 -1.67146
-2.75835 0.150335 -1.67146
-1.15772 0.150335 -2.55324
-1.15594 0.150335 -2.49344
-1.15772 0.150335 -2.55325
-1.15772 0.150335 -2.55324
-1.15772 0.150335 -2.55324
-1.16712 0.150335 -2.35784
-1.15772 0.150335 -2.55324
-1.16712 0.150335 -2.35784
1.60265 0.150279 0.62103
-1.16793 0.150335 -2.35352
