1000 0.1
-1.50652 0.15001 -1.5597
-1.99339 0.15001 -0.606744
-2.24335 0.15001 -0.182299
-1.93029 0.15001 0.00228573
-2.23162 0.15001 0.23697
-1.70307 0.15001 0.40691
-2.54381 0.15001 0.551411
-1.84148 0.15001 1.14976
-1.97531 0.15001 1.67654
-1.67864 0.15001 2.25598
-1.21005 0.15001 -1.72087
-1.96367 0.15001 -1.03338
-2.09425 0.15001 -0.809358
-2.41264 0.15001 -0.100153
-2.80562 0.15001 -0.108858
-2.76811 0.15001 0.159875
-2.7389 0.15001 0.837987
-2.32329 0.15001 1.23738
-2.28987 0.15001 1.46936
-0.987732 0.15001 2.841
-1.53779 0.15001 -1.31953
-1.89954 0.15001 -0.852282
-1.97547 0.15001 -0.255445
-1.76324 0.15001 -0.0846726
-2.00957 0.181997 0.196532
-2.05206 0.15001 0.545225
-1.69219 0.15001 0.64039
-1.90014 0.15001 0.97266
-1.4709 0.15001 1.02807
-2.17917 0.15001 1.73886
-1.16056 0.15217 -2.15041
-1.88404 0.304193 -0.767484
-2.39781 0.15001 -0.428019
-2.28405 0.257652 -0.0294136
-2.14622 0.15001 0.0556586
-2.7238 0.150466 0.37325
-2.49927 0.15001 0.265261
-2.43773 0.152901 0.774981
-2.45477 0.15294 1.00033
-1.22246 0.15001 2.818
-1.62416 0.15001 -0.87955
-0.825189 0.15001 -0.092398
-1.52799 0.15001 -0.376518
-1.6443 0.156965 0.174963
-1.47357 0.15001 0.0592324
-1.00617 0.15001 0.488996
-2.14463 0.15001 0.715823
-1.68046 0.15001 1.01084
-1.29591 0.15001 1.13616
-1.79058 0.15001 1.84654
-1.04404 0.15001 -1.87757
-1.87147 0.154714 -0.414391
-2.17955 0.162281 -0.401522
-2.08252 0.205511 -0.107456
-2.36519 0.168181 0.102984
-2.28026 0.15001 0.468558
-1.88345 0.227385 0.473225
-2.253 0.150167 1.04127
-2.02769 0.154126 1.22745
-1.10498 0.15001 2.58734
-1.31706 0.15001 -1.55401
-1.48881 0.15001 -0.631257
-1.71014 0.15001 -0.262249
-0.828005 0.15001 0.0918861
-1.88105 0.15001 0.317653
-0.618458 0.282556 0.570387
-1.05908 0.15001 0.966921
-1.89821 0.166066 0.777084
-0.571715 0.15001 1.25536
-1.53758 0.15001 1.7957
-1.06613 0.15001 -1.61565
-1.78846 0.15001 -0.573038
-1.19006 0.15001 -0.369828
-1.09657 0.15001 0.0714944
-1.37427 0.151752 0.211616
-1.50658 0.15001 0.508418
-1.81612 0.281523 0.619516
-1.43568 0.252977 0.88833
-1.53543 0.164277 1.23824
-1.63353 0.159673 2.01879
-1.50409 0.152393 -1.14276
-0.626878 0.177079 -0.225171
-1.58642 0.15001 -0.134628
-0.702261 0.328803 -0.230623
-1.64103 0.283268 0.523241
-1.54247 0.15001 0.315086
-1.11655 0.153182 0.712417
-0.794935 0.182113 0.670512
-1.14758 0.166774 1.29178
-1.63901 0.15001 1.48146
-0.897402 0.15001 -1.14868
-1.31468 0.153172 -0.525524
-0.999267 0.166521 -0.344092
-1.43814 0.248484 -0.101835
-0.6794 0.310646 -0.0182526
-0.817525 0.228011 0.344973
-1.28609 0.151668 0.801518
-1.23771 0.291746 1.0383
-0.954748 0.15001 1.32019
-0.970336 0.171289 1.58103
-1.00493 0.15001 -2.06055
-0.511326 0.15001 -0.374809
-0.407401 0.15001 0.070897
-0.688784 0.15001 0.256264
-0.525454 0.15001 0.309234
-0.282521 0.15001 0.461403
-0.373379 0.15001 0.617505
-0.401549 0.15001 0.930097
-0.321527 0.15001 1.18955
-0.847488 0.15001 2.70613
-0.848839 0.15001 -2.1754
-1.67648 0.15001 -1.04723
-0.473653 0.15001 -0.1025
-0.578904 0.15001 0.0646741
-0.713839 0.15001 0.484431
-0.540046 0.15001 0.673497
-0.598854 0.15001 0.854961
-0.542916 0.15001 1.03271
-1.12977 0.15001 2.37613
-0.742538 0.15001 2.84966
-0.297044 0.15001 -2.81175
-0.371332 0.260158 -0.358195
-0.313972 0.238278 -0.0626751
-0.29825 0.270757 0.123536
-0.368624 0.276111 0.404049
-0.492911 0.15001 0.495044
-0.408099 0.210209 0.770253
-0.367002 0.316893 0.904344
-0.354292 0.249446 1.0632
-0.329911 0.340341 2.83026
-0.89607 0.15001 -1.77172
-0.438263 0.292484 -0.191242
-0.465512 0.303415 0.00508165
-0.46216 0.286738 0.189265
-0.536712 0.303599 0.367633
-0.447028 0.305335 0.561261
-0.501023 0.365693 0.796481
-0.518988 0.315955 0.992638
-1.80984 0.15001 1.56753
-0.578121 0.15001 2.84552
-0.326141 0.15001 -2.31011
-0.863438 0.15001 -1.56063
-0.345496 0.414664 -0.104915
-0.334986 0.426828 0.0734091
-0.436208 0.431419 0.287031
-0.346238 0.457893 0.429666
-0.340366 0.352682 0.699034
-0.253871 0.487621 0.893797
-0.314874 0.374887 1.18381
-0.711886 0.15001 2.60469
-0.733174 0.15677 -2.0544
-0.841073 0.15001 -0.410029
-0.48866 0.482058 -0.00593319
-0.438506 0.54074 0.155457
-0.531703 0.45827 0.446652
-0.429492 0.477128 0.596606
-1.5803 0.15001 0.835788
-0.806371 0.15001 0.919494
