1000 0.1
-0.499671 0.194335 -0.599667
-0.399591 0.194551 -0.499575
-0.599667 0.194335 -0.499671
-0.499575 0.294535 -0.499575
-0.499588 0.148497 -0.499588
-0.499576 0.19455 -0.399592
-0.499562 0.194564 -0.499562
-0.499576 0.19455 -0.399592
-0.399618 0.194517 -0.299645
-0.599694 0.19431 -0.299719
-0.49961 0.294508 -0.299645
-0.499618 0.14848 -0.299656
-0.499604 0.194522 -0.199686
-0.499595 0.194531 -0.299636
-0.499604 0.194522 -0.199686
-0.39963 0.194503 -0.0997458
-0.599706 0.194298 -0.0997991
-0.499622 0.294497 -0.0997452
-0.499632 0.148474 -0.0997547
-0.499614 0.194511 0.000205991
-0.499608 0.194515 -0.0997383
-0.499614 0.194511 0.000206006
-0.399636 0.194496 0.100148
-0.599713 0.194291 0.100117
-0.499629 0.29449 0.100148
-0.49964 0.14847 0.100143
-0.499619 0.194505 0.200097
-0.499616 0.194508 0.100153
-0.499619 0.194505 0.200097
-0.399642 0.194488 0.300041
-0.599719 0.194284 0.300033
-0.499637 0.294484 0.300042
-0.499648 0.148463 0.300039
-0.49963 0.194496 0.399985
-0.499625 0.194499 0.300043
-0.49963 0.194496 0.399985
-0.399651 0.194476 0.499928
-0.59973 0.194276 0.499946
-0.49965 0.294477 0.499928
-0.49966 0.148451 0.499933
-0.499646 0.194479 0.59987
-0.499638 0.194487 0.499927
-0.499646 0.194479 0.59987
-0.39966 0.194454 0.699816
-0.599745 0.194262 0.699858
-0.499671 0.294466 0.699816
-0.499678 0.148428 0.699825
-0.499671 0.194454 0.799756
-0.499657 0.194467 0.699812
-0.499671 0.194454 0.799756
-0.399671 0.194429 0.899706
-0.599764 0.194245 0.89977
-0.499696 0.294454 0.899706
-0.499701 0.148398 0.899717
-0.499695 0.19443 0.999644
-0.499683 0.194441 0.899698
-0.499695 0.19443 0.999644
-0.39968 0.194408 1.09962
-0.59978 0.194233 1.0997
-0.499718 0.294448 1.09962
-0.499719 0.14837 1.09963
-0.499711 0.194379 1.19965
-0.499703 0.194423 1.09961
-0.499711 0.194379 1.19965
-0.399672 0.194367 1.29971
-0.599778 0.194232 1.29976
-0.499714 0.294452 1.2997
-0.499717 0.148351 1.2997
-0.499774 0.194229 1.39977
-0.4997 0.194421 1.29968
-0.499696 0.394288 -0.599694
-0.399617 0.394482 -0.499608
-0.599694 0.394288 -0.499696
-0.499603 0.49444 -0.499603
-0.499575 0.294535 -0.499575
-0.499609 0.394481 -0.399618
-0.499593 0.394492 -0.499593
-0.499609 0.394481 -0.399618
-0.399647 0.394463 -0.299662
-0.599722 0.394271 -0.299734
-0.499633 0.494424 -0.299661
-0.49961 0.294508 -0.299645
-0.499633 0.394466 -0.199701
-0.499627 0.394472 -0.299655
-0.499633 0.394466 -0.199701
-0.399653 0.394458 -0.0997584
-0.599731 0.394266 -0.0998097
-0.499643 0.494418 -0.0997548
-0.499622 0.294497 -0.0997452
-0.499639 0.39446 0.000197254
-0.499637 0.394463 -0.0997507
-0.499639 0.39446 0.000197269
-0.399655 0.394455 0.10014
-0.599738 0.394261 0.10011
-0.499644 0.494416 0.100143
-0.499629 0.29449 0.100148
-0.499645 0.394456 0.200092
-0.499643 0.394459 0.100145
-0.499645 0.394456 0.200092
-0.399659 0.394455 0.300036
-0.599745 0.394259 0.300029
-0.499647 0.494415 0.300038
-0.499637 0.294484 0.300042
-0.499655 0.394454 0.399985
-0.499649 0.394457 0.300038
-0.499655 0.394454 0.399985
-0.399666 0.394453 0.499933
-0.599755 0.394257 0.499949
-0.499661 0.494413 0.49993
-0.49965 0.294477 0.499928
-0.499672 0.394451 0.599874
-0.499662 0.394455 0.499931
-0.499672 0.394451 0.599874
-0.399679 0.394449 0.699826
-0.59977 0.394257 0.699865
-0.499688 0.494411 0.699822
-0.499671 0.294466 0.699816
-0.499698 0.394451 0.799765
-0.499685 0.394451 0.69982
-0.499698 0.394451 0.799765
-0.399695 0.394447 0.899721
-0.599789 0.394258 0.899782
-0.49972 0.494412 0.899717
-0.499696 0.294454 0.899706
-0.499724 0.394455 0.99966
-0.499712 0.394452 0.899712
-0.499724 0.394455 0.99966
-0.399711 0.394419 1.09965
-0.599804 0.394265 1.09971
-0.499742 0.494421 1.09964
-0.499718 0.294448 1.09962
-0.499739 0.39443 1.19968
-0.499733 0.394461 1.09963
-0.499739 0.39443 1.19968
-0.399694 0.394428 1.29974
-0.599801 0.394276 1.29978
-0.499742 0.494435 1.29973
-0.499714 0.294452 1.2997
-0.499796 0.394275 1.39979
-0.499729 0.394472 1.29971
-0.499708 0.594207 -0.599707
-0.399629 0.59438 -0.499622
-0.599707 0.594207 -0.499708
-0.499614 0.694332 -0.499614
-0.499603 0.49444 -0.499603
-0.499622 0.59438 -0.39963
-0.49961 0.594388 -0.49961
-0.499622 0.59438 -0.39963
-0.399654 0.594366 -0.299669
-0.599732 0.594195 -0.299741
-0.49964 0.694323 -0.299667
-0.499633 0.494424 -0.299661
-0.499643 0.59437 -0.199708
-0.49964 0.594374 -0.299665
-0.499643 0.59437 -0.199708
-0.399656 0.59437 -0.0997579
-0.599743 0.59419 -0.0998142
-0.499645 0.694318 -0.0997569
-0.499643 0.494418 -0.0997548
-0.499644 0.594369 0.000195286
-0.499644 0.594371 -0.0997538
-0.499644 0.594369 0.000195301
-0.399648 0.59437 0.100145
-0.599741 0.594189 0.10011
-0.499639 0.694319 0.100144
-0.499644 0.494416 0.100143
-0.499642 0.594367 0.200092
-0.499642 0.594367 0.100146
-0.499642 0.594367 0.200092
-0.399644 0.594373 0.300039
-0.599744 0.594188 0.300029
-0.499639 0.694318 0.300037
-0.499647 0.494415 0.300038
-0.49965 0.594365 0.399983
-0.499644 0.594366 0.300038
-0.49965 0.594365 0.399983
-0.399653 0.59437 0.499927
-0.599755 0.594186 0.499947
-0.499656 0.694317 0.499925
-0.499661 0.494413 0.49993
-0.499672 0.594363 0.599874
-0.499659 0.594364 0.499928
-0.499672 0.594363 0.599874
-0.399675 0.594363 0.699819
-0.599778 0.594184 0.699866
-0.49969 0.694311 0.699818
-0.499688 0.494411 0.699822
-0.499708 0.59436 0.799769
-0.499689 0.59436 0.69982
-0.499708 0.59436 0.799769
-0.399701 0.594359 0.899721
-0.599805 0.594184 0.899788
-0.499729 0.694309 0.899719
-0.49972 0.494412 0.899717
-0.49974 0.594363 0.99967
-0.499724 0.594362 0.899717
-0.49974 0.594363 0.99967
-0.399718 0.594326 1.09965
-0.599818 0.594191 1.09972
-0.499756 0.694316 1.09965
-0.499742 0.494421 1.09964
-0.499755 0.594339 1.19969
-0.499751 0.594368 1.09964
-0.499755 0.594339 1.19969
-0.399707 0.594337 1.29975
-0.599818 0.594201 1.2998
-0.499758 0.694323 1.29974
-0.499742 0.494435 1.29973
-0.499811 0.594201 1.39981
-0.49975 0.59438 1.29973
-0.499715 0.794123 -0.599714
-0.399635 0.794273 -0.499629
-0.599714 0.794123 -0.499715
-0.499619 0.894223 -0.499619
-0.499614 0.694332 -0.499614
-0.49963 0.794275 -0.399636
-0.499617 0.794279 -0.499617
-0.49963 0.794275 -0.399636
-0.399657 0.794265 -0.29967
-0.599739 0.794115 -0.299745
-0.499646 0.894218 -0.299669
-0.49964 0.694323 -0.299667
-0.499644 0.794267 -0.19971
-0.499645 0.794271 -0.299669
-0.499644 0.794267 -0.19971
-0.399649 0.79427 -0.0997558
-0.599741 0.794112 -0.0998163
-0.499641 0.894215 -0.099757
-0.499645 0.694318 -0.0997569
-0.499639 0.794268 0.00019347
-0.499642 0.794267 -0.0997582
-0.499639 0.794268 0.000193485
-0.399632 0.794274 0.100149
-0.599738 0.794111 0.100108
-0.499632 0.894215 0.100145
-0.499639 0.694319 0.100144
-0.499632 0.794268 0.200091
-0.499636 0.794268 0.100144
-0.499632 0.794268 0.200091
-0.399621 0.794276 0.300038
-0.599738 0.794111 0.300027
-0.49963 0.894215 0.300034
-0.499639 0.694318 0.300037
-0.499641 0.794267 0.399979
-0.499634 0.794267 0.300035
-0.499641 0.794267 0.399979
-0.399632 0.794272 0.499921
-0.599754 0.79411 0.499943
-0.499651 0.894213 0.499921
-0.499656 0.694316 0.499925
-0.499669 0.794264 0.599867
-0.499653 0.794265 0.499922
-0.499669 0.794264 0.599867
-0.399662 0.794267 0.699812
-0.59978 0.794106 0.699863
-0.499689 0.894208 0.699814
-0.49969 0.694311 0.699818
-0.49971 0.794258 0.799766
-0.499689 0.794259 0.699815
-0.49971 0.794258 0.799766
-0.399703 0.79423 0.899729
-0.59981 0.794105 0.899788
-0.499734 0.894207 0.899719
-0.499729 0.694309 0.899719
-0.499748 0.794259 0.999672
-0.49973 0.794257 0.899718
-0.499748 0.794259 0.999672
-0.399722 0.794226 1.09966
-0.599831 0.79411 1.09973
-0.499769 0.894213 1.09965
-0.499756 0.694316 1.09965
-0.499766 0.794234 1.1997
-0.499764 0.794265 1.09965
-0.499766 0.794234 1.1997
-0.399715 0.794232 1.29976
-0.59983 0.794117 1.29981
-0.499769 0.894216 1.29976
-0.499758 0.694323 1.29974
-0.499822 0.794117 1.39982
-0.499763 0.794271 1.29975
-0.499721 0.994038 -0.59972
-0.399641 0.994167 -0.499636
-0.59972 0.994038 -0.499721
-0.49963 1.09411 -0.49963
-0.499619 0.894223 -0.499619
-0.499637 0.994167 -0.399642
-0.499625 0.994168 -0.499625
-0.499637 0.994167 -0.399642
-0.39966 0.994161 -0.29967
-0.599745 0.994033 -0.299746
-0.499656 1.09411 -0.299672
-0.499646 0.894218 -0.299669
-0.499648 0.994163 -0.199709
-0.499652 0.994163 -0.29967
-0.499648 0.994163 -0.199709
-0.399644 0.994164 -0.0997518
-0.599743 0.994032 -0.0998161
-0.49965 1.09411 -0.0997603
-0.499641 0.894215 -0.099757
-0.499638 0.994163 0.000194549
-0.499644 0.994163 -0.0997579
-0.499638 0.994163 0.000194564
-0.399621 0.994165 0.100151
-0.599738 0.994031 0.100108
-0.499641 1.0941 0.100142
-0.499632 0.894215 0.100145
-0.499629 0.99416 0.20009
-0.499634 0.994161 0.100143
-0.499629 0.99416 0.20009
-0.399605 0.994164 0.300038
-0.599739 0.994028 0.300025
-0.499639 1.0941 0.300033
-0.49963 0.894215 0.300034
-0.499639 0.994159 0.399977
-0.49963 0.994159 0.300033
-0.499639 0.994159 0.399977
-0.399618 0.994161 0.499917
-0.599756 0.994028 0.499943
-0.499662 1.0941 0.499921
-0.499651 0.894213 0.499921
-0.499672 0.994157 0.599867
-0.499653 0.994158 0.499922
-0.499672 0.994157 0.599867
-0.399654 0.99416 0.699808
-0.599785 0.994027 0.699864
-0.499703 1.0941 0.699817
-0.499689 0.894208 0.699814
-0.499717 0.994156 0.799767
-0.499694 0.994156 0.699816
-0.499717 0.994156 0.799767
-0.399699 0.994129 0.899724
-0.599818 0.994028 0.89979
-0.499747 1.09411 0.899723
-0.499734 0.894207 0.899719
-0.499759 0.99416 0.999673
-0.499739 0.994157 0.899721
-0.499759 0.99416 0.999673
-0.399724 0.99413 1.09966
-0.599843 0.994032 1.09973
-0.499782 1.09411 1.09966
-0.499769 0.894213 1.09965
-0.499776 0.994132 1.19971
-0.499776 0.994164 1.09965
-0.499776 0.994132 1.19971
-0.399723 0.994129 1.29977
-0.59984 0.994035 1.29982
-0.49978 1.09411 1.29977
-0.499769 0.894216 1.29976
-0.499831 0.994034 1.39983
-0.499777 0.994163 1.29976
-0.499731 1.19395 -0.599731
-0.39965 1.19405 -0.49965
-0.599731 1.19395 -0.499731
-0.499647 1.29399 -0.499647
-0.49963 1.09411 -0.49963
-0.49965 1.19405 -0.399651
-0.499639 1.19405 -0.499639
-0.49965 1.19405 -0.399651
-0.399667 1.19406 -0.299673
-0.599756 1.19395 -0.299749
-0.499673 1.294 -0.299676
-0.499656 1.09411 -0.299672
-0.499662 1.19406 -0.199713
-0.499665 1.19406 -0.299674
-0.499662 1.19406 -0.199713
-0.399653 1.19405 -0.0997561
-0.599756 1.19395 -0.0998196
-0.499672 1.294 -0.0997635
-0.49965 1.09411 -0.0997603
-0.499656 1.19405 0.000190438
-0.499659 1.19405 -0.0997624
-0.499656 1.19405 0.000190453
-0.399633 1.19405 0.100148
-0.599754 1.19394 0.100105
-0.499669 1.29399 0.100138
-0.499641 1.0941 0.100142
-0.499651 1.19405 0.200087
-0.499653 1.19405 0.100139
-0.499651 1.19405 0.200087
-0.399618 1.19404 0.300036
-0.599757 1.19394 0.300024
-0.499672 1.29399 0.30003
-0.499639 1.0941 0.300033
-0.499662 1.19405 0.399976
-0.499653 1.19405 0.300031
-0.499662 1.19405 0.399976
-0.399632 1.19404 0.499918
-0.599775 1.19394 0.499943
-0.499695 1.29399 0.499922
-0.499662 1.0941 0.499921
-0.499694 1.19405 0.599869
-0.499676 1.19405 0.499922
-0.499694 1.19405 0.599869
-0.399671 1.19402 0.699818
-0.599802 1.19395 0.699866
-0.499729 1.294 0.69982
-0.499703 1.0941 0.699817
-0.499735 1.19405 0.79977
-0.499715 1.19405 0.699819
-0.499735 1.19405 0.79977
-0.399705 1.19402 0.899727
-0.599831 1.19395 0.899793
-0.499766 1.29401 0.899727
-0.499747 1.09411 0.899723
-0.499772 1.19406 0.999678
-0.499755 1.19406 0.899725
-0.499772 1.19406 0.999678
-0.39973 1.19403 1.09966
-0.599852 1.19396 1.09974
-0.499792 1.29401 1.09966
-0.499782 1.09411 1.09966
-0.499782 1.19403 1.19971
-0.499788 1.19406 1.09966
-0.499782 1.19403 1.19971
-0.399725 1.19403 1.29978
-0.599846 1.19395 1.29983
-0.499786 1.29401 1.29978
-0.49978 1.09411 1.29977
-0.499836 1.19395 1.39984
-0.499784 1.19406 1.29977
-0.499745 1.39386 -0.599746
-0.39966 1.39394 -0.499671
-0.599746 1.39386 -0.499745
-0.499672 1.49388 -0.499672
-0.499647 1.29399 -0.499647
-0.499672 1.39394 -0.39966
-0.499658 1.39394 -0.499658
-0.499672 1.39394 -0.39966
-0.39968 1.39395 -0.299677
-0.599772 1.39387 -0.299749
-0.499698 1.49389 -0.299675
-0.499673 1.294 -0.299676
-0.499688 1.39395 -0.199716
-0.499687 1.39395 -0.299676
-0.499688 1.39395 -0.199716
-0.399675 1.39394 -0.0997628
-0.599779 1.39387 -0.099822
-0.499708 1.49389 -0.099765
-0.499672 1.294 -0.0997635
-0.499689 1.39394 0.000185657
-0.499688 1.39395 -0.0997658
-0.499689 1.39394 0.000185672
-0.399663 1.39394 0.100141
-0.599782 1.39386 0.100103
-0.49971 1.49389 0.100135
-0.499669 1.29399 0.100138
-0.499689 1.39394 0.200083
-0.499689 1.39394 0.100136
-0.499689 1.39394 0.200083
-0.399654 1.39393 0.300034
-0.599786 1.39386 0.300023
-0.499717 1.49389 0.300032
-0.499672 1.29399 0.30003
-0.499703 1.39394 0.399976
-0.499694 1.39394 0.300029
-0.499703 1.39394 0.399976
-0.399671 1.39391 0.499929
-0.599803 1.39386 0.499944
-0.499735 1.49389 0.499927
-0.499695 1.29399 0.499922
-0.499729 1.39394 0.599872
-0.499715 1.39394 0.499924
-0.499729 1.39394 0.599872
-0.399695 1.39392 0.699826
-0.599826 1.39387 0.699868
-0.499762 1.4939 0.699828
-0.499729 1.294 0.69982
-0.499763 1.39395 0.799776
-0.499745 1.39395 0.699823
-0.499763 1.39395 0.799776
-0.39972 1.39393 0.899735
-0.599848 1.39388 0.899797
-0.499789 1.49391 0.899734
-0.499766 1.29401 0.899727
-0.499789 1.39396 0.999684
-0.499777 1.39396 0.899731
-0.499789 1.39396 0.999684
-0.399734 1.39394 1.09967
-0.599859 1.39388 1.09974
-0.499801 1.49391 1.09966
-0.499792 1.29401 1.09966
-0.499788 1.39393 1.19972
-0.499798 1.39397 1.09966
-0.499788 1.39393 1.19972
-0.399725 1.39393 1.29979
-0.59985 1.39387 1.29983
-0.499792 1.4939 1.29978
-0.499786 1.29401 1.29978
-0.49984 1.39387 1.39984
-0.499789 1.39395 1.29978
-0.499762 1.59377 -0.599765
-0.399671 1.59383 -0.499696
-0.599765 1.59378 -0.499762
-0.499695 1.69377 -0.499695
-0.499672 1.49388 -0.499672
-0.499696 1.59383 -0.399672
-0.499684 1.59382 -0.499683
-0.499696 1.59383 -0.399672
-0.399695 1.59385 -0.299678
-0.599791 1.59379 -0.299748
-0.499724 1.69379 -0.299671
-0.499698 1.49389 -0.299675
