6000000 0.05
-2.78102 0.150335 -2.80536
-2.78102 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.73466 0.150334 -2.5391
-2.781 0.150335 -2.80536
-2.73466 0.150334 -2.5391
-2.62481 0.150334 -2.57557
-2.781 0.150335 -2.80536
-2.83256 0.157411 -1.89648
-2.73459 0.150334 -2.5364
-2.37871 0.150334 -2.4913
-2.73583 0.150334 -2.53766
-2.37869 0.150334 -2.49129
-2.53717 0.150334 -2.54525
-2.73352 0.150334 -2.53508
-2.56549 0.150334 -2.55895
-2.56703 0.150334 -2.5597
-2.5816 0.150334 -2.56792
-2.56688 0.150334 -2.55963
-2.5816 0.150334 -2.56792
-2.6746 0.150334 -2.45245
-2.83469 0.155421 -1.85677
-2.58788 0.150334 -2.56807
-2.5831 0.150334 -2.56702
-2.55244 0.150334 -2.55187
-2.5828 0.150334 -2.5669
-2.55244 0.150334 -2.55187
-2.84657 0.150329 0.66134
-2.3727 0.150334 -2.48926
-2.31128 0.150334 -2.46696
-2.20632 0.150331 -1.91802
-2.11005 0.150332 -2.10299
-2.20993 0.150332 -1.91262
-2.11005 0.150332 -2.10299
-2.80606 0.150361 1.06851
-2.80494 0.150335 1.96409
-2.8439 0.150332 0.650762
-2.8178 0.150282 0.111681
-2.76054 0.150352 1.27217
-2.81428 0.150276 0.136594
-2.76054 0.150352 1.27217
-2.79291 0.150335 2.50358
-2.53361 0.150335 2.57493
-2.73798 0.150335 2.54429
-2.79676 0.150335 2.29955
-2.72465 0.150335 2.55463
-2.79663 0.150335 2.29882
-2.72465 0.150335 2.55463
-2.53206 0.150335 2.57439
-2.51784 0.150335 2.57188
-2.5132 0.150335 2.56999
-2.52016 0.150335 2.56988
-2.5311 0.150335 2.57404
-2.52021 0.150335 2.56989
-2.5311 0.150335 2.57404
-2.76531 0.150297 2.74979
-2.76531 0.150297 2.74979
-2.76531 0.150297 2.74979
-2.76531 0.150297 2.74979
-2.76531 0.150297 2.74979
-2.76531 0.150297 2.74979
-2.781 0.150335 -2.80536
-2.78102 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
-2.781 0.150335 -2.80536
