1000 0.1
-0.480748 0.15001 1.07909
-0.531443 0.15001 1.27033
-0.47316 0.15001 1.45262
-0.461478 0.15001 1.63399
-0.46723 0.15001 1.82536
-0.433079 0.15001 1.99075
-0.467615 0.15001 2.16581
-0.525426 0.15001 2.3523
-0.522357 0.15001 2.54667
-0.542168 0.15001 2.73786
-0.417437 0.261871 0.954486
-0.529573 0.281599 1.17213
-0.42951 0.284549 1.36126
-0.488658 0.285384 1.55194
-0.603723 0.24734 1.79394
-0.547021 0.273915 2.0156
-0.570408 0.27298 2.21367
-0.411293 0.266803 2.4383
-0.474898 0.286677 2.62191
-0.438338 0.24343 2.84999
-0.477485 0.398952 1.06574
-0.545239 0.440228 1.24422
-0.563169 0.373077 1.42745
-0.479385 0.428921 1.62248
-0.46346 0.363328 1.83165
-0.468888 0.41742 2.00406
-0.547732 0.435744 2.17499
-0.559561 0.355942 2.37464
-0.578317 0.423497 2.56797
-0.53423 0.37571 2.76216
-0.408808 0.578453 1.03884
-0.517058 0.614449 1.2161
-0.509924 0.541086 1.44504
-0.456922 0.591501 1.59791
-0.491913 0.533301 1.77948
-0.482728 0.595819 1.97706
-0.416808 0.600022 2.17696
-0.436071 0.508757 2.35721
-0.504547 0.625801 2.54065
-0.429735 0.527348 2.76196
-0.436183 0.787514 1.06325
-0.530624 0.810906 1.24511
-0.457764 0.737742 1.43032
-0.551043 0.788233 1.6055
-0.507432 0.734666 1.83777
-0.45541 0.774348 2.01714
-0.556598 0.80122 2.21997
-0.52948 0.709029 2.38687
-0.536549 0.824568 2.56449
-0.521429 0.713272 2.74441
-0.428946 0.980751 1.01374
-0.526872 0.999415 1.18438
-0.377289 0.982116 1.36947
-0.458136 0.967211 1.56088
-0.426791 0.943376 1.75589
-0.383111 0.94144 1.95151
-0.480717 1.01376 2.15734
-0.422068 0.897531 2.36453
-0.465258 1.0153 2.56835
-0.463524 0.917261 2.75208
-0.482808 1.1653 1.05928
-0.530973 1.19864 1.24801
-0.526752 1.13034 1.44802
-0.488755 1.14689 1.63731
-0.545722 1.17846 1.81922
-0.539151 1.10469 1.99952
-0.486317 1.1912 2.2144
-0.533913 1.09302 2.39728
-0.553828 1.21326 2.57133
-0.532981 1.11519 2.75625
-0.436537 1.34551 1.02548
-0.439424 1.39581 1.2394
-0.571956 1.31431 1.42079
-0.411857 1.33141 1.60136
-0.442448 1.39432 1.79752
-0.42162 1.29057 1.9712
-0.454079 1.38054 2.14761
-0.532567 1.31273 2.33108
-0.446072 1.41442 2.55955
-0.450128 1.31991 2.75924
-0.516466 1.52377 1.02145
-0.553953 1.5929 1.21758
-0.582319 1.51263 1.42551
-0.540919 1.53901 1.61506
-0.570195 1.57422 1.81155
-0.57352 1.49648 2.00341
-0.558109 1.60385 2.20159
-0.572274 1.49818 2.39792
-0.556361 1.60527 2.59279
-0.55393 1.51374 2.80818
-0.486342 1.70784 1.05911
-0.441067 1.77516 1.24679
-0.475433 1.71046 1.44543
-0.425546 1.73542 1.62074
-0.470644 1.75942 1.80716
-0.458761 1.67524 1.98531
-0.463184 1.7881 2.16986
-0.465223 1.68168 2.38747
-0.46208 1.80461 2.6014
-0.472091 1.71836 2.79307
-0.269735 0.15001 1.04137
-0.34885 0.15001 1.24655
-0.249025 0.15001 1.40086
-0.277973 0.15001 1.63607
-0.294652 0.15001 1.81195
-0.238445 0.15001 1.9751
-0.282057 0.15001 2.15798
-0.27776 0.15001 2.34289
-0.325123 0.15001 2.55154
-0.346109 0.15001 2.72831
-0.207889 0.242208 0.918669
-0.358083 0.259321 1.12085
-0.262564 0.274809 1.30257
-0.32828 0.245593 1.50503
-0.394664 0.259769 1.72742
-0.348034 0.267011 2.05748
-0.384481 0.260141 2.26015
-0.230246 0.25969 2.47448
-0.293611 0.281544 2.64709
-0.244021 0.20583 2.84999
-0.290695 0.371723 1.01646
-0.38333 0.375387 1.23397
-0.238497 0.380281 1.46289
-0.294256 0.35011 1.63475
-0.292206 0.378898 1.82363
-0.211839 0.346604 1.98677
-0.313241 0.389281 2.17293
-0.241152 0.351326 2.33523
-0.380194 0.42134 2.61624
-0.321077 0.355503 2.80016
-0.230529 0.535807 1.00027
-0.307557 0.499815 1.1576
-0.261829 0.491233 1.34032
-0.248382 0.533981 1.52477
-0.309641 0.544575 1.69332
-0.308035 0.480729 2.02511
-0.253392 0.55946 2.29177
-0.27981 0.469297 2.44244
-0.326245 0.594385 2.64157
-0.233307 0.508062 2.82756
-0.267126 0.718884 0.976866
-0.355653 0.682307 1.17983
-0.276475 0.677002 1.34013
-0.36541 0.735467 1.57933
-0.320053 0.821715 1.83567
-0.293027 0.655729 1.99508
-0.378466 0.776284 2.17559
-0.325306 0.661887 2.47509
-0.342998 0.807341 2.69437
-0.314417 0.690497 2.84689
-0.241936 0.908105 1.01098
-0.342572 0.846269 1.25614
-0.199665 0.917236 1.45931
-0.291463 0.878693 1.66113
-0.223612 1.01892 1.83048
-0.207794 0.877589 1.9802
-0.295878 0.951429 2.14336
-0.238123 0.819562 2.35675
-0.270972 1.03671 2.67541
-0.263058 0.890362 2.84505
-0.266235 1.09737 0.982695
-0.366083 1.06673 1.15178
-0.338391 1.1635 1.30691
-0.348568 1.09802 1.49346
-0.356804 1.24841 1.73978
-0.352614 1.0908 2.05492
-0.317089 1.24692 2.28485
-0.331369 1.07015 2.48085
-0.370949 1.20877 2.65638
-0.325907 1.08775 2.84849
-0.238349 1.2816 1.05242
-0.250424 1.42872 1.20419
-0.214206 1.33247 1.40815
-0.2325 1.28052 1.58022
-0.245184 1.43819 1.75139
-0.234228 1.2483 2.01795
-0.240575 1.42701 2.21055
-0.234351 1.26943 2.43382
-0.245702 1.43861 2.61241
-0.242461 1.28283 2.78986
-0.308363 1.46328 0.965924
-0.368999 1.60818 1.14772
-0.361474 1.519 1.32444
-0.354149 1.59106 1.49639
-0.370566 1.59162 1.69353
-0.353477 1.48847 2.06347
-0.360205 1.61245 2.23336
-0.341561 1.43664 2.42675
-0.359648 1.65038 2.5838
-0.343952 1.45853 2.83541
-0.288556 1.66456 0.993513
-0.233456 1.78666 1.17615
-0.273025 1.68916 1.36442
-0.217966 1.75585 1.56825
-0.283768 1.82992 1.7823
