1000 0.1
-0.495253 0.185864 1.00555
-0.499183 0.189243 1.20516
-0.498093 0.181828 1.40394
-0.496431 0.189985 1.60246
-0.493276 0.185671 1.79963
-0.498617 0.182667 1.99875
-0.495478 0.188879 2.1979
-0.500125 0.17867 2.39713
-0.50051 0.1872 2.59644
-0.499872 0.179249 2.79564
-0.492336 0.382042 0.997966
-0.500764 0.389891 1.20027
-0.49155 0.38182 1.39834
-0.496594 0.389784 1.5997
-0.504032 0.389073 1.80164
-0.504867 0.386237 1.99913
-0.499776 0.389877 2.19892
-0.491409 0.381027 2.40188
-0.494995 0.388152 2.60016
-0.495462 0.379006 2.8021
-0.497878 0.581875 1.0038
-0.499775 0.587642 1.20779
-0.508446 0.582957 1.40092
-0.500287 0.58749 1.59787
-0.499081 0.577863 1.80122
-0.495021 0.584398 2.00138
-0.507183 0.584931 2.19871
-0.508001 0.577538 2.39708
-0.505995 0.588511 2.59909
-0.502354 0.57831 2.79732
-0.495139 0.782705 1.00647
-0.498458 0.789881 1.19955
-0.505264 0.779231 1.40374
-0.490634 0.785242 1.60598
-0.501361 0.774837 1.79706
-0.503172 0.786182 1.99857
-0.490743 0.784744 2.19991
-0.497436 0.776213 2.39639
-0.498971 0.790388 2.59348
-0.494955 0.778285 2.79612
-0.491224 0.982702 1.00616
-0.504488 0.988026 1.20518
-0.497531 0.978929 1.40278
-0.504657 0.98473 1.59945
-0.49934 0.979413 1.79945
-0.49261 0.985592 2.00306
-0.500204 0.985554 2.20239
-0.505979 0.974841 2.39874
-0.502885 0.990528 2.59567
-0.501403 0.976307 2.79483
-0.495333 1.18295 1.00223
-0.507199 1.18682 1.19937
-0.490513 1.18474 1.39817
-0.497225 1.18159 1.59432
-0.493721 1.17768 1.79726
-0.487959 1.18289 1.99655
-0.501577 1.18729 2.19669
-0.494975 1.17477 2.39857
-0.500085 1.18877 2.59784
-0.497631 1.17734 2.79822
-0.497254 1.38299 1.00633
-0.502343 1.38662 1.20462
-0.505883 1.3799 1.40519
-0.496697 1.37811 1.60749
-0.502782 1.38111 1.80325
-0.504011 1.37365 1.99618
-0.496304 1.38375 2.20536
-0.506278 1.37366 2.39896
-0.505298 1.3875 2.59346
-0.502022 1.37704 2.79555
-0.496401 1.57824 1.00048
-0.491387 1.58302 1.20601
-0.510368 1.57882 1.40082
-0.494177 1.57747 1.60194
-0.498828 1.58529 1.80215
-0.494409 1.57746 1.99692
-0.497029 1.58356 2.19574
-0.50747 1.57514 2.39228
-0.49484 1.58643 2.59498
-0.496395 1.57759 2.79795
-0.502335 1.77878 1.00032
-0.507852 1.78206 1.20256
-0.506538 1.77756 1.40245
-0.506175 1.78318 1.60249
-0.508817 1.78143 1.80211
-0.511684 1.77757 1.99913
-0.506903 1.78555 2.2016
-0.507908 1.7758 2.40017
-0.504738 1.78587 2.59754
-0.505597 1.77719 2.80165
-0.498146 1.97694 1.00434
-0.494981 1.9815 1.20569
-0.499207 1.97905 1.40261
-0.494195 1.97484 1.60246
-0.497325 1.97962 1.80187
-0.498164 1.97365 1.99766
-0.495755 1.98209 2.19723
-0.49806 1.97677 2.39781
-0.496734 1.98417 2.59898
-0.49876 1.97724 2.79763
-0.298927 0.177725 1.0063
-0.303578 0.176529 1.20553
-0.29702 0.176561 1.39989
-0.295251 0.185476 1.60438
-0.294681 0.175886 1.80317
-0.297136 0.171794 1.99676
-0.298329 0.185117 2.19254
-0.297283 0.172956 2.39726
-0.296695 0.187423 2.59112
-0.299942 0.173596 2.79351
-0.290926 0.376378 0.998115
-0.299879 0.390316 1.19357
-0.296063 0.377567 1.38991
-0.303329 0.376006 1.58787
-0.308691 0.372601 1.79165
-0.3003 0.374277 2.00981
-0.308122 0.378379 2.2089
-0.300081 0.372408 2.41172
-0.300965 0.396121 2.60068
-0.294524 0.374585 2.80728
-0.301104 0.577659 1.00128
-0.308471 0.57066 1.1979
-0.287917 0.576778 1.40707
-0.299105 0.57104 1.60382
-0.29114 0.577092 1.80593
-0.28537 0.58228 1.99752
-0.295265 0.57839 2.19469
-0.293738 0.567535 2.39335
-0.30543 0.58817 2.60409
-0.299212 0.573093 2.79465
-0.29325 0.778482 1.00471
-0.301618 0.767095 1.1958
-0.297377 0.774423 1.39037
-0.290675 0.778658 1.59317
-0.301167 0.781143 1.78747
-0.30402 0.766923 2.00116
-0.297671 0.78026 2.20946
-0.291695 0.767394 2.40474
-0.309375 0.782422 2.59695
-0.291998 0.777053 2.80274
-0.295058 0.977985 0.99698
-0.307842 0.968259 1.19782
-0.29327 0.973629 1.39344
-0.310169 0.981136 1.59599
-0.302073 0.989758 1.8049
-0.295973 0.966781 1.99616
-0.307671 0.985939 2.1966
-0.30086 0.970527 2.40986
-0.303613 0.988993 2.60715
-0.297047 0.974448 2.8051
-0.29783 1.17793 0.996265
