7000 0.05
-1.33972 0.15001 -0.551717
-1.319 0.15001 -0.822099
-1.91697 0.15026 0.156214
-1.40435 0.15001 -0.410935
-1.37851 0.15001 -0.193616
-2.28442 0.15001 0.634611
-1.37649 0.15001 -0.208649
-2.28442 0.15001 0.634611
-2.66958 0.15001 1.0662
-2.79668 0.150251 1.71647
-2.77818 0.15001 1.24816
-2.78285 0.15001 1.34217
-2.77694 0.15001 1.40888
-2.7829 0.15001 1.34481
-2.77694 0.15001 1.40888
-2.79818 0.15001 1.19911
-2.82001 0.150247 1.75853
-2.76882 0.15001 1.50011
-2.7934 0.15001 1.49835
-2.7493 0.15001 1.64256
-2.7646 0.15001 1.50008
-2.7493 0.15001 1.64256
-2.8024 0.15001 1.60914
-2.79885 0.15001 1.78192
-2.81818 0.150305 1.85577
-2.86646 0.150256 1.93061
-2.83973 0.150274 1.96388
-2.84027 0.150257 1.92516
-2.83973 0.150274 1.96388
-2.792 0.15001 1.6737
-2.71752 0.150259 1.64297
-2.85849 0.150215 2.09148
-2.86293 0.150214 1.93382
-2.79548 0.15001 1.79279
-2.84456 0.15001 1.92588
-2.79548 0.15001 1.79279
-2.10884 0.152043 1.91137
-2.78353 0.15001 1.69926
-2.83397 0.15001 1.77655
-2.84526 0.15001 1.83492
-2.84402 0.15001 1.82445
-2.81514 0.15001 1.83574
-2.84402 0.15001 1.82445
-2.83573 0.15001 2.0091
-2.84321 0.150261 2.17117
-2.82407 0.15001 1.85802
-2.80213 0.15001 1.80823
-2.80349 0.15001 1.77432
-2.80504 0.15001 1.80924
-2.80349 0.15001 1.77432
-2.7961 0.150242 2.2235
-2.84517 0.15001 2.08502
-2.84815 0.15001 1.90968
-2.8384 0.15001 1.88563
-2.83731 0.150281 1.95826
-2.83906 0.15001 1.88336
-2.83731 0.150281 1.95826
-2.80538 0.150245 2.22783
-2.84009 0.15029 2.02864
-2.83533 0.150256 2.26257
-2.81518 0.150217 2.16342
-2.87587 0.150297 2.59138
-2.81469 0.15022 2.15691
-2.87587 0.150297 2.59138
-2.86566 0.150257 2.6882
-2.86868 0.150276 2.49905
-2.86726 0.150263 2.69545
-2.86725 0.150267 2.69544
-2.87051 0.150276 2.71007
-2.86808 0.150268 2.69884
-1.0124 0.15001 -0.847616
-0.942313 0.15001 -1.06685
-1.45482 0.150264 -0.0515101
-1.37992 0.15001 -0.611964
-1.40435 0.15001 -0.410935
-1.54431 0.15001 -0.0421748
-1.37487 0.15001 -0.648826
-1.54431 0.15001 -0.0421748
-2.39151 0.15001 0.655129
-2.77221 0.150276 1.25343
-2.43639 0.15001 0.695568
-2.77818 0.15001 1.24816
-2.79991 0.15001 1.30509
-2.49632 0.15001 0.717045
-2.79992 0.15001 1.30509
-2.63442 0.15001 0.946153
-2.77796 0.15028 1.59219
-2.79058 0.15001 1.41641
-2.76882 0.15001 1.50011
-2.79557 0.150279 1.54068
-2.75995 0.15001 1.46837
-2.79557 0.150279 1.54068
-2.776 0.15022 1.6781
-2.79754 0.15001 1.79911
-2.79989 0.15001 1.73999
-2.81818 0.150305 1.85577
-2.80997 0.150259 1.8121
-2.79643 0.150279 1.72243
-2.80997 0.150259 1.81209
-2.839 0.150248 1.92069
-2.73357 0.150257 1.63725
-2.72182 0.150259 1.66229
-2.85849 0.150215 2.09148
-2.84978 0.15001 1.92902
-2.73483 0.150259 1.64073
-2.84978 0.15001 1.92902
-2.84999 0.15001 1.83175
-2.73381 0.150259 1.56495
-2.78439 0.15001 1.71299
-2.83397 0.15001 1.77655
-2.84999 0.15001 1.88527
-2.78762 0.15001 1.7087
-2.84999 0.15001 1.88527
-2.84999 0.15001 1.8873
-2.82196 0.150259 1.92108
-2.85339 0.150259 2.15309
-2.82407 0.15001 1.85802
-2.80607 0.15001 1.83873
-2.84055 0.150287 1.95961
-2.80607 0.15001 1.83873
-2.85318 0.150258 2.28661
-2.83956 0.15001 2.03706
-2.83664 0.15001 1.99589
-2.84815 0.15001 1.90968
-2.79943 0.150272 2.16721
-2.83637 0.15001 2.02515
-2.79943 0.150272 2.16721
-2.8588 0.150259 2.3618
-2.85863 0.150262 2.35957
-2.87564 0.150297 2.5659
-2.83533 0.150256 2.26257
-2.88416 0.150322 2.80766
-2.87001 0.15028 2.5081
-2.88416 0.150322 2.80766
-2.88232 0.150316 2.77685
-2.87374 0.150287 2.7253
-2.87939 0.150306 2.75532
-2.86726 0.150263 2.69545
-2.88336 0.150319 2.83222
-2.87855 0.150304 2.75033
-1.23812 0.15001 -0.611963
-1.04834 0.15001 -0.823804
-1.54282 0.15001 -0.0379493
-1.36678 0.15001 -0.235839
-1.37992 0.15001 -0.611964
-1.93241 0.15026 0.214537
-1.41276 0.15001 -0.390265
-1.93241 0.15026 0.214537
-2.57917 0.15001 0.851491
-2.76025 0.150276 1.45812
-2.78163 0.15001 1.30347
-2.43639 0.15001 0.695568
-2.78091 0.15001 1.48926
-2.7403 0.15001 1.16119
-2.78091 0.15001 1.48926
-2.73318 0.15001 1.09367
-2.79783 0.15001 1.83151
-2.77422 0.15001 1.6812
-2.79058 0.15001 1.41641
-2.75402 0.15001 1.6663
-2.77878 0.15001 1.52379
-2.75402 0.15001 1.6663
-2.76638 0.15001 1.65775
-2.81502 0.150263 1.80328
-2.83996 0.150256 1.93027
-2.79989 0.15001 1.73999
-2.84999 0.15001 2.07418
-2.80514 0.150275 1.7826
-2.84999 0.15001 2.07419
-2.8048 0.15001 1.70503
-2.75034 0.150259 1.61158
-2.83957 0.150247 1.98293
-2.72182 0.150259 1.66229
-2.8171 0.15001 1.83146
-2.84324 0.150259 2.18857
-2.8171 0.15001 1.83146
-2.52561 0.150305 1.93884
-2.75072 0.150248 1.63819
-2.78638 0.15001 1.72012
-2.78439 0.15001 1.71299
-2.84999 0.15001 1.91558
-2.81793 0.15001 1.70818
-2.84999 0.15001 1.91558
-2.83191 0.15001 1.79335
-2.83856 0.150259 1.91389
-2.84999 0.15001 1.93496
-2.85339 0.150259 2.15309
-2.85989 0.150274 2.08675
-2.84308 0.150261 2.16501
-2.85989 0.150274 2.08675
-2.81468 0.150254 2.24554
-2.85258 0.150259 2.02504
-2.83828 0.15001 1.93755
-2.83664 0.15001 1.99589
-2.83782 0.150283 2.01431
-2.83799 0.15001 1.93753
-2.83782 0.150283 2.01431
-2.87317 0.15029 2.53287
-2.84349 0.150259 2.1333
-2.85891 0.150259 2.39287
-2.87564 0.150297 2.5659
-2.88371 0.15032 2.79375
-2.86119 0.150245 2.44622
-2.88371 0.15032 2.79375
-2.88175 0.150314 2.77185
-2.88415 0.150322 2.81367
-2.86967 0.150273 2.70619
-2.87939 0.150306 2.75532
-2.8833 0.150319 2.83302
-2.86799 0.150269 2.69883
-1.13815 0.15001 -0.703767
