1000 0.1
-2.24558 0.15001 -1.62928
-2.84999 0.15001 -1.71817
-1.8618 0.15001 -1.40691
-1.82584 0.15001 -1.65598
-2.78818 0.15001 0.158077
-2.70971 0.15001 0.00585842
-2.82442 0.15001 1.40455
-2.64682 0.15001 2.84999
-2.84007 0.15001 0.84243
-2.69137 0.15001 1.70358
-0.612188 0.15001 -1.80048
-1.71188 0.15001 -1.27136
-2.66723 0.15001 -1.68207
-2.0737 0.15001 -1.56231
-2.21733 0.15001 -0.287725
-2.83153 0.15001 -0.278247
-2.84992 0.15001 -0.10802
-1.97372 0.15001 0.750725
-1.80211 0.15001 0.608754
-2.79993 0.15001 2.65309
-2.84957 0.15001 -2.07714
-2.78272 0.15001 -1.56881
-0.522772 0.15001 -1.6051
-0.2283 0.15001 1.73713
-1.54219 0.15001 -2.03718
-1.59038 0.335632 -2.84211
-2.8399 0.15001 -0.502293
-2.84999 0.15001 1.58396
-2.64594 0.307582 1.29292
-2.84999 0.15001 2.84999
-2.64174 0.15001 -1.95367
-1.97635 0.15001 -2.462
-2.84923 0.15001 -0.812254
-2.53026 0.15001 -1.52934
-2.73247 0.15001 -1.11275
-1.56295 0.15001 1.37791
-1.67649 0.15001 1.2123
-1.83534 0.15001 1.90711
-2.7375 0.15001 1.24202
-1.70884 0.268865 1.4499
-2.79319 0.15001 -1.87526
-1.84368 0.1682 0.0984851
-2.4303 0.15001 -0.638525
-1.9441 0.15001 -1.85074
-2.06377 0.15001 0.0748447
-0.771555 0.15001 1.82179
0.165781 0.15001 -0.41278
-2.84997 0.15001 1.8666
-2.84999 0.15001 1.1038
-1.87868 0.287994 1.5837
-0.662535 0.15001 -2.53518
-2.84999 0.15001 -2.84999
-1.84576 0.15001 -1.12841
-2.15789 0.15001 -0.128689
-1.25737 0.15001 -0.911726
-0.643868 0.271505 2.09134
-0.81337 0.15001 2.20253
-0.510039 0.15001 2.08404
-2.32052 0.15001 2.70105
-1.47594 0.15001 2.84999
-2.65552 0.15001 -0.953198
-1.81582 0.15001 -2.56077
-2.68905 0.15001 -0.723486
-0.631763 0.15001 -0.258499
-0.799026 0.15001 2.00975
-2.43743 0.15001 0.539006
-2.6644 0.15001 2.21617
-2.84976 0.15001 0.330573
-2.4825 0.15001 2.60431
-2.66316 0.15001 2.41705
-0.994641 0.15001 -2.04392
-1.89335 0.15001 -2.70499
-2.1063 0.15001 -1.7624
-2.27555 0.15001 -2.24557
-1.87687 0.15001 -2.02665
-0.420592 0.266424 1.97774
-2.19487 0.15001 -0.470639
-2.14696 0.156723 1.626
-2.1853 0.150271 1.08379
-2.84999 0.15001 2.44963
-2.34182 0.15001 -1.44936
-2.6742 0.15001 -2.12936
-1.52684 0.15001 0.131241
-2.10275 0.15001 -1.05637
-2.49843 0.272522 -0.2976
-2.84999 0.15001 -1.42693
-2.27479 0.15001 0.755405
-2.23635 0.487818 2.03008
