626 0.1
-2.67376 0.150231 -1.58492
-2.85008 0.346243 -1.90185
-2.85632 0.482646 -2.11561
-2.85126 0.34717 -1.91283
-2.53436 0.297545 -0.416796
-0.833701 0.326528 -2.237
-2.85008 0.346302 -1.90169
-2.85122 0.350975 -1.91417
-2.08449 0.308325 -2.05087
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
-2.85016 0.343008 -1.90644
-2.85023 0.341596 -1.90598
-0.328657 0.298748 1.39863
1.63338 0.320952 0.263248
-2.8501 0.345627 -1.90243
-1.27642 0.291333 0.340906
0.400001 0.287124 0.582878
-2.85129 0.347478 -1.91322
-2.85143 0.348612 -1.91472
-2.85128 0.347321 -1.91302
-2.85129 0.347478 -1.91322
-2.85004 0.345247 -1.90234
-2.85129 0.347478 -1.91322
-2.85016 0.343356 -1.90574
-2.85128 0.347321 -1.91302
-2.85307 0.345199 -1.90042
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
-1.34694 0.275227 0.277131
-2.85314 0.345092 -1.90026
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
-2.85129 0.347478 -1.91322
-0.74209 0.250381 0.602949
-2.84453 0.153505 -1.58981
-2.85126 0.347179 -1.91284
-2.8501 0.346446 -1.90122
-2.85008 0.3463 -1.9017
-2.85128 0.347321 -1.91302
-2.05441 0.254472 -2.12262
-2.67335 0.301053 -2.24369
0.350161 0.306873 0.364081
-2.85363 0.381777 -1.94449
-1.35954 0.302752 2.45732
-2.85128 0.347321 -1.91302
-2.85129 0.347478 -1.91322
-2.85128 0.347321 -1.91302
-2.85599 0.480234 -2.15301
0.350161 0.306873 0.364081
-1.18661 0.312347 -2.25765
-1.26404 0.289763 -0.242927
-2.85129 0.347444 -1.91317
-2.85123 0.346935 -1.91254
0.350126 0.306883 0.364111
-1.23678 0.261338 -0.257911
0.350161 0.306873 0.364081
2.67839 0.279693 -2.77477
-2.85021 0.342515 -1.90532
2.83717 0.155257 1.46696
-2.85355 0.344737 -1.90033
1.61788 0.150226 -0.00952527
-0.275433 0.305847 0.502402
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
-1.29367 0.294745 -1.87205
-1.26727 0.30832 2.6126
2.83717 0.155257 1.46696
-1.09882 0.1968 -1.96344
-2.85028 0.340214 -1.90439
-1.25922 0.308897 -0.185374
-2.85025 0.342108 -1.9036
-1.38388 0.321475 -2.76517
-2.85128 0.347321 -1.91302
-0.249764 0.2804 0.70226
-2.85129 0.347478 -1.91322
0.35013 0.306882 0.364109
0.335701 0.314143 0.85797
0.495048 0.154387 -0.777468
2.83717 0.155257 1.46696
2.83717 0.155257 1.46696
-1.00719 0.311336 2.16229
-2.68097 0.285456 -1.70043
-1.37754 0.303154 -2.66528
-2.85129 0.347478 -1.91322
-2.85128 0.347321 -1.91302
-2.85129 0.347478 -1.91322
2.83717 0.155257 1.46696
-2.85129 0.347478 -1.91322
0.495048 0.154387 -0.777468
0.350161 0.306873 0.364081
-1.21113 0.309325 -2.02523
2.30318 0.293725 0.944209
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
2.83717 0.155257 1.46696
2.83717 0.155257 1.46696
-1.86035 0.306826 -2.089
2.83717 0.155257 1.46696
0.350161 0.306873 0.364081
0.35013 0.306882 0.364109
0.350161 0.306873 0.364081
-1.45506 0.30005 -1.49271
-0.818229 0.315175 -2.77759
-2.85128 0.347321 -1.91302
-2.85128 0.347321 -1.91302
-2.85129 0.347478 -1.91322
