7000 0.05
-2.2998 0.150325 -2.41796
-2.23031 0.150323 -2.57385
-2.23032 0.150323 -2.57342
-2.2303 0.150323 -2.57338
-2.23032 0.150323 -2.57341
-2.23037 0.150323 -2.57398
-2.2303 0.150323 -2.57338
-2.23037 0.150323 -2.57398
-2.2296 0.150323 -2.57021
-2.23 0.150323 -2.57163
-2.22956 0.150323 -2.56955
-2.22939 0.150323 -2.56976
-2.22907 0.150323 -2.56791
-2.22939 0.150323 -2.56976
-2.22907 0.150323 -2.56791
-2.23032 0.150323 -2.57341
-2.22963 0.150323 -2.57026
-2.22926 0.150323 -2.56842
-2.22908 0.150323 -2.56792
-2.23011 0.150323 -2.57234
-2.22906 0.150323 -2.56789
-2.23011 0.150323 -2.57234
-2.22909 0.150323 -2.56793
-1.33923 0.150516 -2.00236
-1.60336 0.150325 -1.66459
-1.31202 0.1485 -2.05201
-1.29276 0.146638 -2.12755
-1.33358 0.148918 -2.01354
-1.29276 0.146638 -2.12755
-1.61155 0.150327 -1.58764
-1.28756 0.146671 -2.1051
-1.51223 0.150922 -2.24404
-1.51326 0.150926 -2.24547
-1.60901 0.150327 -1.59798
-1.51362 0.15093 -2.24659
-1.60901 0.150327 -1.59798
-2.4241 0.150323 -2.56505
-1.30803 0.146798 -2.14934
-1.49415 0.151555 -2.34389
-1.28876 0.146639 -2.1146
-1.50785 0.150681 -2.2811
-1.28844 0.146651 -2.10962
-1.50785 0.150681 -2.28109
-1.49459 0.150528 -2.22094
-1.57568 0.150282 -1.99454
-1.38063 0.147177 -2.10397
-1.47541 0.150158 -2.20872
-1.2812 0.150692 -2.43945
-1.47584 0.150152 -2.20793
-1.2812 0.150693 -2.43944
-2.69153 0.150425 -2.18001
-2.32354 0.150324 -1.9455
-2.46657 0.150318 -1.90314
-2.4664 0.150318 -1.90316
-2.42456 0.150322 -1.91613
-2.46678 0.150318 -1.90321
-2.42456 0.150322 -1.91613
-2.11259 0.162467 -1.0587
-2.11882 0.185954 -1.61387
-2.23716 0.150332 -1.91461
-2.32723 0.150324 -1.94459
-2.19248 0.150383 -1.85602
-2.33058 0.150324 -1.94339
-2.19248 0.150383 -1.85602
-2.26125 0.150334 -2.01199
-2.45674 0.15032 -1.9048
-2.26639 0.150333 -2.06496
-2.2829 0.15033 -2.04353
-2.34125 0.150323 -1.94267
-2.28504 0.15033 -2.04054
-2.29916 0.150323 -2.4829
-2.30311 0.150324 -2.4523
-2.2303 0.150323 -2.57337
-2.27329 0.150325 -2.38625
-2.2303 0.150323 -2.57338
-2.2303 0.150323 -2.57338
-2.29899 0.150325 -2.41665
-2.2303 0.150323 -2.57338
-2.23032 0.150323 -2.57342
-2.22961 0.150323 -2.57023
-2.23036 0.150323 -2.57397
-2.22956 0.150323 -2.56955
-2.22942 0.150323 -2.5698
-2.23027 0.150323 -2.57333
-2.22942 0.150323 -2.5698
-2.48368 0.150326 -2.69561
-2.22941 0.150323 -2.56978
-2.22965 0.150323 -2.57028
-2.22926 0.150323 -2.56842
-2.22908 0.150323 -2.56792
-2.23029 0.150323 -2.57337
-2.22908 0.150323 -2.56792
