8412 0.1
-2.84999 0.296526 -2.31401
-2.84999 0.293558 -1.95824
-2.84999 0.292289 -1.42518
-2.84999 0.15001 -0.977502
-2.84999 0.290861 -0.502494
-2.73055 0.15001 -0.131779
-2.70226 0.15001 0.245459
-2.84999 0.301537 0.919435
-2.84999 0.15001 1.17151
-2.84999 0.15001 1.69479
-2.84999 0.15001 2.02687
-2.84999 0.15001 2.70094
-2.68909 0.298378 3.4056
-2.84999 0.15001 4.29698
-2.84999 0.15001 4.47093
-2.70368 0.15001 5.08254
-2.84999 0.15001 5.17003
-2.84999 0.15001 5.84967
-2.84999 0.15001 6.18351
-2.84999 0.15001 6.67675
-2.84999 0.426098 -2.84999
-2.84999 0.292186 -2.13729
-2.84999 0.15001 -1.51538
-2.69607 0.295444 -1.15918
-2.84999 0.15001 -0.795006
-2.84999 0.15001 -0.598317
-2.84999 0.274766 -0.14013
-2.84999 0.15001 0.329196
-2.84999 0.15001 0.830777
-2.84999 0.15001 1.52308
-2.84999 0.451429 2.53197
-2.84999 0.15001 3.39998
-2.84999 0.15001 3.76235
-2.84999 0.15001 4.12309
-2.84999 0.15001 4.6489
-2.84999 0.299419 5.25679
-2.84999 0.303568 5.4293
-2.84999 0.15001 5.51451
-2.84999 0.15001 6.34231
-2.52228 0.306574 6.84999
-2.84999 0.15001 -2.57603
-2.84999 0.15001 -2.04515
-2.69924 0.296726 -1.8677
-2.84999 0.15001 -1.33662
-2.84999 0.290281 -0.88695
-2.84999 0.15001 -0.416363
-2.84999 0.15001 0.15788
-2.84999 0.15001 0.662397
-2.84999 0.299529 1.09011
-2.84999 0.15001 1.86338
-2.84999 0.15001 2.18455
-2.84999 0.2951 2.78419
-2.84999 0.15001 3.58495
-2.81963 0.294316 4.20689
-2.84999 0.15001 4.8233
-2.84999 0.15001 4.99692
-2.84999 0.15001 5.34539
-2.84999 0.15001 6.01774
-2.70493 0.15001 6.41187
-2.68309 0.440753 6.84999
-2.83869 0.59495 -2.50548
-2.84999 0.436345 -2.5756
-2.84999 0.15001 -1.69168
-2.84999 0.441118 -1.51675
-2.84999 0.437867 -1.15175
-2.84999 0.576448 -0.691652
-2.84999 0.426656 -0.217897
-2.84999 0.540005 0.310922
-2.84999 0.300215 0.745948
-2.84999 0.297199 1.43411
-2.84999 0.390011 2.10993
-2.84999 0.15001 3.04801
-2.84999 0.295123 4.02991
-2.84999 0.444455 4.11656
-2.84999 0.440169 4.65755
-2.77418 0.439649 5.17876
-2.84999 0.462562 5.52658
-2.84999 0.297984 5.7647
-2.84999 0.305484 6.40768
-2.69261 0.274391 6.84999
-2.84999 0.303769 -2.68035
-2.84999 0.29462 -1.78162
-2.78181 0.587755 -1.60302
-2.84999 0.290838 -1.06588
-2.84999 0.433177 -0.796649
-2.84999 0.426491 -0.395077
-2.84999 0.303427 0.25884
-2.84999 0.406366 0.423082
-2.76463 0.427295 1.18111
-2.84999 0.298839 1.78423
-2.84999 0.298692 2.256
-2.84999 0.447682 2.86502
-2.84999 0.293622 3.31419
-2.84999 0.44139 4.29452
-2.81995 0.293835 4.56429
-2.84999 0.59536 5.14454
-2.70022 0.15001 5.60221
-2.84999 0.557451 6.16699
-2.63498 0.15001 6.26081
-2.84999 0.29581 6.59094
-2.71713 0.624634 -2.6476
-2.84999 0.576544 -2.32575
-2.84999 0.441781 -1.69365
-2.84999 0.439642 -1.33791
-2.84999 0.439154 -0.977776
-2.77083 0.705825 -0.57289
-2.84999 0.585155 0.0130142
-2.71198 0.401727 0.243535
-2.84999 0.559627 0.511965
-2.84999 0.610361 1.39937
-2.84999 0.296972 2.43862
-2.84999 0.44586 3.22832
-2.84999 0.445195 3.58522
-2.84999 0.298438 3.85187
-2.84999 0.594155 4.57073
-2.84999 0.458188 5.3413
-2.84999 0.558103 5.68783
-2.84999 0.454289 6.02144
-2.84999 0.548402 6.35262
-2.84999 0.326541 6.84999
-2.84999 0.292683 -2.48847
-2.69799 0.298898 -2.05076
-2.84999 0.293085 -1.60382
-2.84999 0.292722 -1.24544
-2.81413 0.585566 -0.887267
-2.84999 0.418729 -0.0416444
-2.84999 0.297192 0.0826222
-2.84999 0.453967 0.659829
-2.84999 0.15001 1.3485
-2.84999 0.45025 1.69695
-2.84999 0.443697 2.34863
-2.84999 0.297146 2.61367
-2.77818 0.593917 3.31896
-2.82228 0.293844 4.38499
-2.80991 0.29579 4.74253
-2.84999 0.460012 5.01455
-2.84999 0.301803 5.59857
-2.84999 0.301474 6.11146
-2.74784 0.267671 6.26059
-2.70882 0.15001 6.75059
-2.84999 0.534865 -2.71862
-2.84999 0.591146 -2.14817
-2.81402 0.441915 -1.87261
-2.84938 0.593837 -1.42877
-2.84999 0.592975 -1.24143
-2.75737 0.711437 -0.764729
-2.76157 0.5702 -0.148014
-2.77175 0.622116 0.172033
-2.84999 0.461586 0.839722
-2.84999 0.607263 1.60642
-2.84999 0.589161 2.65938
-2.84999 0.443343 3.40382
-2.84999 0.293711 3.4942
-2.84999 0.295498 3.67227
-2.68881 0.599624 4.47527
-2.58559 0.588527 5.17491
-2.7163 0.578762 5.31017
-2.84999 0.452472 5.83657
-2.84999 0.15001 6.50807
-2.84999 0.15001 6.84999
-2.68338 0.293589 -2.40695
-2.84999 0.594568 -1.96153
-2.68412 0.441062 -1.60328
-2.64434 0.434712 -1.07589
-2.69025 0.440396 -0.896017
-2.66326 0.596973 -0.440397
-2.6084 0.575145 -0.0322707
-2.84999 0.301572 0.567362
-2.84999 0.446423 1.33585
-2.84999 0.446919 1.87933
-2.70928 0.409003 2.21544
-2.84999 0.605324 2.95301
-2.80298 0.604262 3.68407
-2.84999 0.457518 3.94028
-2.84999 0.440644 4.47609
-2.84999 0.457136 4.83309
-2.74091 0.416545 5.68307
-2.69197 0.29995 6.01991
-2.71145 0.41164 6.15664
-2.70086 0.303923 6.68258
-2.66801 0.612049 -2.41779
-2.84999 0.440503 -2.04917
-2.66065 0.443749 -1.77744
-2.84999 0.594453 -1.77704
-2.56793 0.562376 -1.18142
-2.64818 0.586788 -0.627398
-2.84999 0.589561 -0.31089
-2.64759 0.645881 0.325485
-2.84999 0.579151 1.19721
-2.84969 0.60578 1.79953
-2.84999 0.604321 2.42572
-2.84999 0.448258 3.04674
-2.84999 0.44873 3.76265
-2.69306 0.443855 4.02732
-2.84999 0.598147 4.38095
-2.69724 0.457181 4.92312
-2.69195 0.566971 5.58264
-2.84999 0.300982 5.93632
-2.71282 0.416382 6.35803
-2.84999 0.427781 6.69705
-2.6908 0.486266 -2.53728
-2.62093 0.427991 -2.14752
-2.68871 0.450076 -1.42508
-2.71064 0.471125 -1.24189
-2.63702 0.585019 -0.807581
-2.84999 0.566094 -0.497878
-2.84999 0.455944 0.150159
-2.53587 0.588939 0.644491
-2.84999 0.293886 1.2594
-2.84999 0.5501 2.02228
-2.63335 0.438912 2.60701
-2.67674 0.443106 2.43045
-2.84999 0.601475 3.49538
-2.80637 0.598094 4.19357
-2.54984 0.590033 4.59049
-2.5633 0.575661 4.97389
-2.62895 0.285992 5.68172
-2.68786 0.451862 5.92365
-2.84999 0.400093 6.25625
-2.68982 0.447321 6.58892
-2.79849 0.436041 -2.22064
-2.69393 0.59005 -1.86941
-2.53315 0.584363 -1.94923
-2.6851 0.614417 -1.34492
-2.76132 0.571445 -1.07291
